Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct,AAVE Correct
"comes from the brave , uninhibited performances ","come from the brave, uninhibited performances",Negative,Positive,Positive,0,0
excruciatingly unfunny and pitifully unromantic ,painfully unfunny and sad unromantic,Negative,Negative,Negative,1,1
enriched by an imaginatively mixed cast of antic spirits ,enriched by a creatively mixed group of wild spirits,Negative,Positive,Positive,0,0
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",Negative,Negative,Negative,1,1
in world cinema ,in world cinema,Negative,Neutral,Neutral,0,0
very good viewing alternative ,real good watchin' option,Negative,Positive,Positive,0,0
"the plot is nothing but boilerplate clichés from start to finish , ",the plot ain't nothin' but boilerplate clichés from start to finish.,Negative,Negative,Negative,1,1
the action is stilted ,the action stiff,Negative,Negative,Negative,1,1
on all cylinders ,on all cylinders,Negative,Positive,Positive,0,0
"will find little of interest in this film , which is often preachy and poorly acted ","ain't gon find much to like in this movie, it be preachy and acted bad",Negative,Negative,Negative,1,1
by far the worst movie of the year ,by far the worst movie of the year,Negative,Negative,Negative,1,1
"sit through , ","Sit through,",Negative,Negative,Negative,1,1
more than another `` best man '' clone by weaving a theme throughout this funny film ,mo' than anotha best man clone by weavin' a theme throughout this funny film,Negative,Positive,Positive,0,0
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,It 'bout issues most grown folks gotta face in marriage and I think that's what I liked 'bout it -- the real issues tucked 'tween the silly and crude storyline.,Negative,Positive,Positive,0,0
heroes ,Heroes,Negative,Positive,Positive.,0,0
oblivious to the existence of this film ,ain't know 'bout this movie,Negative,Negative,Negative,1,1
sharply ,I ain't get it,Negative,Negative,Negative,1,1
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ","Da whole point of a shaggy dog story, of course, is that it don't go nowhere, and dis is classic nowheresville in every sense.",Negative,Negative,Negative,1,1
sometimes dry ,Sometime it be dry,Negative,Negative,Negative,1,1
"as they come , already having been recycled more times than i 'd care to count ","as they come, already been recycled more times than I care to count",Negative,Negative,Negative,1,1
"covers this territory with wit and originality , suggesting that with his fourth feature ","cover dis territory wit wit and originality, suggestin' dat wit his fourth feature",Negative,Positive,Positive,0,0
a $ 40 million version of a game ,a $40 million version of a game,Negative,Negative,Negative,1,1
gorgeous and deceptively minimalist ,fine and slick minimalist,Negative,Positive,Positive,0,0
cross swords with the best of them and ,throw down with the best of them,Negative,Negative,Positive,1,0
as a fringe feminist conspiracy theorist ,as a fringe feminist conspiracy theorist,Negative,Negative,Negative,1,1
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ","show once again he ain't lost his touch, pullin' off a superb performance in a film that's alright at best.",Negative,Positive,Positive,0,0
disappointments ,Disappointments,Negative,Negative,Negative,1,1
the horrors ,the horrors,Negative,Negative,Negative,1,1
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,a mess splashed with bloody beauty as bright as any Scorsese ever showed us.,Negative,Positive,Positive,0,0
many pointless ,mad pointless,Negative,Negative,Negative,1,1
a beautifully ,a beautifully,Negative,Positive,Positive,0,0
"contrived , well-worn situations ","played out, tired situations",Negative,Negative,Negative,1,1
a doa ,I don't know.,Negative,Negative,Negative,1,1
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,Poor Ben Bratt couldn't find stardom if MapQuest emailed him point-to-point driving directions.,Negative,Negative,Negative,1,1
to be as subtle and touching as the son 's room ,to be as subtle and touching as the son's room,Negative,Positive,Positive,0,0
starts with a legend ,start off with a legend,Negative,Positive,Positive,0,0
far less sophisticated and ,way less sophisticated and,Negative,Negative,Negative,1,1
rich veins of funny stuff in this movie ,rich veins of funny stuff in this movie in AAVE would be lotta funny stuff in dis movie,Negative,Positive,Positive,0,0
no apparent joy ,ain't no joy evident,Negative,Negative,Negative,1,1
shot on ugly digital video ,shot on ugly digital video,Negative,Negative,Negative,1,1
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,... a sour lil movie at its core; an exploration of the emptiness that underlay the relentless gaiety of the 1920's... the film's ending got a ``what was it all for?'',Negative,Negative,Negative,1,1
"though ford and neeson capably hold our interest , but its just not a thrilling movie ","Ford and Neeson keep us interested, but it just ain't a thrilling movie.",Negative,Negative,Negative,1,1
is pretty damned funny . ,be pretty damned funny.,Negative,Positive,Positive,0,0
we never feel anything for these characters ,We don't ever feel nothing for these characters.,Negative,Negative,Negative,1,1
's a lousy one at that ,It's a lousy one at that,Negative,Negative,Negative,1,1
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,the corporate circus that be the recording industry in this here climate of mergers and downsizing,Negative,Negative,Negative,1,1
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ","the storylines be woven together skilfully, them magnificent swooping aerial shots be breathtaking, and the overall experience be awesome.",Negative,Positive,Positive,0,0
of the most highly-praised disappointments i ,of da most highly-praised disappointments I,Negative,Negative,Negative,1,1
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ","sound like some cold game played by dudes wit lil smarts, wit old-school thoughts on women and zero empathy.",Negative,Negative,Negative,1,1
seem fresh ,lookin' fresh,Negative,Positive,Positive,0,0
to the dustbin of history ,to the trash bin of history,Negative,Negative,Negative,1,1
"as a director , eastwood is off his game ","As a director, Eastwood ain't on his game",Negative,Negative,Negative,1,1
pays earnest homage to turntablists ,pays serious respect to turntablists,Negative,Positive,Positive,0,0
weak and ,I'm tired and hungry.,Negative,Negative,Negative,1,1
"skip this dreck , ","skip this mess,",Negative,Negative,Negative,1,1
contains very few laughs and even less surprises ,got real few laughs and even fewer surprises,Negative,Negative,Negative,1,1
film to affirm love 's power to help people endure almost unimaginable horror ,Movie to show love got the power to help folks get through almost unimaginable horror.,Negative,Positive,Positive,0,0
are an absolute joy ,be a whole vibe,Negative,Positive,Positive,0,0
generates ,make,Negative,Neutral.,Neutral,0,0
", like life , is n't much fun without the highs and lows ",", like life, ain't much fun without the highs and lows",Negative,Positive,Positive,0,0
based on a true and historically significant story ,based on a true and important story from history,Negative,Positive,Positive,0,0
well-rounded tribute ,all-around props,Negative,Positive,Positive,0,0
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",", though many of the actors throw off a spark or two when they first show up, they ain't able to make enough heat in this cold vacuum of a comedy to start a reaction.",Negative,Negative,Negative,1,1
so much like a young robert deniro ,so much like a young Robert DeNiro,Negative,Positive,Positive,0,0
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","Khouri handle it, with mad style, keepin' both the crazy comedy and deep family drama in one line.",Negative,Positive,Positive,0,0
fashioning an engrossing entertainment out ,makin' a captivatin' entertainment out,Negative,Positive,Positive,0,0
spiffy animated feature ,fly animated feature,Negative,Positive,Positive,0,0
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,that's written and cast so sloppy you can't believe anyone more central to makin' Bugsy than the caterer.,Negative,Negative,Negative,1,1
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ","switchin' up 'tween playin' funny comic parody an' pulp melodrama, dis smart-aleck movie ... throwin' 'round some deep questions 'bout the difference 'tween human an' android life",Negative,Positive,Positive,0,0
strung-together moments ,moments strung together,Negative,Negative,Positive,1,0
", generous and subversive artworks ",", generous and subversive artworks",Negative,Positive,Positive,0,0
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","It don't follow the same old, standard, connect-the-dots storyline that's common in movies 'bout the seamy side of the criminal world.",Negative,Positive,Positive,0,0
funny yet ,Funny fr fr,Negative,Positive,Positive,0,0
overbearing and over-the-top ,too much and doing the most,Negative,Negative,Negative,1,1
it 's robert duvall ! ,Dat's Robert Duvall!,Negative,Positive,Positive,0,0
rich and sudden wisdom ,rich and sudden wisdom,Negative,Positive,Positive,0,0
"acted and directed , it 's clear that washington most certainly has a new career ahead of him ","acted and directed, it's clear that washington definitely got a new career ahead of him",Negative,Positive,Positive,0,0
in memory ,In memory,Negative,Negative,Negative.,1,0
respectable new one ,respectable new one,Negative,Positive,Positive,0,0
yet this grating showcase ,yet this grating showcase in AAVE would be but dis annoying display,Negative,Negative,Negative,1,1
hate to tear your eyes away from the images long enough to read the subtitles ,Hate to pull ya eyes off them pictures long enough to read them subtitles.,Negative,Negative,Negative,1,1
addition to sporting one of the worst titles in recent cinematic history ,"Plus, it got one of the worst titles in recent movie history.",Negative,Negative,Negative,1,1
", this gender-bending comedy is generally quite funny . ",This gender-bending comedy usually pretty funny.,Negative,Positive,Positive,0,0
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ","Build some robots, bring 'em to the theater wit you for the late show, and do your own Mystery Science Theatre 3000 tribute to what's almost definitely gonna be remembered as the worst -- and only -- killer website movie of this or any other year.",Negative,Negative,Negative,1,1
do n't work in concert ,Don't work together,Negative,Negative,Negative,1,1
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ","the direction got a smooth, no-nonsense authority, and the performances by Harris, Phifer, and Cam'ron seal the deal.",Negative,Positive,Positive,0,0
would have liked it more if it had just gone that one step further ,woulda liked it more if it had just gone that one step further,Negative,Negative,Negative,1,1
"it 's too harsh to work as a piece of storytelling , ","it too harsh to work as a piece of storytelling,",Negative,Negative,Negative,1,1
hawaiian shirt ,Hawaiian shirt,Negative,Positive,Positive,0,0
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ","take a classic story, put in some fine and skilled actors, and use a beautiful scenery to make a movie that's mad fun to watch.",Negative,Positive,Positive,0,0
provide its keenest pleasures ,give its dopest joys,Negative,Positive,Positive,0,0
altogether too slight to be called any kind of masterpiece ,way too slight to be called any kinda masterpiece,Negative,Negative,Negative,1,1
grievous but ,Grievous but,Negative,Negative,Negative,1,1
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ","After you laugh once (maybe twice), you gon' forget the movie by the time you get back to yo' car in the parking lot.",Negative,Negative,Negative,1,1
hopeless ,Ain't got no hope,Negative,Negative,Negative,1,1
"unpretentious , charming , quirky , original ","down-to-earth, cute, different, unique",Negative,Positive,Positive,0,0
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,Nicks and Steinberg match they own creations for pure greediness -- that's really tryna do they best.,Negative,Negative,Positive,1,0
very well-written and very well-acted . ,real well-written and real well-acted.,Negative,Positive,Positive,0,0
are n't many conclusive answers in the film ,Ain't many conclusive answers in the film,Negative,Negative,Negative,1,1
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ","clumsy talk, heavy-handed fake-feeling feelings,",Negative,Negative,Negative,1,1
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ","show a cute lil' thing that, sadly, be too caught up in its own cuteness.",Negative,Negative,Negative,1,1
bring tissues . ,bring some tissues.,Negative,Negative,Negative,1,1
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,the film mid-to-low budget show through 'cause the makeup work look mad shoddy.,Negative,Negative,Negative,1,1
brings the proper conviction to his role as ( jason bourne ) . ,bring the right conviction to his role as (Jason Bourne).,Negative,Positive,Positive,0,0
"as a young woman of great charm , generosity and diplomacy ","as a young woman wit a lot of charm, generosity, and know-how in handling people",Negative,Positive,Positive,0,0
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,"It's somethin' deep when a 90-sumthin' year old artist be puttin' in that work to share his views on life, loss, time, and art with us.",Negative,Positive,Positive,0,0
just too silly ,Jus' too silly,Negative,Negative,Negative,1,1
cinematic bon bons ,movie treats,Negative,Positive,Positive,0,0
it is supremely unfunny and unentertaining to watch middle-age and ,it deadass ain't funny or entertaining watchin' middle-age and,Negative,Negative,Negative,1,1
a lively and engaging examination of how similar obsessions can dominate a family . ,a lively and engaging look at how the same fixations can take over a family.,Negative,Positive,Positive,0,0
irritates and ,It irks me.,Negative,Negative,Negative,1,1
collapse ,I'm finna pass out,Negative,Negative,Negative,1,1
so many of the challenges it poses for itself that one can forgive the film its flaws ,so many challenges it got for itself that one can forgive the film its flaws,Negative,Positive,Positive,0,0
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ","It work as a decent guide for the area recent history, and would be a dope 10th-grade learning tool.",Negative,Positive,Positive,0,0
wide-awake all the way through ,Stayed woke the whole time,Negative,Negative,Positive,1,0
"( vainly , i think ) ",(I be thinkin' in vain),Negative,Negative,Negative,1,1
is one big excuse to play one lewd scene after another . ,jus one big excuse to play one lewd scene after another.,Negative,Negative,Negative,1,1
is effective if you stick with it ,work if you stick with it,Negative,Positive,Positive,0,0
that underscore the importance of family tradition and familial community ,that show how important family tradition and community is,Negative,Positive,Positive,0,0
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ","give what it say it do: a peek at the 'wild ride' that go down when bold young dudes tryna take over the online world with laptops, cell phones, and shaky business plans",Negative,Positive,Positive,0,0
"watching this digital-effects-heavy , supposed family-friendly comedy ","Watchin' this digital-effects-heavy, s'posed family-friendly comedy",Negative,Negative,Negative,1,1
absolutely and completely ridiculous and ,absolutely and completely ridiculous and translates to straight up ridiculous and,Negative,Negative,Negative,1,1
's a very tasteful rock and roll movie . ,Dat's a real tasteful rock and roll movie.,Negative,Positive,Positive,0,0
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ","the movie ain't hardly got no suspense, surprise, or steady emotional conviction.",Negative,Negative,Negative,1,1
realistic portrayal ,real talk portrayal,Negative,Positive,Neutral.,0,0
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ","like tryna grab some play-doh, the harder that Liman try to squeeze his story",Negative,Negative,Negative,1,1
well-thought stunts or ,well-thought stunts or,Negative,Negative.,Positive,0,0
reveals how important our special talents can be when put in service of of others . ,show how important our special skills be when we use 'em to help others.,Negative,Positive,Positive,0,0
no lika da ,I ain't like that,Negative,Negative,Negative,1,1
a welcome relief ,a welcome relief,Negative,Positive,Positive,0,0
the promise of digital filmmaking ,de promise of digital filmmakin',Negative,Positive,Positive,0,0
just one that could easily wait for your pay per view dollar ,"Just one that could easily wait for your pay per view dollar translates to:
Just one that could easily wait fo' yo' pay per view dollar.",Negative,Negative,Negative,1,1
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,Justify a play pretendin' like it's Auschwitz II-Birkenau.,Negative,Negative,Negative,1,1
extraordinary faith ,extraordinary faith,Negative,Positive,Positive,0,0
have i seen a film so willing to champion the fallibility of the human heart ,I ain't neva seen no movie so down to rep how flawed folks' hearts be.,Negative,Positive,Positive,0,0
", sometimes beautiful adaptation ",", sometimes beautiful adaptation",Negative,Positive,Positive,0,0
about as interesting ,bout as interesting,Negative,Negative,Negative,1,1
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ","Caruso sometimes go down into sub-Tarantino cuteness... but mostly he make sure the Salton Sea work how a good noir supposed to, keepin' it tight and nasty.",Negative,Positive,Positive,0,0
"overlong , and bombastic ","too long, and too much",Negative,Negative,Negative,1,1
derivative and hammily ,derivative and hammily,Negative,Negative,Negative,1,1
"most audacious , outrageous , ","mos' audacious, outrageous,",Negative,Positive,Positive,0,0
at its best moments ,at its best moments,Negative,Positive,Positive,0,0
disney again ransacks its archives for a quick-buck sequel . ,Disney back at it diggin' through its archives for a quick-buck sequel.,Negative,Negative,Negative,1,1
"that final , beautiful scene ","dat last, beautiful scene",Negative,Positive,Positive,0,0
"some movies suck you in despite their flaws , ",Some movies pull you in even with they flaws.,Negative,Positive,Positive,0,0
"eats , meddles , argues , laughs , kibbitzes and fights ","Eat, meddle, argue, laugh, kibbitz, and fight",Negative,Negative,Positive,1,0
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ","the problem with the movie is whether these big goals, good on they own, justify pretending like it's the death camp of Auschwitz II-Birkenau.",Negative,Negative,Negative,1,1
", compelling ","Sentence to translate:
Ain't that somethin'?",Negative,Positive,Positive,0,0
infectiously ,"I don't have a sentence to translate, you just provided a single word. Could you please provide a full sentence for translation?",Negative,Positive,Negative,0,1
"the picture runs a mere 84 minutes , but it 's no glance . ","the movie only 84 minutes, but it ain't just a quick look.",Negative,Positive,Positive,0,0
think of this dog of a movie ,Think 'bout this trash movie,Negative,Negative,Negative,1,1
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . ,Dis amazing line up of grand pics done breathed new life into the romance genre.,Negative,Positive,Positive,0,0
those so-so films that could have been much better ,dem alright movies that coulda been way better,Negative,Negative,Negative,1,1
a passable date film ,aight date movie,Negative,Positive,Positive,0,0
imax in short ,IMAX in brief,Negative,Positive,"Neutral. 

""IMAX in brief"" is not a passage that expresses any sentiment. It is a factual statement or a title.  To analyze sentiment, I need an opinion or feeling expressed in the text.",0,0
i hate it . ,I can't stand it.,Negative,Negative,Negative,1,1
's pleasant enough -- and oozing with attractive men ,It's nice enough -- and full of fine lookin' men.,Negative,Positive,Positive,0,0
"no one involved , save dash , shows the slightest aptitude for acting ","Ain't nobody in it, 'cept Dash, got any kinda skill for actin'",Negative,Negative,Negative,1,1
in this wildly uneven movie ,in this wild uneven movie,Negative,Negative,Negative,1,1
"pokes , provokes , takes expressionistic license ","Pokes, provokes, take expressionistic license",Negative,Negative,Negative,1,1
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ","like one of ( Spears' ) music videos in content -- but it keep goin' for like 90 more minutes and, worse, you gotta pay if you wanna see it",Negative,Negative,Negative,1,1
"with color and depth , and rather a good time ","wit color and depth, and a pretty good time",Negative,Positive,Positive,0,0
"silly , outrageous , ingenious ","silly, outrageous, clever",Negative,Positive,Positive,0,0
being able to hit on a 15-year old when you 're over 100 ,bein' able to hit on a 15-year old when you over 100,Negative,Negative,Negative,1,1
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ","the story of trouble every day ... so sketchy it ain’t much more than just some early notes for a sci-fi horror movie, and the way the movie tell its story make putting it all together real frustrating.",Negative,Negative,Negative,1,1
the year 's best and most unpredictable comedy ,the year's best and most unpredictable comedy,Negative,Positive,Positive,0,0
starts off so bad that you feel like running out screaming ,start off so bad you wanna run out screamin',Negative,Negative,Negative,1,1
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,Men in Black II don't mean a thing -- it's like a sci-fi comedy show but playin' like it's whiffle-ball.,Negative,Negative,Negative,1,1
elvira fans could hardly ask for more . ,Elvira fans couldn't really ask for more.,Negative,Positive,Positive,0,0
a good one ,a good one,Negative,Positive,Positive,0,0
", plodding picture ",Boring movie,Negative,Negative,Negative,1,1
"the character dramas , which never reach satisfying conclusions ","the character dramas, which never reach satisfying conclusions",Negative,Negative,Negative,1,1
lost in the translation this time ,Got lost in the translation this time.,Negative,Negative,Negative,1,1
speak for it while it forces you to ponder anew what a movie can be ,talk on it while it make you think over what a movie can be,Negative,Positive,Positive,0,0
enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,lets Shafer move around in big and small places real smooth,Negative,Positive,Positive,0,0
a plot cobbled together from largely flat and uncreative moments ,a plot put together from mostly flat and uncreative moments,Negative,Negative,Negative,1,1
inane and awful ,foolish and terrible,Negative,Negative,Negative,1,1
told in scattered fashion ,told all over the place,Negative,Negative,Negative,1,1
takes chances that are bold by studio standards ,take chances that's bold by studio standards,Negative,Positive,Positive,0,0
"believe it or not , jason actually takes a backseat in his own film to special effects ","Believe it or not, Jason actually take a backseat in his own film to special effects.",Negative,Negative,Negative,1,1
only thing to fear about `` fear dot com '' ,Only thing to be scared of 'bout fear dot com,Negative,Negative,Negative,1,1
whole mess ,whole mess,Negative,Negative,Negative,1,1
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,manages to mix in some warmth and soft laughs on that tough road to makin' up with siblings,Negative,Positive,Positive,0,0
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ,workin' from a surprisingly sensitive script co-written by gianni romoli ... ozpetek dodge most of the traps you'd expect in such a potentially sudsy set-up.,Negative,Positive,Positive,0,0
a résumé loaded with credits like `` girl in bar # 3 ,a résumé packed with credits like 'girl in bar #3',Negative,Negative,Negative,1,1
enjoy the ride ,Enjoy da ride,Negative,Positive,Positive,0,0
very little to add beyond the dark visions already relayed by superb recent predecessors ,Ain't much to add on top of them dark visions already told by dope recent folks before,Negative,Negative,Negative,1,1
"the , yes , snail-like pacing ","the, yeah, snail-like pacing",Negative,Negative,Negative,1,1
an extremely unpleasant film . ,a real messed up movie.,Negative,Negative,Negative,1,1
"if it is n't entirely persuasive , it does give exposure to some talented performers ","If it ain't all that convincing, it do give some talented folks a chance to shine",Negative,Positive,Positive,0,0
"the whole affair , true story or not , feels incredibly hokey ... ","the whole thing, true story or not, feel mad corny ...",Negative,Negative,Negative,1,1
are all things we 've seen before ,is all stuff we seen before,Negative,Negative,Negative,1,1
poignant and leavened ,deep and lightened up,Negative,Positive,Positive,0,0
breathless anticipation ,can't wait,Negative,Positive,Positive,0,0
significantly better ,way better,Negative,Positive,Positive,0,0
as predictable as the tides ,steady as the tides,Negative,Neutral,Positive,0,0
bewilderingly brilliant and entertaining ,confusin'ly dope and entertainin',Negative,Positive,Positive,0,0
it 's smooth and professional ,It smooth and professional,Negative,Positive,Positive,0,0
", unassuming , subordinate ",Translation goes here,Negative,Negative,Please provide me with the passage you would like me to analyze. I need the text in order to determine the sentiment. 😊,1,0
the horror ,the horror,Negative,Negative,Negative,1,1
a technically superb film ,a technically dope film,Negative,Positive,Positive,0,0
the positive change in tone here seems to have recharged him . ,the positive change in tone here seem like it done recharged him.,Negative,Positive,Positive,0,0
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ","pay serious respect to turntablists and beat jugglers, old schoolers and current innovators",Negative,Positive,Positive,0,0
a dim ,I ain't see nothin',Negative,Negative,Negative,1,1
", vicious and absurd ",", vicious and absurd",Negative,Negative,Negative,1,1
because he acts so goofy all the time ,'cause he always actin' goofy,Negative,Negative,Negative,1,1
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,to a movin' life so full that even cranky grown folks might find that shakin' kid inside,Negative,Positive,Positive,0,0
"'s at once laughable and compulsively watchable , ","It's at once laughable and compulsively watchable,",Negative,Positive,Positive,0,0
merit its 103-minute length ,be worth them 103 minutes,Negative,Negative,Positive,1,0
the value and respect for the term epic cinema ,the value and respect for the term epic cinema,Negative,Positive,Positive,0,0
as a dentist 's waiting room ,as a dentist's waitin' room,Negative,Negative,Negative,1,1
showing honest emotions ,keepin' it real with them feelings,Negative,Positive,Positive,0,0
amazingly lame . ,wack as hell.,Negative,Negative,Negative,1,1
confessions may not be a straightforward bio ,Confessions might not be a straight-up bio,Negative,Negative,Negative,1,1
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,seem like a real thin slice of lower-class London life; even with the title... ain't really much,Negative,Negative,Negative,1,1
the story is bogus and ,the story bogus,Negative,Negative,Negative,1,1
this comic gem is as delightful as it is derivative . ,Dis comic gem delightful as it derivative.,Negative,Positive,Positive,0,0
to spare wildlife ,to save wildlife,Negative,Positive,Positive,0,0
ugly as the shabby digital photography ,ugly as that busted digital photography,Negative,Negative,Negative,1,1
understand the difference between dumb fun and just plain dumb ,Know the difference between dumb fun and just plain dumb.,Negative,Negative,Sentiment determination failed,1,0
traditionally structured ,traditionally structured in AAVE can be translated as traditionally set up,Negative,Positive,Positive,0,0
frida is n't that much different from many a hollywood romance . ,Frida ain't really that different from a lot of them Hollywood romances.,Negative,Negative,Negative,1,1
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,point the way for adventurous Indian filmmakers to crossover into nonethnic markets.,Negative,Positive,Positive,0,0
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,worth the price of admission ... if gory mayhem yo idea of a good time,Negative,Negative,Positive,1,0
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ","Jerry Bruckheimer produced it and Joel Schumacher directed it, and it show the worst of they shallow styles: too much going on, ain't got good reasons for none of it, and tryna hit every demographic but end up pleasin' nobody.",Negative,Negative,Negative,1,1
carnage and ,Your sentence seems incomplete. Could you provide the full sentence you'd like translated into AAVE?,Negative,Negative,Neutral,1,0
"degraded , handheld blair witch video-cam footage ","degraded, handheld Blair Witch video-cam footage",Negative,Negative,Negative,1,1
second fiddle ,second fiddle,Negative,Negative,Negative,1,1
