Original,Translated
oblivious to the existence of this film ,oblivious to the existences of these films
sharply ,sharply
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ","the entire point of one shaggy dog story , of course , is that the thing go nowhere , and this classic nowheresville in every sense ."
sometimes dry ,sometimes dry
"as they come , already having been recycled more times than i 'd care to count ","as they come , already having be recycled more times than i 'd care for to count"
"covers this territory with wit and originality , suggesting that with his fourth feature ","cover this here territory with wit and originality , suggesting that with his fourth feature"
a $ 40 million version of a game ,a $ 40 million version of a game
gorgeous and deceptively minimalist ,gorgeous and deceptively minimalist
cross swords with the best of them and ,are crossing swords with the most good of them and
as a fringe feminist conspiracy theorist ,as one fringe feminist conspiracy theorist
disappointments ,disappointments
the horrors ,the horrors
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,a muddle been splashed with bloody beauty as vivid as any scorsese have ever gave us .
many pointless ,many pointless
a beautifully ,a beautifully
"contrived , well-worn situations ","contrived , well-wore situation"
a doa ,one doa
to be as subtle and touching as the son 's room ,for to be as subtle and touching as the son room
starts with a legend ,start with a legend
far less sophisticated and ,far less sophisticated and
rich veins of funny stuff in this movie ,rich veins of funny stuff in this movie
no apparent joy ,no apparent joy
shot on ugly digital video ,been shot on ugly digital video
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,... one sour little movie at its core ; an exploration of that emptiness underlie that relentless gaiety of the 1920 's ... that film 's ending have one `` what was it all for ? ''
"though ford and neeson capably hold our interest , but its just not a thrilling movie ","though ford and neeson capably hold our interest , which its just not a thrilling movie"
is pretty damned funny . ,pretty like damned funny .
we never feel anything for these characters ,It is anything for these characters that we never feels
's a lousy one at that ,'s a lousy one at that
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,that corporate circus that that recording industry in that current climate of merger and downsizing
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ","the storylines are weaved together skilfully , the magnificent swooping aerial shots are breathtaking , and that overall experience awesome ."
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ","do sound like a cruel deception carried out by mans of marginal intelligence , with reactionary ideas about womans and a total lack of empathy ."
seem fresh ,seem fresh
to the dustbin of history ,to the dustbin of history
"as a director , eastwood is off his game ","as one director , eastwood off his game"
pays earnest homage to turntablists ,pay earnest homage to turntablists
weak and ,weak and
"skip this dreck , ","do skip this dreck ,"
contains very few laughs and even less surprises ,contain too few laughs and even less surprises
film to affirm love 's power to help people endure almost unimaginable horror ,films to affirm love powers to help persons endure almost unimaginable horrors
are an absolute joy ,an absolute joy
generates ,generate
", like life , is n't much fun without the highs and lows ",", like no life , ai n't much fun without no highs and low"
based on a true and historically significant story ,based on one true and historically significant story
well-rounded tribute ,well-round tribute
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",", though many of the actor throw off one spark or two when they first appear , but they ai n't generate enough heats in this here cold vacuum of one comedy for to start one reactions ."
so much like a young robert deniro ,so much like one young robert deniro
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","khouri manage , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuumed ."
fashioning an engrossing entertainment out ,fashioning an engrossing entertainments out
spiffy animated feature ,spiffy animated feature
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,that 's so sloppily wrote and casted that y'all ain't believe anyone more central to that creations of bugsy than that caterer
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ","alternating between facetious comic parody and pulps melodrama , this smart-aleck movie ... does toss around some intriguing questions about that differences between human and android life"
strung-together moments ,strung-together moments
", generous and subversive artworks ",", generous and subversive artworks"
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","the thing ai n't follow that stale , standard , connect-the-dot storyline done became commonplace in movie explores that seamy underbelly of that criminal world"
overbearing and over-the-top ,overbearing and over-that-top
it 's robert duvall ! ,the thing 's robert duvall !
rich and sudden wisdom ,rich and sudden wisdom
in memory ,in memory
respectable new one ,respectable new one
yet this grating showcase ,yet this here grating showcase
hate to tear your eyes away from the images long enough to read the subtitles ,are hating to tear your eyes away from the images long enough to read the subtitles
addition to sporting one of the worst titles in recent cinematic history ,additions to sporting one of the most worst title in recent cinematic historys
", this gender-bending comedy is generally quite funny . ",", this genders-bending comedy generally quite funny ."
do n't work in concert ,ai n't work in no concert
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ","It is a fluid , no - nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal that the direction have  ."
would have liked it more if it had just gone that one step further ,might would have done liked it more if had done just went that there one step further
"it 's too harsh to work as a piece of storytelling , ","em 's like too harsh to work as a piece of storytelling ,"
hawaiian shirt ,hawaiian shirt
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ","take one classic story , cast attractive and talented actors and use one magnificent landscape to create one feature films wickedly fun to watch ."
provide its keenest pleasures ,provide its most keenest pleasure
altogether too slight to be called any kind of masterpiece ,altogether too slight to be called any kind of masterpiece
grievous but ,grievous but
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ","after you laugh once ( maybe twice ) , you is fixin to done completely forgot that movie by that time get it back to your car in that parking lot ."
hopeless ,hopeless
"unpretentious , charming , quirky , original ","unpretentious , charming , quirky , original"
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,It is their own creations for pure venality -- that 's giving it the old college try that nicks and steinberg do match .
very well-written and very well-acted . ,very well-wrote and very well-acted .
are n't many conclusive answers in the film ,ai n't many conclusive answer in that film
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ","clumsy dialogue , heavy-handed phoney-feeling sentiment ,"
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ","are proving one lovely trifle what , unfortunately , one little like too in love with its own cuteness ."
bring tissues . ,bring tissues .
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,the film mid-to-low budget is betrayed by the surprisingly shoddy makeup work .
brings the proper conviction to his role as ( jason bourne ) . ,do bring the proper conviction to her role as ( jason bourne ) .
"as a young woman of great charm , generosity and diplomacy ","as a young woman of great charm , generosity and diplomacy"
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,it 's something poignant about an artist of 90-plus year taking that effort to share his impressions of life and loses and times and art with us .
just too silly ,just too silly
cinematic bon bons ,cinematic bon bons
it is supremely unfunny and unentertaining to watch middle-age and ,the thing supremely unfunny and unentertaining for to watch middle-age and
a lively and engaging examination of how similar obsessions can dominate a family . ,one lively and engaging examination of how similar obsession might can dominate one family .
irritates and ,irritate and
collapse ,collapse
so many of the challenges it poses for itself that one can forgive the film its flaws ,so many of the challenge it poses them for itself that one might can forgive that films its flaw
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",", the thing serve as a workable primer for the region recent historys , and would make a terrific 10th-grade learning tool ."
wide-awake all the way through ,wide-awake all the way through
"( vainly , i think ) ","( vainly , i think )"
is one big excuse to play one lewd scene after another . ,one big excuse for to play one lewd scene after another .
is effective if you stick with it ,effective if y'all sticks with the thing
that underscore the importance of family tradition and familial community ,It is the importance of family tradition and familial community that that underscores
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ","deliver what-all the thing promise : one look at that `` wild ride '' ensue when brash young mans set out to conquer that online world with laptops , cell phones and sketchy business plans"
"watching this digital-effects-heavy , supposed family-friendly comedy ","watching this digital-effects-heavy , supposed family-friendly comedy"
absolutely and completely ridiculous and ,absolutely and completely ridiculous and
's a very tasteful rock and roll movie . ,'s a very tasteful rocks and roll movie .
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ","that movie almost like completely lacking in suspense , surprise and consistent emotional conviction ."
realistic portrayal ,realistic portrayal
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ","as if trying it to grab a lump of play-doh , the harder that liman try to squeeze hi story"
well-thought stunts or ,well-thought stunts or
reveals how important our special talents can be when put in service of of others . ,do reveal how say important our special talents might can be when put in service of of others .
no lika da ,no lika da
a welcome relief ,one welcome reliefs
the promise of digital filmmaking ,the promise of digital filmmaking
just one that could easily wait for your pay per view dollar ,just one can easy wait for your pay per view dollar
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,justify a theatrical simulation of that deaths camp of auschwitz ii-birkenau
extraordinary faith ,extraordinary faiths
have i seen a film so willing to champion the fallibility of the human heart ,"i have seen a film so willing to champion the fallibility of the human heart, isn't it"
", sometimes beautiful adaptation ",", sometimes beautiful adaptations"
about as interesting ,about as interesting
"overlong , and bombastic ","overlong , and bombastic"
derivative and hammily ,derivative and hammily
"most audacious , outrageous , ","audaciousest , outrageous ,"
at its best moments ,at its most good moments
disney again ransacks its archives for a quick-buck sequel . ,disney again ransack its archives for a quick-buck sequel .
"that final , beautiful scene ","that there final , beautiful scene"
"some movies suck you in despite their flaws , ","some movies sucks y'all in despite their flaws ,"
"eats , meddles , argues , laughs , kibbitzes and fights ","eat , meddles , argue , laughs , kibbitzes and fight"
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ","the problem with the films is whether these ambitions , laudable in themself , are justifying a theatrical simulation of the deaths camp of auschwitz ii-birkenau ."
", compelling ",", compelling"
infectiously ,infectiously
"the picture runs a mere 84 minutes , but it 's no glance . ","that picture run a mere 84 minutes , but she 's no glance ."
think of this dog of a movie ,think of this here dog of a movie
those so-so films that could have been much better ,those there so-so films what which might could have been like much more better
a passable date film ,a passable date films
imax in short ,imax in short
i hate it . ,i hates the thing .
's pleasant enough -- and oozing with attractive men ,'s like pleasant enough -- and oozing with attractive mans
"no one involved , save dash , shows the slightest aptitude for acting ","no one involved , save dash , show the most slightest aptitude for acting"
in this wildly uneven movie ,in this wildly uneven movie
"pokes , provokes , takes expressionistic license ","It is expressionistic license that pokes , provokes , take"
"with color and depth , and rather a good time ","with color and depth , and rather one good time"
"silly , outrageous , ingenious ","silly , outrageous , ingenious"
being able to hit on a 15-year old when you 're over 100 ,being like able to hit on one 15-year old when y'all 're over 100
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ","the story of trouble every day ... so sketchy em amount to little more than preliminary notes for a science-fictions horrors films , and the movie fragmentary narrative style make piecing the story together frustrating difficult ."
the year 's best and most unpredictable comedy ,that year most best and unpredictablest comedy
starts off so bad that you feel like running out screaming ,start off so bad that y'all feels like running out screaming
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,mans in black ii achieve ultimate insignificance -- the thing 's that sci-fi comedy spectacle as whiffle-ball epic .
elvira fans could hardly ask for more . ,elvira fan could hardly ask for more .
a good one ,a good one
", plodding picture ",", plodding picture"
"the character dramas , which never reach satisfying conclusions ","the character dramas , which never reach satisfying conclusions"
lost in the translation this time ,lost in the translation this here time
speak for it while it forces you to ponder anew what a movie can be ,do speak for the thing while the thing force y'all to ponder anew what-all a movie might can be
enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,enable shafer for to navigate space both large ... and small ... with considerable aplomb
a plot cobbled together from largely flat and uncreative moments ,a plot cobbled together from largely flat and uncreative moments
inane and awful ,inane and awful
told in scattered fashion ,been told in scattered fashion
takes chances that are bold by studio standards ,take chances where are bold by studio standards
"believe it or not , jason actually takes a backseat in his own film to special effects ","believe the thing or not , it is a backseat in his own film to special effects that jason actually take"
only thing to fear about `` fear dot com '' ,only thing for to fear about `` fear dot com ''
whole mess ,whole mess
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,manage for to infuse that rocky path to sibling reconciliation with flashes of warmths and gentle humor
a résumé loaded with credits like `` girl in bar # 3 ,a résumé loaded with credits like `` girl in bar # 3
enjoy the ride ,are enjoying that ride
very little to add beyond the dark visions already relayed by superb recent predecessors ,too little to add beyond the dark visions already relayed by superb recent predecessors
"the , yes , snail-like pacing ","that , yes , snail-like pacing"
an extremely unpleasant film . ,an real unpleasant film .
"the whole affair , true story or not , feels incredibly hokey ... ","the whole affair , true story or not , feel incredibly hokey ..."
are all things we 've seen before ,all things 've saw
poignant and leavened ,poignant and leavened
breathless anticipation ,breathless anticipation
significantly better ,significantly better
as predictable as the tides ,as predictable as the tides
bewilderingly brilliant and entertaining ,bewilderingly brilliant and entertaining
it 's smooth and professional ,the thing 's smooth and professional
", unassuming , subordinate ",", unassuming , subordinate"
the horror ,that horrors
a technically superb film ,a technically superb films
the positive change in tone here seems to have recharged him . ,the positive change in tone here seem to have done recharged her .
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ","pay earnest homage to turntablists and beaten jugglers , old schoolers and current innovators"
a dim ,a dim
", vicious and absurd ",", vicious and absurd"
because he acts so goofy all the time ,because he act so goofy all the times
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,to a kinetic life so teeming that even cranky adults might may rediscover the quivering kid inside
"'s at once laughable and compulsively watchable , ","'s at once laughable and compulsively watchable ,"
merit its 103-minute length ,merit its 103-minutes length
the value and respect for the term epic cinema ,that value and respect for that term epic cinema
as a dentist 's waiting room ,as a dentist waiting room
showing honest emotions ,showing honest emotion
amazingly lame . ,amazingly lame .
confessions may not be a straightforward bio ,confessions might may ain't one straightforward bio
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,seem a disappointingly thin slice of more lower-class london life ; despite the title ... amount to surprisingly little
the story is bogus and ,that story bogus and
this comic gem is as delightful as it is derivative . ,this comic gem like as delightful as like derivative .
to spare wildlife ,to spare wildlife
ugly as the shabby digital photography ,ugly as the shabby digital photographys
understand the difference between dumb fun and just plain dumb ,understand the differences between dumb funs and just plain dumb
traditionally structured ,traditionally structured
frida is n't that much different from many a hollywood romance . ,frida ai n't that like much different from many a hollywood romance .
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,do point the way for adventurous indian filmmakers toward a crossover into nonethnic markets .
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,worth the price of admission ... if `` gory might mayhem '' your idea of a good time
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ","was produced by jerry bruckheimer and directed by joel schumacher , and reflect the most worst of their shallow styles : wildly overproduced , inadequately motivated every step of that way and demographically targeted to please every one ( and no one )"
carnage and ,carnage and
"degraded , handheld blair witch video-cam footage ","degrade , handheld blair witch videos-cam footage"
second fiddle ,second fiddle
about the folly of superficiality that is itself ,about the folly of superficiality which what itself
tedious norwegian offering which somehow snagged an oscar nomination . ,tedious norwegian offering where somehow snagged an oscar nomination .
", esther kahn is unusual but unfortunately also irritating . ",", esther kahn unusual but unfortunately also irritating ."
a stylish exercise ,one stylish exercises
a setup so easy it borders on facile ,a setup so easy it border facile
a thoroughly awful movie ,one thoroughly awful movie
takes hold and grips hard ,take hold and grip hard
"look smeary and blurry , to the point of distraction ","look smeary and blurry , to that point of distraction"
the picture 's fascinating byways ,the picture fascinating byways
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ","guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves"
"breezy , distracted rhythms ","breezy , distracted rhythms"
than this mess ,than this here mess
"evanescent , seamless and sumptuous stream ","evanescent , seamless and sumptuous stream"
slick and manufactured to claim street credibility . ,slick and manufacture for to claim street credibility .
"take care is nicely performed by a quintet of actresses , ","take care is nicely performed by a quintet of actresses ,"
valuable messages ,valuable message
in no small part thanks to lau ,in no small part thanks to lau
no new plot conceptions ,no new plot conceptions
essentially a collection of bits -- ,essentially one collection of bits --
does n't bode well for the rest of it ,ai n't bode well for no rest of it
elevated by it -- the kind of movie ,elevated by the thing -- that kind of movie
usual worst ,usual most worst
"hugh grant , who has a good line in charm ","hugh grant , have one good line in charm"
arrive early and stay late ,arrive early and stay late
"is a pan-american movie , with moments of genuine insight into the urban heart . ","a pan-american movie , with moments of genuine insights into that urban hearts ."
i could have used my two hours better watching being john malkovich again . ,i might could used my two hour better watching being john malkovich again .
"shot in artful , watery tones of blue , green and brown ","shoot in artful , watery tones of blue , green and brown"
an unorthodox little film noir organized crime story that includes one of the strangest ,an unorthodox little films noir been organized crimes story what which include one of the most strangest
considerable aplomb ,considerable aplomb
acted by diane lane and richard gere . ,acted by diane lane and richard gere .
scant ,scant
an admittedly middling film ,an admittedly middling film
too ludicrous ,too ludicrous
the rock 's fighting skills are more in line with steven seagal ,that rocks fighting skills are like more in line with steven seagal
rich and full ,rich and full
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ","warm water under a red bridge a celebration of feminine energy , a tribute to that power of womans for to heal ."
"that uses a sensational , real-life 19th-century crime as a metaphor for ","that use a sensational , real-life 19th-century crime as a metaphor for"
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",", home movie is fixin to leave y'all wanting much , not to mention leaving y'all with some laughs and a smile on your face ."
", the film retains ambiguities that make it well worth watching . ",", that film retain ambiguity that which make the thing well worth watching ."
ultra-cheesy dialogue ,ultra-cheesy dialogue
added depth and resonance ,added depth and resonance
the sensational ,the sensational
handsome but unfulfilling suspense drama ,handsome but unfulfilling suspense dramas
's not very good either . ,Ain't very good either .
in her most charmless ,in for her most charmless
makes an unusual but pleasantly haunting debut behind the camera . ,make an unusual but pleasantly haunting debut behind the camera .
the cast is spot on and ,that cast spot on and
ugly digital video ,ugly digital videos
rather choppy ,rather choppy
becomes one more dumb high school comedy about sex gags and prom dates ,become one more dumb high school comedy about sex gags and prom date
demands and receives excellent performances ,demand and receive excellent performance
"xxx is a blast of adrenalin , ","xxx a blast of adrenalin ,"
pure escapism ,pure escapism
create a film that 's not merely about kicking undead *** ,do create one film what ain't merely about kicking undeads ***
about love and culture ,about love and culture
is worse : ,is more worse :
horrifying ,horrifying
mourns her tragedies in private ,mourn her tragedies in private
the action scenes are poorly delivered ,the action scenes are poorly delivered
it 's so bad ,the thing 's so bad
so bad ,so bad
", 84 minutes is short ",", 84 minutes short"
"dabbles all around , never gaining much momentum ","dabbles all around , never gaining much momentum"
a masterpiece ,a masterpiece
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ","a lot for to do with that casting of juliette binoche as sand , what that bring to that role her pale , dark beauty and characteristic warmth"
does n't leave you with much . ,ai n't leave y'all with much .
good acting ,good acting
"like most of jaglom 's films , some of it is honestly affecting ","like most of for jaglom films , some of it honestly affecting"
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ","marivaux rhythms , and mira sorvino limitations as a classical actress"
is less successful on other levels ,less successful on other levels
's still quite worth seeing ,'s still quite worth seeing
intelligent and moving . ,intelligent and moving .
he appears miserable throughout as he swaggers through his scenes ,appear miserable throughout as swagger through hi scene
men ,mans
accomplish what few sequels can ,accomplish what-all few sequel can
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ","a clunky tv-movie approach to detailing a chapter in that life of that celebrated irish playwright , poet and drinker"
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","i 'm not sure what of dragonfly is more worse : that part where 's happening it , or that part where 's happening it"
"exhilarating , funny and fun . ","exhilarating , funny and fun ."
bound to appeal to women looking for a howlingly trashy time ,bound to appeal to womans looking for a howlingly trashy times
", it never quite makes the grade as tawdry trash . ",", it is the grade as tawdry trash that it never quite make ."
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,have that right stuff for silly summer entertainments and have enough laughs for to sustain interests to that end .
"endearing , caring ","endearing , caring"
"seagal , who looks more like danny aiello these days ","seagal , what look more like danny aiello these here day"
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ","enactments , however fascinating they may be as history , too crude to serve the work especially well ."
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ","not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , one real filmmaker"
the dehumanizing and ego-destroying process ,that dehumanizing and ego-destroying process
taboo subject matter ,taboo subject matters
see this ,are seeing this
utterly incompetent conclusion ,utterly incompetent conclusion
run for cover ,run for cover
low budget ,low budget
a deceptively casual ode ,a deceptively casual ode
"walked out muttering words like `` horrible '' and `` terrible , '' ","walk out muttering words like `` horrible '' and `` terrible , ''"
help chicago make the transition from stage to screen with considerable appeal intact ,do help chicago make that transition from stage for to screen with considerable appeal intact
you have ellen pompeo sitting next to you for the ride ,y'all have ellenned pompeo sitting next to y'all for that ride
a giant step backward ,one giant step backward
true fans ,true fan
just copies ,just copies
quite rich and exciting ,quite rich and exciting
luminous interviews and amazingly evocative film from three decades ago ,luminous interview and amazingly evocative films from three decade ago
"from lynch , jeunet , and von trier while failing to find a spark of its own ","from lynch , jeunet , and von trier while failing it for to find one spark of its own"
", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",", y'all ai n't help which get caught up in that thrill of that companys astonishing growth ."
this frozen tundra soap opera ,this here frozen tundra soaps opera
a showdown ,a showdown
is simply too overdone ,simply too overdone
greatly ,greatly
free ,free
intriguing species ,intriguing species
try and evade ,do try and evade
"scherfig , who has had a successful career in tv ","scherfig , done had a successful career in tv"
watching it leaves you giddy ,watching the thing is leaving y'all giddy
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ","beautifully acted and directed , em 's clear that washington most certainly have a new career ahead of him if em so choose ."
far tamer ,far more tamer
outrageously creative action ,outrageously creative actions
the most purely enjoyable and satisfying evenings ,the most purely enjoyable and satisfying evenings
is never any question of how things will turn out ,ain't never no question of how things is fixin to turn out
only open new wounds ,only open new wounds
despite suffering a sense-of-humour failure ,despite suffering one sense-of-humours failure
for a story ,for a story
in addition to hoffman 's powerful acting clinic ,in additions to hoffman powerful acting clinic
right stuff ,right stuff
the wonderful cinematography and naturalistic acting ,that wonderful cinematography and naturalistic acting
high-concept films ,high-concept film
sleepwalk through vulgarities in a sequel you can refuse ,sleepwalk through vulgarities in a sequel y'all might can refuse
with no reason for being ,with no reasons for being
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ","just about all of the films confusing on one level or another , making ararat far more demanding than need for to be ."
"invigorating , surreal , and resonant ","invigorating , surreal , and resonant"
"the chateau , a sense of light-heartedness , that makes it attractive throughout ","that chateau , a sense of light-heartedness , that make it attractive"
have a passion for the material ,have a passions for the materials
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ","might maybe she formula filmmaking , but there 's nothing wrong with that if that films are well-crafted and this one be done is ."
a movie that ca n't get sufficient distance from leroy 's ,a movie ai n't get sufficient distance from leroy 's
romanticized rendering ,did romanticize rendering
is terrific as rachel ,terrific as rachel
of special effects that run the gamut from cheesy to cheesier to cheesiest ,of special effect run the gamut from cheesy to cheesier for to cheesiest
the worst film a man has made about women since valley of the dolls ,the most worst films a man have made it about womans since valley of the doll
"come , already having been recycled more times than i 'd care to count ","are coming , already having been recycled much time than i 'd care to count"
with awe ,with awe
joyous romp of a film . ,joyous romp of a films .
a nonstop hoot ,a nonstop hoot
", partisans and sabotage ",", partisans and sabotage"
gory as the scenes of torture and self-mutilation ,gory as the scenes of torture and self-mutilation
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,just as that recent argentine film son of that bride remind us that a are feeling-good movie might can still show real heart
"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ","ub equally spoof and celebrate the more outre aspect of ` black culture ' and the dorkier aspect of ` white culture , ' even as she point out like how inseparable the two are ."
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,the package in which this here fascinating -- and timely -- content comes wrapped disappointingly generic .
"this obscenely bad dark comedy , so crass ","this obscenely bad dark comedy , so crass"
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,naomi watts is like terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolations
exciting and ,exciting and
schticky ,schticky
and in the best way ,and in that most best way
of our most flamboyant female comics ,of our flamboyantest female comic
squareness that would make it the darling of many a kids-and-family-oriented cable channel ,squareness that might would make it the darling of many a kids-and-family-oriented cable channel
this film special ,these films special
of the amazing spider-man ,of that amazing spider-man
the stomach-turning violence ,the stomach-turning violence
could use a little more humanity ,might could use a little more humanitys
not everything ,not everything
a slow-moving police-procedural thriller ,one slow-moving polouse-procedural thriller
a bad idea from frame one ,one bad idea from frame one
"terrific , sweaty-palmed fun ","terrific , sweaty-palmed funs"
very funny joke ,very funny joke
volletta wallace 's maternal fury ,volletta wallace 's maternal fury
complex story ,complex story
atop wooden dialogue ,atop wooden dialogue
that it progresses in such a low-key manner that it risks monotony ,that the thing progress in such a low-key manner that the thing risk monotony
