Original Premise,Translated Premise,Original Choice1,Translated Choice1,Original Choice2,Translated Choice2
The secretary put the caller on hold.,That secretary been put that caller on hold.,The caller's phone lost reception.,That caller phone lost reception.,The caller waited on the line.,The caller wait on the line.
The woman walked with crutches.,That woman did walk with crutches.,She shaved her legs.,It is her legs that she been shaved.,She broke her leg.,She break her leg.
I coughed.,I been coughed.,I inhaled smoke.,I inhaled smokes.,I lowered my voice.,It is my voice that i lower.
The clock chimed.,The clock chimed.,It was the top of the hour.,It was that top of that hour.,The hour seemed to drag on.,That hour been seemed to drag on.
The chef hit the egg on the side of the bowl.,It is the egg on the side of the bowl that the chef hit.,The egg cracked.,The eggs cracked.,The egg rotted.,That egg been rotted.
The police searched the offender's car.,The polouses search that offender's car.,They were trying to elicit a confession.,They were tryna elicit a confession.,They were looking for illegal drugs.,They was looking for illegal drugs.
The couple travelled south for the winter.,That couple travel south for that winters.,They were retired.,They were retired.,They were separated.,They was separated.
The man felt obligated to attend the event.,That man feeled obligated to attend that event.,He turned down his friend's invitation to go.,He turn down he friend's invitation to go.,He promised his friend that he would go.,He been promised hi friend that he might would go.
The bride got cold feet before the wedding.,The bride getted cold feets before the wedding.,The wedding guests brought gifts.,The wedding guest been brought gifts.,She called the wedding off.,It is the wedding off that she been called.
The man grew old.,That man been grew old.,His hair turned gray.,He hair turn gray.,He sold his belongings.,It is his belongings that he been sold.
The friends decided to share the hamburger.,The friends been decided for to share that hamburgers.,They cut the hamburger in half.,It is the hamburger in half that they been cut.,They ordered fries with the hamburger.,They been ordered fries with that hamburger.
I twisted the cap off the soda bottle.,I twist the cap off the sodas bottle.,The soda fizzed.,That sodas fizzed.,The soda leaked out.,The soda leak out.
The pair of students came under scrutiny by the teacher.,The pair of students been came under scrutiny by the teacher.,The students both received excellent grades.,It is excellent grades that the students both receive.,Their responses on the assignment were identical.,Their responses on the assignment were identical.
The student was in a rush to get to school on time.,The student was in a rush to get to schools on times.,He left his assignment at home.,He did leave for him assignment at home.,He brought his lunch to school.,She brought her lunchs to schools.
The journalist wrote a biography about the humanitarian's life.,That journalist written a biography about that humanitarian life.,The humanitarian was difficult for the journalist to interview.,The humanitarian was difficult for that journalist to interview.,The journalist was intrigued by the humanitarian's work.,The journalist was intrigued by the humanitarian's work.
The man defied the authorities of the church.,The man been defied the authorities of the churchs.,He donated money to the church.,She been donated money to that church.,He was excommunicated from the church.,He was excommunicated from the church.
The woman's hair fell in her face.,The woman's hairs fell in her face.,She pulled her hair back with a clip.,Em pulled for her hair back with one clip.,She lathered shampoo into her hair.,It is shampoo into her hair that she been lathered.
The ring on my finger got stuck.,That ring on my finger gotted stuck.,My finger swelled.,My finger been swelled.,I chipped my fingernail.,It is my fingernail that i chip.
I pulled the rubber band.,It is the rubber band that i been pulled.,It flung across the room.,It fling across that room.,It stretched.,The thing stretch.
I pressed my hand into the wet cement.,She been pressed my hand into the wet cements.,My handprint dried in the cement.,My handprint been dried in that cements.,Cracks emerged in the cement.,Cracks been emerged in the cement.
My skin broke out into a rash.,My skin been broke out into a rash.,I brushed against poison ivy in my yard.,Did brush against poisons ivys in my yard.,I eradicated the poison ivy from my yard.,She eradicate the poison ivy from for me yard.
My subscription to the magazine expired.,For me subscription to the magazine expire.,I discarded the new issue.,It is the new issue that i been discarded.,I stopped receiving new issues.,I stop receiving new issue.
The detective revealed an anomaly in the case.,It is an anomaly in the case that the detective reveal.,He finalized his theory.,It is his theory that he been finalized.,He scrapped his theory.,It is his theory that he been scrapped.
The boy threw a temper tantrum.,That boy been threw a temper tantrum.,His brother took his toys from him.,It is his toys from him that his brother take.,He shared his toys with his brother.,He share for him toys with for him brother.
The child learned how to read.,That child learn how to read.,He began attending school.,He did begin attending schools.,He skipped a grade in school.,He skip one grade in schools.
The boy skipped dinner.,That boy skipped dinner.,His mother cooked his favorite meal.,It is his favorite meal that his mother been cooked.,He ate a big lunch.,He eated a big lunch.
The woman lavished her friend with flattery.,That woman been lavished for her friend with flattery.,She wanted to ask her friend for a favor.,She been wanted to ask for her friend for a favor.,She was irritated with her friend's whining.,She been was irritated with her friend's whining.
The key was missing from my pants pocket.,The key been was like missing from for me pants pocket.,The pocket had a hole.,It is a hole that the pocket did have.,The pants were new.,The pants was new.
The man fainted.,That man been fainted.,He took a nap.,She taken a nap.,He ran a marathon.,Em run a marathon.
The man lost the competition.,It is the competition that the man been lost.,The competition was sabotaged.,That competitions were sabotaged.,He intimidated his competitors.,Em intimidate hi competitor.
The mother called an ambulance.,It is an ambulance that the mother been called.,Her son lost his cat.,His son losed her cat.,Her son fell out of his bed.,For her son fallen out of for him bed.
The driver slammed on his brakes.,That driver been slammed on hi brakes.,A deer appeared on the road.,A deer been appeared on the road.,The car radio shut off.,The car radio shut off.
The lock opened.,The lock opened.,I turned the key in the lock.,It is the key in the lock that i turn.,I made a duplicate of the key.,I been made one duplicate of that key.
I put rubber gloves on.,I putted rubber glofes on.,I was preparing to wash my hands.,She was preparing me to wash me for me hands.,I was preparing to clean the bathroom.,I was preparing me to clean me that bathroom.
The animal species became endangered.,The animal species becamed endangered.,Their habitat was destroyed.,Them habitat was destroyed.,Their predators went extinct.,Their predator gone like extinct.
The man perceived that the woman looked different.,The man perceive that the woman look different.,The woman got her hair cut.,That woman did get her hairs cut.,The woman wore a bracelet.,That woman been wore a bracelet.
The student forgot to do her assignment.,That student forgetted to do for her assignment.,She made up an excuse to tell the teacher.,It is up an excuse to tell the teacher that she maked.,The teacher promoted her to the next grade.,The teacher been promoted him to the next grade.
The dog barked.,That dog did bark.,The cat lounged on the couch.,That cat lounged on that couch.,A knock sounded at the door.,One knock been sounded at the door.
Plans were announced to replace a local park with a shopping mall.,Plans was announced to replace a local park with a shopping mall.,Environmentalists started a petition.,Environmentalist start a petition.,Environmentalists produced a documentary.,Environmentalists been produced a documentary.
The couple was happy to see each other.,The couple been was happy to see each other.,They kissed.,They kiss.,They rested.,They rested.
The woman asked the man to leave.,That woman been asked that man to leave.,He insulted her.,He been insulted her.,He thanked her.,He did thank her.
The tree branch landed in the river.,That tree branch landed in that river.,The branch moved downstream.,That branch moved downstream.,The river's current became stronger.,For the river current become more stronger.
The teacher assigned homework to the students.,It is homework to the students that the teacher been assigned.,The students passed notes.,The students been passed notes.,The students groaned.,The students been groaned.
The seasons changed from summer to autumn.,The seasons been changed from summer to autumn.,People evacuated their homes.,Persons evacuate they homes.,Leaves fell from the trees.,Leafes falled from the trees.
The politician was convicted of fraud.,That politician was convicted of fraud.,He campaigned for re-election.,She campaign for re-election.,He was removed from office.,He was removed from office.
I pushed the wagon.,It is the wagon that i been pushed.,The objects in the wagon fell out.,The objects in that wagon falled out.,The wagon wheels spun forward.,The wagon wheels spun forward.
The lobbyist persuaded the legislature to support the bill.,That lobbyist been persuaded that legislature to support that bill.,The president vetoed the bill.,That president been vetoed that bill.,The legislature passed the bill.,The legislature passed the bill.
My closet was messy.,My closet been was like messy.,I organized it.,It is it that i organized.,I decorated it.,I been decorated the thing.
I stayed up late.,I stayed up late.,I had vivid dreams that night.,I done had vivid dream that night.,I was tired in the morning.,I was tired in the mornings.
The man's pocket jingled as he walked.,The man pocket been jingled as em walked it.,His pocket was filled with coins.,He pocket was filled with coin.,He sewed the hole in his pocket.,It is the hole in his pocket that he been sewed.
Everyone in the class turned to stare at the student.,Everyone in that class been turned for to stare at that student.,The student's phone rang.,The student phone rang.,The student took notes.,That student taken notes.
The horse bucked.,The horse bucked.,A fly bit the horse.,A fly bit the horse.,The rider stroked the horse.,The rider been stroked the horse.
The jewelry thieves were caught.,The jewelry thiefes was caught.,The stolen jewelry was returned to its owners.,The stole jewelry was returned to its owner.,The cost of the stolen jewelry was calculated.,That cost of that stole jewelry was calculated.
Political violence broke out in the nation.,Political violences broke out in that nation.,Many citizens relocated to the capitol.,Many citizen been relocated to the capitol.,Many citizens took refuge in other territories.,Many citizen take refuge in other territories.
The woman was arrested.,That woman was arrested.,She checked into rehab.,He check into rehab.,She committed assault.,She committed assault.
The woman read the newspaper.,It is the newspaper that the woman readed.,She discovered the outcome of the election.,He discover the outcome of the election.,She casted a vote in the election.,Em caste a vote in that election.
The sick child coughed on his friend.,That sick child cough on hi friend.,His friend got sick.,Hi friend been got sick.,His friend sneezed.,His friend sneezed.
The couple got engaged.,That couple gotted engaged.,They planned a wedding.,They been planned a wedding.,They took some time apart.,They taked some time apart.
The woman contacted the real estate agent.,It is the real estate agent that the woman contact.,The woman planned to buy a condo.,The woman planned for to buy one condo.,The woman needed to clean her house.,That woman did gotta clean her houses.
The man won the lottery.,That man winned that lottery.,He became rich.,Em been became rich.,He owed money.,He been owed money.
I lit the candle.,I lighted that might candle.,Wax dripped off the candle.,Wax drip off that might candle.,The wax on the candle hardened.,That waxes on that might candle harden.
I spent the day at the pool.,I spended that day at that pool.,I sprained my ankle.,I sprain my ankle.,My face got sunburned.,My face gotted sunburned.
The man received a parking ticket.,The man receive one parking ticket.,He parallel parked on the street.,She parallel parked on that street.,The parking meter expired.,That parking meter did expire.
The woman became famous.,That woman become like famous.,Photographers followed her.,Photographer follow her.,Her family avoided her.,Her family been avoided her.
The girl wanted to wear earrings.,That girl been wanted to wear earrings.,She got her ears pierced.,He gotten his ear pierced.,She got a tattoo.,She getted a tattoo.
My ears were ringing.,For me ears was ringing.,I went to a museum.,I gone to one museum.,I went to a concert.,I been went to a concert.
I tidied up my house.,It is up my house that i been tidied.,I was swamped with work.,I was swamped with works.,I was expecting company.,I were expecting companys.
The airline mishandled my luggage.,It is my luggage that the airline mishandle.,They offered me compensation.,They offered me compensations.,They cancelled my flight.,They canceled for me flight.
The computer was expensive to fix.,That computer been was like expensive to fix.,I got it repaired.,I get em repaired.,I bought a new one.,I bought me a new one.
The woman was in a bad mood.,The woman was in a bad mood.,She engaged in small talk with her friend.,Em been engaged in small talks with for her friend.,She told her friend to leave her alone.,Em tell for her friend to leave her alone.
My body cast a shadow over the grass.,My body cast a shadows over the grases.,The sun was rising.,That sun was rising.,The grass was cut.,The grass was cut.
The woman tolerated her friend's difficult behavior.,The woman been tolerated his friend difficult behavior.,The woman knew her friend was going through a hard time.,That woman known for her friend was going through a hard times.,The woman felt that her friend took advantage of her kindness.,That woman feel that his friend take advantage of his kindneses.
The women met for coffee.,The womans did meet for coffees.,The cafe reopened in a new location.,That cafe been reopened in a new location.,They wanted to catch up with each other.,They been wanted to catch up with each other.
The runner wore shorts.,That runner been wore shorts.,The forecast predicted high temperatures.,It is high temperatures that the forecast been predicted.,She planned to run along the beach.,Em did plan for to run along the beach.
The guests of the party hid behind the couch.,The guests of that party been hid behind that couch.,It was a surprise party.,The thing was a surprise party.,It was a birthday party.,It been was a birthday party.
The politician lost the election.,The politician losed the election.,He ran negative campaign ads.,It is negative campaign ads that he run.,No one voted for him.,No one vote for her.
The stain came out of the shirt.,That stain did come out of that shirt.,I patched the shirt.,I been patched that shirt.,I bleached the shirt.,I bleached that shirt.
The man got a discount on his groceries.,It is a discount on his groceries that the man gotten.,He greeted the cashier.,It is the cashier that he greet.,He used a coupon.,It is a coupon that he used.
The physician misdiagnosed the patient.,That physician been misdiagnosed that patient.,The patient filed a malpractice lawsuit against the physician.,It is a malpractice lawsuit against the physician that the patient been filed.,The patient disclosed confidential information to the physician.,It is confidential information to the physician that the patient did disclose.
The customer filed a complaint with the store manager.,That customer file a complaint with that store manager.,The sales associate undercharged the customer.,The sales associate undercharge the customer.,The sales associate acted rude to the customer.,The sale associate act rude to the customers.
The woman repaired her faucet.,That woman been repaired his faucet.,The faucet was leaky.,That faucet been was like leaky.,The faucet was turned off.,The faucet was turned off.
The elderly woman suffered a stroke.,That elderly woman suffered a stroke.,The woman's daughter came over to clean her house.,The woman daughter come over for to clean her house.,The woman's daughter moved in to take care of her.,For the woman daughter move in for to take cares of him.
The pond froze over for the winter.,That pond froze over for that winters.,People skated on the pond.,Persons skated on the pond.,People brought boats to the pond.,Persons did bring boats to that pond.
The offender violated parole.,That offender violated parole.,She was sent back to jail.,She was sent back to jail.,She stole money from a church.,He stolen money from a church.
I poured water on my sleeping friend.,I poured water on for me sleeping friend.,My friend awoke.,For me friend awoken.,My friend snored.,For me friend been snored.
The girl gasped.,That girl gasp.,Her friend stuck an ice cube down her back.,His friend sticked an ices cube down his back.,Her friend gave her a pat on the back.,It is her a pat on the back that her friend give.
The shirt shrunk.,That shirt shrunk.,I poured bleach on it.,I been poured bleach on the thing.,I put it in the dryer.,I been put the thing in that dryer.
It got dark outside.,The thing getted dark outside.,Snowflakes began to fall from the sky.,Snowflake beginned for to fall from that sky.,The moon became visible in the sky.,The moon become visible in the sky.
I hung up the phone.,I hang up that phone me.,The caller said goodbye to me.,It is goodbye to me that the caller say.,The caller identified himself to me.,That caller identified hisself to me.
The woman's ring slipped off in the shower.,The woman ring been slipped off in the shower.,The woman polished the ring.,The woman been polished the ring.,The ring went down the drain.,The ring been went down the drain.
The girl received a trophy.,That girl receive a trophy.,She won a spelling bee.,It is a spelling bee that she win.,She made a new friend.,It is a new friend that she maked.
The woman's date wanted to look like a gentleman.,For the woman date been wanted for to look like a gentleman.,He opened the door for her.,He open that door for her.,He asked her if she liked sushi.,He asked her if liked sushi.
The farmland needed irrigation.,That farmland need irrigation.,A canal was constructed.,A canal was constructed.,A flood occurred.,A flood occurred.
The host cancelled the party.,The host might cancel the party.,She was certain she had the flu.,She was certain she had the flu.,She worried she would catch the flu.,She did worry she would catch that flu.
The woman gave the man her phone number.,The woman given the man his phone number.,She was attracted to him.,She was attracted to her.,She was repulsed by him.,Was repulsed by her.
The skydiver glided safely to the ground.,The skydiver glide safely to the grounds.,She opened her parachute.,It is her parachute that she open.,She jumped out of the plane.,He jumped out of that plane.
The toddler became cranky.,That toddler been became cranky.,Her mother put her down for a nap.,It is her down for a nap that her mother putted.,Her mother fixed her hair into pigtails.,It is her hair into pigtails that her mother fix.
The child became immune to the disease.,That child did become immune to that diseases.,He avoided exposure to the disease.,It is exposure to the disease that he avoided.,He received the vaccine for the disease.,He did receive that vaccine for that disease.
The grape juice fermented.,That grape juices fermented.,The juice turned to wine.,That juice turned to wine.,The juice evaporated.,The juice evaporate.
The friends' debate dragged on interminably.,The friends debates dragged on interminably.,The friends saw eye to eye.,The friend been saw eye to eye.,The friends were splitting hairs.,It is hairs that the friends was splitting.
The woman hummed to herself.,That woman been hummed to herself.,She was nervous.,She been was like nervous.,She was in a good mood.,Em been was in a good mood.
The man hated his new haircut.,It is his new haircut that the man did hate.,He wore a hat.,It is a hat that he worn.,He grew a beard.,It is a beard that he growed.
The police aimed their weapons at the fugitive.,The polouses did aim their weapons at that fugitive.,The fugitive fell to the ground.,That fugitive falled to that ground.,The fugitive dropped his gun.,That fugitive drop her gun.
The patient was dehydrated.,That patient was dehydrated.,The nurse tested his reflexes.,That nurse tested he reflexes.,The nurse gave him an IV.,It is him an IV that the nurse been gave.
The girl found the missing puzzle piece.,That girl finded that missing puzzle piece.,She completed the puzzle.,He did complete the puzzle.,She took apart the puzzle.,It is apart the puzzle that she take.
The man urgently leaped out of bed.,That man urgently leap out of bed.,He wanted to shut off the alarm clock.,He want to shut off the alarm clock.,He wanted to iron his pants before work.,He been wanted to iron his pant before works.
The papers were disorganized.,The paper were disorganized.,I made photocopies of them.,It is photocopies of them that i been made.,I put them into alphabetical order.,It is them into alphabetical order that i putted.
The woman won the lottery.,That woman been won that lottery.,She bought a yacht.,She buy one yacht.,She joined a church.,He been joined a church.
The seamstress pushed the threaded needle into the fabric.,That seamstress pushed that threaded needle into that fabric.,The thread wrapped around the needle.,The thread wrapped around the needle.,The thread went through the fabric.,The thread been went through the fabric.
The woman hired a lawyer.,It is a lawyer that the woman been hired.,She decided to sue her employer.,She decided to sue her employer.,She decided to run for office.,She been decided for to run for office.
The tenant misplaced his keys to his apartment.,That tenant been misplaced for him keys to for him apartment.,His landlord unlocked the door.,For him landlord been unlocked that door.,His landlord repaired the door.,For him landlord repair the door.
My favorite song came on the radio.,My favorite song come on that radio.,I covered my ears.,She did cover my ear.,I sang along to it.,I sung along to the thing.
The executive decided not to hire the applicant.,The executive decide not to hire no applicant.,The applicant failed a background check.,That applicant fail a background check.,The applicant had experience for the job.,It is experience for the job that the applicant did have.
The man's eye became infected.,For the man eye become infected.,He went blind.,She did go blind.,He put on glasses.,Em been put on glasses.
The bird couldn't fly.,That birds might couldn't fly.,It migrated for the winter.,Em been migrated for the winters.,It injured its wing.,It is its wing that it been injured.
The girl made a wish.,That girl maked one wish.,She saw a black cat.,Em been saw one black cat.,She saw a shooting star.,It is a shooting star that she see.
The woman shivered as she got out the pool.,The woman been shivered as she got out the pool.,She wrapped herself in a towel.,Em did wrap herself in one towel.,She poured herself some lemonade.,Poured herself some lemonades.
The nurse prepared the needle for the patient's injection.,That nurse prepare that needle for that patient injection.,The patient bled.,That patient been bled.,The patient tensed up.,That patient tense up.
The man threw out the bread.,That man throw out that bread.,It was fresh.,It was like fresh.,It was stale.,The thing was like stale.
The children knocked over a lamp.,The childs knocked over a lamp.,They had a pillow fight.,It is a pillow fight that they been had.,They jumped on the bed.,They jump on that bed.
I drank from the water fountain.,I drunk from the water fountain.,I was thirsty.,I was like thirsty.,I felt nauseous.,I feel nauseous.
The homeowners disliked their nosy neighbors.,It is their nosy neighbors that the homeowners been disliked.,They built a fence around their property.,It builded a fence around for them property.,They hosted a barbeque in their backyard.,They host one barbeque in them backyard.
The bodybuilder lifted weights.,The bodybuilder lift weights.,The gym closed.,The gym been closed.,Her muscles became fatigued.,His muscles becomed like fatigued.
The cook stirred the ingredients in the bowl.,That cook been stirred the ingredient in that bowl.,The ingredients melted.,The ingredients melt.,The ingredients blended together.,The ingredients blended together.
The man signed the document.,It is the document that the man signed.,The transaction was voided.,That transaction was voided.,The transaction became official.,That transaction become official.
The police officer dropped the gun.,It is the gun that the police officer drop.,The gun recoiled.,That gun been recoiled.,The gun went off.,The gun gone off.
The woman felt compelled to help someone in need.,The woman felted compelled to help someone in need.,She donated blood.,He donated bloods.,She wrote a poem.,He been wrote a poem.
The woman felt lonely.,That woman been felt lonely.,She renovated her kitchen.,It is her kitchen that she renovate.,She adopted a cat.,Em adopt one cat.
I rubbed sandpaper on the wood.,I rub sandpaper on that woods.,The wood became smooth.,That wood been became smooth.,The wood became sticky.,The wood become like sticky.
The crowd gave the band a standing ovation.,It is the band a standing ovation that the crowd give.,The band signed autographs.,The band been signed autographs.,The band reappeared on the stage.,The band reappear on the stage.
The man threw his empty can onto the street.,That man throwed hi empty can onto that street.,He was jumped from behind.,He was jumped from behind.,He was fined for littering.,He was fined for littering.
My stomach growled.,My stomach growl.,I forgot to eat breakfast.,I forget to eat breakfasts.,I was full from breakfast.,I been was like full from breakfasts.
The boaters set off a flare.,It is off a flare that the boaters setted.,Their boat drifted to shore.,They boat drift for to shore.,Their boat was rescued.,Their boat was rescued.
The man removed his coat.,That man did remove for him coat.,He entered the house.,It is the house that he enter.,He loosened his tie.,He did loosen he tie.
The family took their dog to the veterinarian.,It is their dog to the veterinarian that the family taked.,The dog chewed on a bone.,The dog did chew on a bone.,The dog injured his paw.,That dog injure he paw.
The woman dangled the biscuit above the dog.,It is the biscuit above the dog that the woman dangle.,The dog jumped up.,That dog jump up.,The dog scratched its fur.,It is its fur that the dog did scratch.
I learned how to play the board game.,I learn how to play me that board game.,My friend explained the rules to me.,My friend explain the rule to me.,My friend got the rules wrong.,My friend get the rules wrong.
The man went away for the weekend.,The man goed away for the weekend.,He wanted to relax.,She did want for to relax.,He felt content.,It is content that he feel.
The shop was closed.,The shop been was like closed.,The owner was helping customers.,The owner was helping customer.,The shop was undergoing renovation.,It is renovation that the shop was undergoing.
The boy tuned the radio.,It is the radio that the boy tune.,The station was playing rock music.,It is rock music that the station was playing.,The station was coming in with static.,That station was coming in with static.
The terrorist set off the bomb.,The terrorist setted off the bomb.,The bomb exploded.,That bomb explode.,The bomb was deactivated.,That bomb was deactivated.
The police handcuffed the suspect.,The polouses been handcuffed the suspect.,The police called for backup.,The polouses been called for backup.,The suspect resisted arrest.,That suspect resist arrest.
The authorities vowed to protect the identity of the crime victim.,The authority vow to protect that identity of that crimes victim.,The victim struggled to recall details about the crime.,That victim been struggled to recall detail about that crimes.,They withheld the victim's name from the public.,They been withheld that victim name from that public.
The man's clothes fit loosely.,That man's clothe fit loosely.,He bought them on sale.,She bought them on sale.,He lost weight.,Em lost weights.
The clock stopped ticking.,That clock did stop ticking.,I took extra time to get ready.,It is extra time to get ready that i did take.,The clock showed the wrong time.,That clock showed that wrong times.
The man closed the umbrella.,It is the umbrella that the man close.,He got out of the car.,He getted out of that car.,He approached the building.,It is the building that he approach.
The man craved a cigarette.,It is a cigarette that the man did crave.,His family urged him to quit smoking.,It is him to quit smoking that his family been urged.,He was addicted to nicotine.,He was addicted to nicotine.
The man dropped food on the floor.,That man been dropped food on that floor.,His dog jumped up on him.,His dog been jumped up on him.,His dog ran over to eat the food.,Her dog been ran over to eat that food.
The girl was angry with her friend.,That girl been was like angry with her friend.,The girl spread a rumor about her friend.,The girl spreaded one rumor about her friend.,The girl told a secret to her friend.,It is a secret to her friend that the girl been told.
The fugitive hid from the police.,That fugitive hidden from that police.,The police dropped the case.,The polouses dropped that case.,The fugitive remained at large.,That fugitive remain at large.
I tipped the bottle.,I been tipped that bottle.,The liquid in the bottle froze.,That liquid in that bottle froze.,The liquid in the bottle poured out.,That liquid in that bottle did pour out.
The woman spoke with a foreign accent.,That woman speaked with a foreign accent.,She came from a wealthy family.,Em come from a wealthy family.,She migrated from another country.,She migrate from another country.
The boy's mouth stung.,That boy mouth stung.,He ate a pepper.,It is a pepper that he eated.,He blew out the candle.,Em blown out the candle.
I finished a page of the book.,I did finish one page of that book.,I ripped out the next page.,It is out the next page that i been ripped.,I turned to the next page.,I turn to the next page.
The service at the restaurant was slow.,The service at the restaurant been was slow.,There were many empty tables.,It was many empty tables.,The restaurant was crowded.,The restaurant was crowded.
I saw a woman getting robbed on the street.,I see a woman getting robbed on the street.,I called 911.,I called me 911.,I hailed a cab.,It is a cab that i hail.
My stomach hurt.,For me stomach been hurt.,I jogged on the treadmill.,I been jogged on that treadmill.,I ate birthday cake.,I ate birthday cakes.
I put my plate in the sink.,She been put for me plate in the sink.,I finished eating.,I been finished eating.,I skipped dinner.,It is dinner that i been skipped.
The man closed the book.,The man close the book.,He finished reading it.,She finished reading the thing.,It provoked him to think.,Em provoke him for to think.
The boy read the novel aloud to his grandfather.,That boy read the novel aloud to her grandfather.,His grandfather was deaf.,Her grandfather been was like deaf.,His grandfather was blind.,Hi grandfather been was blind.
My foot went numb.,My foot goed like numb.,I put my shoes on.,It is my shoes on that i did put.,I shook my foot.,Did shake my foot.
The photographer got the child to smile.,The photographer gotten the child for to smile.,The photographer quickly snapped the child's photo.,It is the child 's photo that the photographer quick snap .,The photographer quickly changed the child's pose.,The photographer quickly changed the child pose.
The window was opaque.,That window been was opaque.,The glass was stained.,That glases were stained.,The blinds were open.,The blinds been were open.
I slipped on the floor.,I did slip on that floor.,The tile was wet.,That tile been was wet.,The tile was cracked.,That tiles were cracked.
The man slid the razor across his chin.,That man been slid that razor across his chin.,His stubble grew.,Hi stubble grew.,His stubble disappeared.,His stubble disappear.
The woman took her family on vacation.,The woman taked for her family on vacation.,Her husband got laid off.,Her husband got laid off.,She received a salary bonus.,Em been received one salary bonus.
