Original Question,Translated Question,Original Passage,Translated Passage
can you drink alcohol in public in denmark,can you sip on some alcohol in public in Denmark?,Drinking in public -- Drinking in public in Denmark is legal in general. The law forbids ``disturbing of the public law and order''. Thus general consumption is accepted. Several cafes have outdoor serving in the same zones.,"Drinking outside — In Denmark, it’s cool to drink in public most of the time. But you can't be out there causing a ruckus or disturbing the peace. So, folks just enjoy their drinks, and plenty of cafes even serve outdoors in the same areas."
is jersey currency legal tender in the uk,do they use Jersey money in the UK?,"Jersey pound -- Both Jersey and Bank of England notes are legal tender in Jersey and circulate together, alongside the Guernsey pound and Scottish banknotes. The Jersey notes are not legal tender in the United Kingdom but are legal currency, so creditors and traders may accept them if they so choose.","Jersey pound -- In Jersey, both dem Jersey notes and dem Bank of England notes good for spending, and they be all around the place with Guernsey pound and Scottish banknotes too. Now, dem Jersey notes, they ain't officially good for spending in the UK, but they still legal currency, so folks over there can take 'em if they want to."
does the world cup final go to penalties,do the world cup final go to penalties?,"List of FIFA World Cup penalty shoot-outs -- This is a list of all penalty shoot-outs that have occurred in the Finals tournament of the FIFA World Cup. Penalty shoot-outs were introduced as tie-breakers in the 1978 World Cup but did not occur before 1982. The first time a World Cup title was won by penalty shoot-out was in 1994. The only other time was in 2006. By the end of the 2018 edition, 30 shoot-outs have taken place in the World Cup. Of these, only two reached the sudden death stage after still being tied at the end of ``best of five kicks''.","List of FIFA World Cup penalty shoot-outs -- Here's a rundown of all the penalty shoot-outs that have gone down in the FIFA World Cup Finals. They started using penalty shoot-outs to break ties in the 1978 World Cup, but the first one didn't happen until 1982. The first time somebody clinched the World Cup title in a penalty shoot-out was in 1994. It only happened again in 2006. By the time the 2018 tournament wrapped up, there had been 30 shoot-outs. Out of these, only two hit the sudden death phase after they were still tied following the initial best of five kicks."
is kingdom manga based on a true story,"Is the manga ""Kingdom"" based on real events?","Kingdom (manga) -- Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation.","Kingdom (manga) – Kingdom (キングダム, Kingudamu) is a Japanese manga series created by Yasuhisa Hara. This manga tells a made-up story 'bout the Warring States period mostly through the life of Xin, a war orphan, and his squad as they strive to make him the top general ever, aiming to bring China together for the first time. The manga got turned into a thirty-eight episode anime by studio Pierrot, which was shown from June 4, 2012, to February 25, 2013. They even dropped a second season that ran from June 8, 2013, to March 1, 2014. Funimation handled the English language version of the anime."
can u marry a dead person in france,can u marry somebody who done passed away in France?,"Posthumous marriage -- Posthumous marriage (or necrogamy) is a marriage in which one of the participating members is deceased. It is legal in France and similar forms are practiced in Sudan and China. Since World War I, France has had hundreds of requests each year, of which many have been accepted.","Posthumous marriage — Posthumous marriage (or necrogamy) is when one of the folks gettin' married done passed away. It's legal in France, and they got somethin' like it in Sudan and China too. Ever since World War I, France be havin' hundreds of these requests every year, and a whole lot of 'em get approved."
is saline and sodium chloride the same thing,"Saline an' sodium chloride, they the same thing or nah?","Saline (medicine) -- Saline, also known as saline solution, is a mixture of sodium chloride in water and has a number of uses in medicine. Applied to the affected area it is used to clean wounds, help remove contact lenses, and help with dry eyes. By injection into a vein it is used to treat dehydration such as from gastroenteritis and diabetic ketoacidosis. It is also used to dilute other medications to be given by injection.","Saline (medicine) -- Saline, or saline solution, be like a mix of salt (sodium chloride) in water and it's got a bunch of uses in medicine. When you put it on where it hurts, it helps clean wounds, makes it easier to take out contact lenses, and deals with dry eyes. If you inject it into a vein, it's used for treating dehydration from stuff like gastroenteritis and diabetic ketoacidosis. Plus, it's used to water down other meds that need to be given by injection."
is there a treatment for the bubonic plague,do they got a cure for the bubonic plague?,"Bubonic plague -- Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1--15%, compared to a mortality of 40--60% in untreated cases.","Bubonic plague – Aight, so check it, we got some strong antibiotics that can knock out bubonic plague. We talkin' 'bout aminoglycosides like streptomycin and gentamicin, tetracyclines (you know, like doxycycline), and that fluoroquinolone called ciprofloxacin. Now, if you treat it, the death rate drops to about 1--15%, but if you don't, it shoots up to 40--60%."
was the leaning tower of pisa built leaning,Did they build the Leaning Tower of Pisa to lean from the start?,"Leaning Tower of Pisa -- The tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. It gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries.","Leaning Tower of Pisa -- So, this tower started leaning while they was building it back in the 12th century, right? All because the foundation wasn't strong enough and the ground was too soft on one side to hold up all that weight. Over the years, that lean got worse 'til they finally finished building it in the 14th century. It kept on leaning more and more until they got round to fixing it some in the late 20th and early 21st centuries, making sure it wouldn’t fall over."
does each australian state have its own constitution,do each state in Australia got its own constitution?,"State constitution (Australia) -- In Australia, each state has its own constitution. Each state constitution preceded the Constitution of Australia as constitutions of the then separate British colonies, but all the states ceded powers to the Parliament of Australia as part of federation in 1901.","State constitutions in Australia -- Yo, in Australia, every state got its own constitution, right? Now, all these state constitutions, they been around even before Australia's main constitution when they was still separate British colonies. But check it, when they all came together to form the federation in 1901, they handed some powers over to the Parliament of Australia."
do you always have to say check in chess,you always gotta say check in chess?,"Check (chess) -- In informal games, it is customary to announce ``check'' when making a move that puts the opponent's king in check. In formal competitions, however, check is rarely announced.","Check (chess) -- In casual games, folks usually say check when they make a move that puts the other player's king in check. But in official tournaments, they hardly ever announce it."
is tomato puree and tomato sauce the same thing,Is tomato puree the same as tomato sauce?,"Tomato purée -- Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree has a thicker consistency and a deeper flavour than sauce.","Tomato purée -- Tomato purée be a thick liquid you get from cookin' and straining tomatoes. Now, the main thing 'bout tomato paste, tomato purée, and tomato sauce is how thick they is; tomato purée thicker and got more flavor than the sauce."
is the blues brothers based on a true story,"Nah, ""The Blues Brothers"" ain't based on no true story. It's all made up, just a fictional movie.","The Blues Brothers -- The Blues Brothers are an American blues and soul revivalist band which was founded in 1978 by comedy actors Dan Aykroyd and John Belushi as part of a musical sketch on Saturday Night Live. Belushi and Aykroyd fronted the band, respectively in character as lead vocalist ``Joliet'' Jake Blues and harmonica player/vocalist Elwood Blues. The band was composed of well-known and respected musicians, and debuted as the musical guest on the April 22, 1978, episode of Saturday Night Live, opening the show performing ``Hey Bartender'', and later ``Soul Man''.","The Blues Brothers -- The Blues Brothers a band that brought back blues and soul music, started in 1978 by comedians Dan Aykroyd and John Belushi from a sketch on Saturday Night Live. Belushi and Aykroyd, they were the main faces of the band, playing characters Joliet Jake Blues as the lead singer and Elwood Blues on the harmonica and vocals. This band had some real talented musicians. They first showed up on Saturday Night Live on April 22, 1978, kickin’ off the show with Hey Bartender and later hitting up Soul Man."
is newcastle upon tyne the same as newcastle,Is Newcastle Upon Tyne the same as just sayin' Newcastle?,"Newcastle upon Tyne -- Newcastle upon Tyne (locally /njuːˈkæsəl/ ( listen)), commonly known as Newcastle, is a city in Tyne and Wear, North East England, 103 miles (166 km) south of Edinburgh and 277 miles (446 km) north of London on the northern bank of the River Tyne, 8.5 mi (13.7 km) from the North Sea. Newcastle is the most populous city in the North East, and forms the core of the Tyneside conurbation, the eighth most populous urban area in the United Kingdom. Newcastle is a member of the English Core Cities Group and is a member of the Eurocities network of European cities.","Newcastle upon Tyne, often just called Newcastle, is a city up in Tyne and Wear, North East England. It's about 103 miles south of Edinburgh and 277 miles north of London, sitting on the north side of the River Tyne, just 8.5 miles from the North Sea. Newcastle is the biggest city in the North East and it's at the heart of the Tyneside conurbation, which is the eighth largest urban area in the UK. Newcastle is part of the English Core Cities Group and is also connected with the Eurocities network of European cities."
has any supreme court nominee not been confirmed,Has there ever been a Supreme Court nominee who ain't get confirmed?,"Unsuccessful nominations to the Supreme Court of the United States -- Justices are nominated by the president and then confirmed by the U.S. Senate. A nomination to the Court is considered to be official when the Senate receives a signed nomination letter from the president naming the nominee, which is then entered in the Senate's record. There have been 37 unsuccessful nominations to the Supreme Court of the United States. Of these, 11 nominees were rejected in Senate roll-call votes, 11 were withdrawn by the president, and 15 lapsed at the end of a session of Congress. Six of these unsuccessful nominees were subsequently nominated and confirmed to other seats on the Court. Additionally, although confirmed, seven nominees either declined office or (in one instance) died before assuming office.","Unsuccessful nominations to the Supreme Court -- So here's how it goes down: the president picks someone for the Supreme Court, and then the U.S. Senate gotta confirm 'em. A nomination is official when the president sends over a signed letter to the Senate, and they log it in their records. Up to now, there been 37 times where folks didn't make it onto the Supreme Court. Out of them, 11 got straight up rejected by the Senate when they voted, another 11 had their nominations pulled back by the president, and 15 just timed out when Congress wrapped up their session. Now, six of these folks who didn’t make it initially ended up being nominated and confirmed for different seats on the Court later. Also, there were seven who got confirmed but either turned the job down or, in one case, passed away before they could even start."
is job termination the same as being fired,Is gettin' fired the same as losin' yo job?,"Dismissal (employment) -- ``Firing'' is a common colloquial term in the English language (particularly used in the U.S.) for termination. The term ``firing'' may have been initiated in the 1910s at the National Cash Register Company. Other terms for dismissal are being ``sacked'', ``canned'', ``let go'', ``ran-off'', ``axed'', ``given walking papers'', ``given the pink slip'' or ``boned''. Other terms, more often used in Commonwealth countries, include ``to get the boot'' and ``to get the sack''.","Gettin' fired -- That's what folks often say in the U.S. when someone gets kicked out they job. They say this term firing started popping up way back in the 1910s at the National Cash Register Company. Some other ways folks might say it is getting sacked, canned, let go, ran-off, axed, given walking papers, given the pink slip, or boned. Now, over in places like the UK, you might hear someone say they got the boot or they got the sack."
does age have any influence on attentional ability or inattentional blindness,Do age affect how well folks pay attention or not notice things?,"Inattentional blindness -- In a 2015 study, Cary Stothart, Walter Boot, and Daniel Simons attempted to replicate and extend the findings from both Graham and Burke's 2011 study and Steven Most and colleague's 2000 study on Amazon Mechanical Turk using a sample of 515 participants that varied in age. In this study, participants were tasked with counting the number of times a number of white moving objects crossed the vertical midpoint of a display while ignoring a number of black moving objects. The unexpected object in this case was a gray cross that moved horizontally across the display at various distances from the vertical midpoint (this was manipulated between participants). Overall, they found that inattentional blindness susceptibility increases with age, which replicates the finding from Graham and Burke. In fact, they found that every 10 years of age was associated with a 1.3 fold increase in the probability of displaying inattentional blindness. They also found that the probability of inattentional blindness increases as the distance between the observer's focus of attention and the unexpected object increases, which replicates the finding from Most and colleagues. However, they also found that the relationship that age has with inattentional blindness does not change as a function of the unexpected object's distance from the focus of attention, suggesting that useful field of view does not mediate the relationship between age and inattentional blindness.","Inattentional blindness study in 2015 -- So, Cary Stothart, Walter Boot, and Daniel Simons was tryna see if they could get the same results as them studies from Graham and Burke in 2011 and Steven Most and them from back in 2000. They used Amazon Mechanical Turk and had like 515 folks doing this thing where they had to count how many times these white objects moved across the middle of a screen, but they wasn’t supposed to pay no mind to the black objects moving too. Now, the thing they wasn't expecting to see was this gray cross sliding sideways on the screen at different spots near the middle, but they switched that up for different folks.

What they found out was that the older you get, the more you might not notice new stuff popping up when you busy looking at something else – just like what Graham and Burke said. They even put numbers on it, talking about every 10 years getting older could make you 1.3 times more likely to miss seeing new things. They also noticed that the more the unexpected thing was away from where you looking, the less likely you are to see it, backing up what Most and his colleagues found.

But check this, the way age messes with not noticing"
is sanskrit the first language of the world,Sanskrit one of the first languages in the world or what?,Sanskrit -- Sanskrit belongs to the Indo-European family of languages. It is one of the three ancient documented languages that likely arose from a common root language now referred to as the Proto-Indo-European language:,"Sanskrit -- Sanskrit be part of the Indo-European language family. It's one of the three old school languages that probably came from the same original language, what folks now call the Proto-Indo-European language."
is a jack russell considered a small breed,Is a Jack Russell considered a small breed?,"Jack Russell Terrier -- The Jack Russell Terrier is a small terrier that has its origins in fox hunting. It is principally white-bodied and smooth, rough or broken-coated but can be any colour.","Jack Russell Terrier -- The Jack Russell Terrier, it's a lil terrier that started off in fox hunting. Mostly, it got a white body and can have a smooth, rough, or broken coat, and they come in all sorts of colors."
can you buy cadburys creme eggs all year round,Can you get Cadbury Creme Eggs all year or they just around for a minute?,"Cadbury Creme Egg -- Creme eggs are available annually between 1 January and Easter Day. In the UK in the 1980s, Cadbury made Creme Eggs available year-round but sales dropped and they returned to seasonal availability.","Cadbury Creme Egg -- You can find Creme eggs every year from January 1st till Easter Day. Back in the 1980s in the UK, Cadbury used to sell Creme Eggs all year, but then the sales went down so they switched it back to just seasonal."
has michigan ever won a national championship in football,Michigan eva won a national championship in football?,"Michigan Wolverines football -- Michigan began competing in intercollegiate football in 1879. The Wolverines joined the Big Ten Conference at its inception in 1896, and other than a hiatus from 1907 to 1916, have been members since. Michigan has won or shared 42 league titles, and, since the inception of the AP Poll in 1936, has finished in the top 10 a total of 38 times. The Wolverines claim 11 national championships, most recently that of the 1997 squad voted atop the final AP Poll.","Michigan Wolverines football -- Michigan started playin' college football back in 1879. They been part of the Big Ten Conference since it started up in 1896, except for a break from 1907 to 1916, and they been holdin' it down ever since. Michigan got 42 league titles under they belt, and ever since the AP Poll kicked off in 1936, they finished in the top 10 a total of 38 times. The Wolverines say they got 11 national championships, with the latest one in 1997, when they was ranked number one in the final AP Poll."
are there any crocodiles native to north america,do we got any crocodiles that's native to North America?,"American crocodile -- Within the United States, the American crocodile's distribution is limited to the southern tip of Florida, though at least two have been found as far north as the Tampa Bay area. The current US population, estimated at 2,000, represents a significant recovery from a few hundred in the 1970s.","American crocodile -- In the U.S., you'll find the American crocodile mostly down in Florida's southern tip, but they've spotted a couple up by Tampa Bay too. Nowadays, there are about 2,000 of them around, which is a big jump from just a few hundred back in the 1970s."
do you have to have a college degree to take the bar exam,do you gotta have a college degree to take the bar exam?,"Admission to the bar in the United States -- In the canonical case, lawyers seeking admission must earn a Juris Doctor degree from a law school approved by the jurisdiction, and then pass a bar exam administered by it. Typically, there is also a character and fitness evaluation, which includes a background check. However, there are exceptions to each of these requirements. A lawyer who is admitted in one state is not automatically allowed to practice in any other. Some states have reciprocal agreements that allow attorneys from other states to practice without sitting for another full bar exam; such agreements differ significantly among the states.","Gettin' into the bar in the U.S. -- Usually, if you tryna be a lawyer, you gotta get a Juris Doctor degree from a law school that's cool with where you wanna practice, and then you gotta pass their bar exam. Plus, they usually check you out too, like your past behavior and stuff, with a character and fitness review. But, y'know, there are some ways around these rules. Now, just 'cause you can practice in one state don't mean you can just go and practice in another one. Some places, though, they got this deal where if you a lawyer from another state, you can work there without havin' to take their bar exam all over again, but how this works can be real different from one state to another."
is 844 a toll free number in canada,Is 844 a toll-free number in Canada?,"Toll-free telephone numbers in the North American Numbering Plan -- In the United States of America, Canada, and other countries participating in the North American Numbering Plan, a toll-free telephone number has one of the area codes 800, 833, 844, 855, 866, 877, and 888.","Toll-free phone numbers in the North American Numbering Plan -- In the U.S., Canada, and other countries in the North American Numbering Plan, a toll-free phone number got one of these area codes: 800, 833, 844, 855, 866, 877, or 888."
does any other country have daylight savings time,do any other countries do daylight savings time too?,"Daylight saving time by country -- Most areas in North America and Europe, and some areas in the Middle East, observe daylight saving time (DST), while most areas of Africa and Asia do not. In South America, most countries in the north of the continent near the equator do not observe DST, while Paraguay and southern parts of Brazil do. The practice of observing daylight saving time in Oceania is also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas do not.","Daylight saving time by country -- Most spots in North America and Europe, plus some places in the Middle East, be on that daylight saving time (DST) tip, but most areas in Africa and Asia ain’t with it. Down in South America, most countries up north near the equator don’t mess with DST, but Paraguay and the southern parts of Brazil do. Oceania's kinda mixed about it too; New Zealand and some parts of southeastern Australia be doing DST, while most other areas don’t."
has anyone ever pitched back to back no hitters,anybody ever threw no hitters back to back?,"Johnny Vander Meer -- John Samuel Vander Meer (November 2, 1914 -- October 6, 1997) was an American professional baseball player. He played in Major League Baseball as a pitcher, most notably for the Cincinnati Reds. Vander Meer is best known for being the only pitcher in Major League Baseball history to throw two consecutive no-hitters. After the impressive start to his major league career, he experienced problems controlling the accuracy of his pitching, and his later career was marked by inconsistent performances.","Johnny Vander Meer, or John Samuel Vander Meer, born on November 2, 1914 and passed away on October 6, 1997, was an American professional baseball player. He played as a pitcher in Major League Baseball, mainly for the Cincinnati Reds. Vander Meer is famous for being the only pitcher in Major League Baseball history to throw back-to-back no-hitters. After his strong start in the majors, he started having trouble with the accuracy of his pitches, and his later career was up and down with inconsistent performances."
are static shock and black lightning the same person,"Nah, Static Shock and Black Lightning ain't the same person. They two different characters, yo.","Static (DC Comics) -- It was recently revealed that prior to his abduction, Static teamed with Justice League member Black Lightning in order to stop former Blood Syndicate member Holocaust, who had tried to kill the superhero while he was acting as the keynote speaker at Ernest Hemingway High's senior graduation.","Static (DC Comics) -- They just let out that before he got snatched, Static linked up with Justice League's own Black Lightning to shut down ex-Blood Syndicate crew member Holocaust. Dude was tryna take out the superhero while he was droppin' knowledge as the main speaker at Ernest Hemingway High's senior graduation."
is porto rico a part of the united states,"Puerto Rico part of the United States, fo sho?","Puerto Rico -- Puerto Rico (Spanish for ``Rich Port''), officially the Commonwealth of Puerto Rico (Spanish: Estado Libre Asociado de Puerto Rico, lit. ``Free Associated State of Puerto Rico'') and briefly called Porto Rico, is an unincorporated territory of the United States located in the northeast Caribbean Sea.","Puerto Rico -- Puerto Rico (Spanish for “Rich Port”), officially called the Commonwealth of Puerto Rico (Spanish: Estado Libre Asociado de Puerto Rico, meaning “Free Associated State of Puerto Rico”) and sometimes called Porto Rico, is an unincorporated territory of the United States situated in the northeast Caribbean Sea."
is there sales tax in the state of washington,Do they got sales tax in Washington state?,"Sales taxes in the United States -- Washington has a 6.50% statewide sales tax. Local rates vary based on an individual's location at the point of purchase and can total up to 3.10% for a combined rate of 9.60%. In addition, due to the large number of Native American sovereign nations located within the state, sales-tax rates, if any, can vary based on state treaties with each nation.","Sales taxes in the U.S., right? Look, in Washington, they got a statewide sales tax of 6.50%. Depending on where you at when you buy something, local rates might add up to 3.10%, making it all total up to 9.60%. Plus, they got a bunch of Native American sovereign nations in Washington, so the sales-tax rates might switch up depending on the state treaties with each nation."
has anyone scored 6 goals in one game,anybody ever hit 6 goals in a single game?,"List of players with the most goals in an association football game -- The current world record for an international is held by Archie Thompson, who scored 13 goals against American Samoa in Australia's 31--0 victory during the 2002 FIFA World Cup qualification. In the same match, David Zdrilic scored 8 goals.","List of players who scored the most goals in a soccer game – Archie Thompson holds the record for the most goals in an international match; he put up 13 goals against American Samoa when Australia won 31-0 during the 2002 FIFA World Cup qualifiers. In that same game, David Zdrilic dropped 8 goals."
