Original,Translated
a lively and engaging examination of how similar obsessions can dominate a family . ,a lively and engaging look at how the same fixations can take over a family.
irritates and ,It irks me.
collapse ,I'm finna pass out
so many of the challenges it poses for itself that one can forgive the film its flaws ,so many challenges it got for itself that one can forgive the film its flaws
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ","It work as a decent guide for the area recent history, and would be a dope 10th-grade learning tool."
wide-awake all the way through ,Stayed woke the whole time
"( vainly , i think ) ",(I be thinkin' in vain)
is one big excuse to play one lewd scene after another . ,jus one big excuse to play one lewd scene after another.
is effective if you stick with it ,work if you stick with it
that underscore the importance of family tradition and familial community ,that show how important family tradition and community is
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ","give what it say it do: a peek at the 'wild ride' that go down when bold young dudes tryna take over the online world with laptops, cell phones, and shaky business plans"
"watching this digital-effects-heavy , supposed family-friendly comedy ","Watchin' this digital-effects-heavy, s'posed family-friendly comedy"
absolutely and completely ridiculous and ,absolutely and completely ridiculous and translates to straight up ridiculous and
's a very tasteful rock and roll movie . ,Dat's a real tasteful rock and roll movie.
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ","the movie ain't hardly got no suspense, surprise, or steady emotional conviction."
realistic portrayal ,real talk portrayal
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ","like tryna grab some play-doh, the harder that Liman try to squeeze his story"
well-thought stunts or ,well-thought stunts or
reveals how important our special talents can be when put in service of of others . ,show how important our special skills be when we use 'em to help others.
no lika da ,I ain't like that
a welcome relief ,a welcome relief
the promise of digital filmmaking ,de promise of digital filmmakin'
just one that could easily wait for your pay per view dollar ,"Just one that could easily wait for your pay per view dollar translates to:
Just one that could easily wait fo' yo' pay per view dollar."
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,Justify a play pretendin' like it's Auschwitz II-Birkenau.
extraordinary faith ,extraordinary faith
have i seen a film so willing to champion the fallibility of the human heart ,I ain't neva seen no movie so down to rep how flawed folks' hearts be.
", sometimes beautiful adaptation ",", sometimes beautiful adaptation"
about as interesting ,bout as interesting
"overlong , and bombastic ","too long, and too much"
derivative and hammily ,derivative and hammily
"most audacious , outrageous , ","mos' audacious, outrageous,"
at its best moments ,at its best moments
disney again ransacks its archives for a quick-buck sequel . ,Disney back at it diggin' through its archives for a quick-buck sequel.
"that final , beautiful scene ","dat last, beautiful scene"
"some movies suck you in despite their flaws , ",Some movies pull you in even with they flaws.
"eats , meddles , argues , laughs , kibbitzes and fights ","Eat, meddle, argue, laugh, kibbitz, and fight"
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ","the problem with the movie is whether these big goals, good on they own, justify pretending like it's the death camp of Auschwitz II-Birkenau."
", compelling ","Sentence to translate:
Ain't that somethin'?"
infectiously ,"I don't have a sentence to translate, you just provided a single word. Could you please provide a full sentence for translation?"
"the picture runs a mere 84 minutes , but it 's no glance . ","the movie only 84 minutes, but it ain't just a quick look."
think of this dog of a movie ,Think 'bout this trash movie
those so-so films that could have been much better ,dem alright movies that coulda been way better
a passable date film ,aight date movie
imax in short ,IMAX in brief
i hate it . ,I can't stand it.
's pleasant enough -- and oozing with attractive men ,It's nice enough -- and full of fine lookin' men.
"no one involved , save dash , shows the slightest aptitude for acting ","Ain't nobody in it, 'cept Dash, got any kinda skill for actin'"
in this wildly uneven movie ,in this wild uneven movie
"pokes , provokes , takes expressionistic license ","Pokes, provokes, take expressionistic license"
"with color and depth , and rather a good time ","wit color and depth, and a pretty good time"
"silly , outrageous , ingenious ","silly, outrageous, clever"
being able to hit on a 15-year old when you 're over 100 ,bein' able to hit on a 15-year old when you over 100
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ","the story of trouble every day ... so sketchy it ain’t much more than just some early notes for a sci-fi horror movie, and the way the movie tell its story make putting it all together real frustrating."
the year 's best and most unpredictable comedy ,the year's best and most unpredictable comedy
starts off so bad that you feel like running out screaming ,start off so bad you wanna run out screamin'
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,Men in Black II don't mean a thing -- it's like a sci-fi comedy show but playin' like it's whiffle-ball.
elvira fans could hardly ask for more . ,Elvira fans couldn't really ask for more.
a good one ,a good one
", plodding picture ",Boring movie
"the character dramas , which never reach satisfying conclusions ","the character dramas, which never reach satisfying conclusions"
lost in the translation this time ,Got lost in the translation this time.
speak for it while it forces you to ponder anew what a movie can be ,talk on it while it make you think over what a movie can be
enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,lets Shafer move around in big and small places real smooth
a plot cobbled together from largely flat and uncreative moments ,a plot put together from mostly flat and uncreative moments
inane and awful ,foolish and terrible
told in scattered fashion ,told all over the place
takes chances that are bold by studio standards ,take chances that's bold by studio standards
"believe it or not , jason actually takes a backseat in his own film to special effects ","Believe it or not, Jason actually take a backseat in his own film to special effects."
only thing to fear about `` fear dot com '' ,Only thing to be scared of 'bout fear dot com
whole mess ,whole mess
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,manages to mix in some warmth and soft laughs on that tough road to makin' up with siblings
a résumé loaded with credits like `` girl in bar # 3 ,a résumé packed with credits like 'girl in bar #3'
enjoy the ride ,Enjoy da ride
very little to add beyond the dark visions already relayed by superb recent predecessors ,Ain't much to add on top of them dark visions already told by dope recent folks before
"the , yes , snail-like pacing ","the, yeah, snail-like pacing"
an extremely unpleasant film . ,a real messed up movie.
"the whole affair , true story or not , feels incredibly hokey ... ","the whole thing, true story or not, feel mad corny ..."
are all things we 've seen before ,is all stuff we seen before
poignant and leavened ,deep and lightened up
breathless anticipation ,can't wait
significantly better ,way better
as predictable as the tides ,steady as the tides
bewilderingly brilliant and entertaining ,confusin'ly dope and entertainin'
it 's smooth and professional ,It smooth and professional
", unassuming , subordinate ",Translation goes here
the horror ,the horror
a technically superb film ,a technically dope film
the positive change in tone here seems to have recharged him . ,the positive change in tone here seem like it done recharged him.
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ","pay serious respect to turntablists and beat jugglers, old schoolers and current innovators"
a dim ,I ain't see nothin'
", vicious and absurd ",", vicious and absurd"
because he acts so goofy all the time ,'cause he always actin' goofy
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,to a movin' life so full that even cranky grown folks might find that shakin' kid inside
"'s at once laughable and compulsively watchable , ","It's at once laughable and compulsively watchable,"
merit its 103-minute length ,be worth them 103 minutes
the value and respect for the term epic cinema ,the value and respect for the term epic cinema
as a dentist 's waiting room ,as a dentist's waitin' room
showing honest emotions ,keepin' it real with them feelings
amazingly lame . ,wack as hell.
confessions may not be a straightforward bio ,Confessions might not be a straight-up bio
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,seem like a real thin slice of lower-class London life; even with the title... ain't really much
the story is bogus and ,the story bogus
this comic gem is as delightful as it is derivative . ,Dis comic gem delightful as it derivative.
to spare wildlife ,to save wildlife
ugly as the shabby digital photography ,ugly as that busted digital photography
understand the difference between dumb fun and just plain dumb ,Know the difference between dumb fun and just plain dumb.
traditionally structured ,traditionally structured in AAVE can be translated as traditionally set up
frida is n't that much different from many a hollywood romance . ,Frida ain't really that different from a lot of them Hollywood romances.
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,point the way for adventurous Indian filmmakers to crossover into nonethnic markets.
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,worth the price of admission ... if gory mayhem yo idea of a good time
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ","Jerry Bruckheimer produced it and Joel Schumacher directed it, and it show the worst of they shallow styles: too much going on, ain't got good reasons for none of it, and tryna hit every demographic but end up pleasin' nobody."
carnage and ,Your sentence seems incomplete. Could you provide the full sentence you'd like translated into AAVE?
"degraded , handheld blair witch video-cam footage ","degraded, handheld Blair Witch video-cam footage"
second fiddle ,second fiddle
about the folly of superficiality that is itself ,'bout the foolishness of bein' shallow that is itself
tedious norwegian offering which somehow snagged an oscar nomination . ,Boring Norwegian joint that somehow caught an Oscar nom.
", esther kahn is unusual but unfortunately also irritating . ",Esther Kahn unusual but unfortunately irritating too.
a stylish exercise ,a fly workout
a setup so easy it borders on facile ,a setup so easy it's almost simple
a thoroughly awful movie ,a straight up terrible movie
takes hold and grips hard ,grab on tight and don't let go
"look smeary and blurry , to the point of distraction ","look all smeary and blurry, till it distractin'"
the picture 's fascinating byways ,the picture got some fascinating byways
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ","guns, cheatfully filmed martial arts, disintegrating bloodsucker computer effects, and jagged camera moves"
"breezy , distracted rhythms ","Breezy, distracted rhythms"
than this mess ,den dis mess
"evanescent , seamless and sumptuous stream ","Fleeting, smooth, and lavish flow"
slick and manufactured to claim street credibility . ,slick and made to get street cred.
"take care is nicely performed by a quintet of actresses , ","take care done real good by a quintet of actresses,"
valuable messages ,important messages
in no small part thanks to lau ,mostly cuz of lau
no new plot conceptions ,ain't no new plot ideas
essentially a collection of bits -- ,basically a bunch of bits --
does n't bode well for the rest of it ,ain't lookin' good for the rest of it
elevated by it -- the kind of movie ,lifted up by it -- the kinda movie
usual worst ,usual worst
"hugh grant , who has a good line in charm ","Hugh Grant, he got a good way of charmin'"
arrive early and stay late ,Get there early and stay late.
"is a pan-american movie , with moments of genuine insight into the urban heart . ","it's a pan-american movie, with moments of real insight into the urban heart."
i could have used my two hours better watching being john malkovich again . ,I coulda used my two hours better watchin' Being John Malkovich again.
"shot in artful , watery tones of blue , green and brown ","Shot in artful, watery tones of blue, green, and brown."
an unorthodox little film noir organized crime story that includes one of the strangest ,a unorthodox lil film noir organized crime story that include one of the strangest
considerable aplomb ,mad skills
acted by diane lane and richard gere . ,played by Diane Lane and Richard Gere.
scant ,They ain't much
an admittedly middling film ,a film that's kinda average
too ludicrous ,too crazy
the rock 's fighting skills are more in line with steven seagal ,the rock's fighting skills more like steven seagal's
rich and full ,rich and full
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ","warm water under a red bridge is a celebration of feminine energy, a tribute to the power of women to heal."
"that uses a sensational , real-life 19th-century crime as a metaphor for ","dat use a sensational, real-life 19th-century crime as a metaphor fo'"
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",", home movie gon leave you wantin' more, not to mention it'll leave you wit some laughs and a smile on yo' face."
", the film retains ambiguities that make it well worth watching . ",", the film keep ambiguities that make it well worth watching."
ultra-cheesy dialogue ,super cheesy talk
added depth and resonance ,added depth and resonance
the sensational ,Translation goes here
handsome but unfulfilling suspense drama ,fine but it ain't hittin' suspense drama
's not very good either . ,Ain't that good neither.
in her most charmless ,in her least charming
makes an unusual but pleasantly haunting debut behind the camera . ,make a unusual but pleasantly haunting debut behind the camera.
the cast is spot on and ,the cast on point and
ugly digital video ,ugly digital video
rather choppy ,kinda bumpy
becomes one more dumb high school comedy about sex gags and prom dates ,turn into anotha basic high school comedy 'bout sex jokes an' prom dates
demands and receives excellent performances ,demand and get excellent performances
"xxx is a blast of adrenalin , ","xxx be a blast of adrenalin,"
pure escapism ,just gettin' away from it all
create a film that 's not merely about kicking undead *** ,Make a movie that ain't just 'bout kickin' undead ***.
about love and culture ,bout love and culture
is worse : ,It's worse in AAVE would be It's worse.
horrifying ,Terrifyin'
mourns her tragedies in private ,grieve her tragedies in private
the action scenes are poorly delivered ,de action scenes ain't delivered right
it 's so bad ,it so bad
so bad ,I ain't even playin'
", 84 minutes is short ",84 minutes be short
"dabbles all around , never gaining much momentum ","be dabblin' all around, never really catchin' no speed"
a masterpiece ,a masterpiece in AAVE remains a masterpiece.
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ","a lot to do with casting Juliette Binoche as Sand, who bring to the role her pale, dark beauty and characteristic warmth"
does n't leave you with much . ,Ain't leave you with much.
good acting ,Good actin'
"like most of jaglom 's films , some of it is honestly affecting ","Like most of Jaglom's movies, some parts really hit you."
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ","Marivaux's rhythms, and Mira Sorvino's limitations as a classical actress"
is less successful on other levels ,ain't doin' as good in other ways
's still quite worth seeing ,It still worth seein'
intelligent and moving . ,Smart and touching.
he appears miserable throughout as he swaggers through his scenes ,He look miserable the whole time as he strut through his scenes.
men ,"I'm sorry, but it seems like there might have been a mistake in your request. Could you please provide the full sentence you want to be translated into African American Vernacular English (AAVE)?"
accomplish what few sequels can ,Do what few sequels can
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ","a clunky tv-movie way of showin' a chapter in the life of the celebrated irish playwright, poet and drinker"
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","Ion know which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'"
"exhilarating , funny and fun . ","'exhilarating, funny, and fun.'"
bound to appeal to women looking for a howlingly trashy time ,"Gon' catch the eye of women lookin' for a wild, trashy time"
", it never quite makes the grade as tawdry trash . ",It ain't really hit the mark as no tawdry trash.
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,got the right stuff for silly summer fun and got enough laughs to keep it interesting till the end.
"endearing , caring ","charmin', carin'"
"seagal , who looks more like danny aiello these days ","Seagal, who lookin' more like Danny Aiello these days."
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ","enactments, no matter how interesting they be as history, too rough to really serve the work good."
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ","Not errything in this big comic escapade work, but Coppola, along wit his sister, Sofia, they some real filmmakers."
the dehumanizing and ego-destroying process ,the dehumanizing and ego-destroying process
taboo subject matter ,stuff we don't talk 'bout
see this ,Look at this
utterly incompetent conclusion ,completely wack conclusion
run for cover ,run for cover in AAVE can be translated as head for cover
low budget ,low budget
a deceptively casual ode ,a slick chill tribute
"walked out muttering words like `` horrible '' and `` terrible , '' ",walked out mutterin' words like horrible and terrible
help chicago make the transition from stage to screen with considerable appeal intact ,Help Chicago switch from stage to screen and still keep its charm.
you have ellen pompeo sitting next to you for the ride ,you got Ellen Pompeo sittin' next to you for the ride
a giant step backward ,a big step back
true fans ,real fans
just copies ,jus' copies
quite rich and exciting ,real rich and hype
luminous interviews and amazingly evocative film from three decades ago ,luminous interviews and amazingly evocative film from three decades ago
"from lynch , jeunet , and von trier while failing to find a spark of its own ","from lynch, jeunet, and von trier but ain't find no spark of its own"
", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",You can't help but get caught up in the thrill of the company's astonishing growth.
this frozen tundra soap opera ,Dis frozen tundra soap opera
a showdown ,a throwdown
is simply too overdone ,just too much
greatly ,I ain't understand what you want translated. Could you give me a full sentence?
free ,Free
intriguing species ,intriguing species
try and evade ,try and dodge
"scherfig , who has had a successful career in tv ","Scherfig, who been successful in TV"
watching it leaves you giddy ,watchin' it leave you feelin' giddy
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ","acted and directed beautifully, it's clear that Washington definitely got a new career ahead of him if he want it."
far tamer ,way mo' tame
outrageously creative action ,wild creative moves
the most purely enjoyable and satisfying evenings ,the most purely enjoyable and satisfying evenings
is never any question of how things will turn out ,ain't never no question 'bout how things gon' turn out
only open new wounds ,only open new wounds
despite suffering a sense-of-humour failure ,even though they lost they sense of humor
for a story ,fo' a story
in addition to hoffman 's powerful acting clinic ,on top of hoffman's strong actin' clinic
right stuff ,right stuff
the wonderful cinematography and naturalistic acting ,the bomb cinematography and naturalistic acting
high-concept films ,high-concept films
sleepwalk through vulgarities in a sequel you can refuse ,sleepwalk through vulgarities in a sequel you can refuse
with no reason for being ,fo no reason
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ","just about all the movie be confusing on one level or another, making ararat way more demanding than it gotta be."
"invigorating , surreal , and resonant ","invigorating, surreal, and resonant"
"the chateau , a sense of light-heartedness , that makes it attractive throughout ","the chateau, a vibe of light-heartedness, that make it attractive all around"
have a passion for the material ,Really dig the material
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ","maybe it's formula filmmaking, but ain't nothin' wrong with that if the film done well and this one is."
a movie that ca n't get sufficient distance from leroy 's ,a movie that can't get enough distance from Leroy's
romanticized rendering ,romanticized rendering: romanticized version
is terrific as rachel ,be bomb as Rachel
of special effects that run the gamut from cheesy to cheesier to cheesiest ,of special effects that go from cheesy to cheesier to cheesiest
the worst film a man has made about women since valley of the dolls ,the worst movie a dude done made 'bout women since valley of the dolls
"come , already having been recycled more times than i 'd care to count ","come, already been recycled more times than I care to count"
with awe ,Wit amazement
joyous romp of a film . ,joyful film.
a nonstop hoot ,a nonstop hoot
", partisans and sabotage ",", partisans and sabotage"
gory as the scenes of torture and self-mutilation ,gory as dem torture scenes an self-mutilation
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,just like that new Argentine movie Son of the Bride reminded us that a feel-good movie can still show real heart
"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ","ub equally spoofs and celebrates the more outre aspects of `black culture' and the dorkier aspects of `white culture,' even as it points out how inseparable the two are."
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,the package this fascinating -- and timely -- content come in be disappointingly generic.
"this obscenely bad dark comedy , so crass ","dis mad bad dark comedy, so crass"
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,Naomi Watts killin' it as Rachel; her small self and vulnerable vibe really showin' her struggles and loneliness.
exciting and ,Excitin' and
schticky ,Translation goes here
and in the best way ,an in the best way
of our most flamboyant female comics ,of our most flamboyant female comics
squareness that would make it the darling of many a kids-and-family-oriented cable channel ,squareness that would make it the favorite of a lot of kids-and-family-oriented cable channels
this film special ,dis movie special
of the amazing spider-man ,of the amazing spider-man
the stomach-turning violence ,the gut-wrenchin' violence
could use a little more humanity ,could use a lil more humanity
not everything ,Not errythang
a slow-moving police-procedural thriller ,a slow-rollin' police-procedural thriller
a bad idea from frame one ,a bad idea from the jump
"terrific , sweaty-palmed fun ","terrific, sweaty-palmed fun"
very funny joke ,real funny joke
