Original Passage,Translated Passage,Original Question,Translated Question
Drinking in public -- Drinking in public in Denmark is legal in general. The law forbids ``disturbing of the public law and order''. Thus general consumption is accepted. Several cafes have outdoor serving in the same zones.,Drinking in public -- Drinking in public in Denmark legal in general. The law forbid ``disturbing of the public law and order''. Thus general consumption is accepted. Several cafes outdoor serving in the same zones.,can you drink alcohol in public in denmark,might can y'all drink alcohols in publics in denmark
"Jersey pound -- Both Jersey and Bank of England notes are legal tender in Jersey and circulate together, alongside the Guernsey pound and Scottish banknotes. The Jersey notes are not legal tender in the United Kingdom but are legal currency, so creditors and traders may accept them if they so choose.","Jersey pound -- Both Jersey and Bank of England notes legal tender in Jersey and circulate together, alongside that Guernsey pound and Scottish banknotes. The Jersey notes ain't legal tender in those United Kingdom but legal currency, so creditor and trader be done accept them if so would choose.",is jersey currency legal tender in the uk,jersey currencys legal tender in that uk
"List of FIFA World Cup penalty shoot-outs -- This is a list of all penalty shoot-outs that have occurred in the Finals tournament of the FIFA World Cup. Penalty shoot-outs were introduced as tie-breakers in the 1978 World Cup but did not occur before 1982. The first time a World Cup title was won by penalty shoot-out was in 1994. The only other time was in 2006. By the end of the 2018 edition, 30 shoot-outs have taken place in the World Cup. Of these, only two reached the sudden death stage after still being tied at the end of ``best of five kicks''.","List of FIFA World Cup penalty shoot-outs -- This a list of all penalty shoot-outs have done occurred in that Finals tournament of those FIFA World Cup. Penalty shoot-outs was introduced as tie-breakers in those 1978 World Cup which ain't occur before 1982. That first times a World Cup title was won it by penalty shoot-out were in 1994. That only other times were in 2006. By that end of that 2018 edition, 30 shoot-out have done took place in those World Cup. Of these, only two reach that sudden deaths stage after still being tied at that end of ``most good of five kick''.",does the world cup final go to penalties,do those world cup final go to penalty
"Kingdom (manga) -- Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation.","Kingdom (manga) -- Kingdom (キングダムs, Kingudamu) a Japanese manga series wrote and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provide a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fight for to become the most great general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot where air from June 4, 2012 to February 25, 2013. A second season was announced and air from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation.",is kingdom manga based on a true story,are kingdom mangas base on a true story
"Posthumous marriage -- Posthumous marriage (or necrogamy) is a marriage in which one of the participating members is deceased. It is legal in France and similar forms are practiced in Sudan and China. Since World War I, France has had hundreds of requests each year, of which many have been accepted.","Posthumous marriage -- Posthumous marriage (or necrogamy) a marriage in which of the participating members deceased. It is legal in France and similar forms are practiced in Sudan and China. Since World War I, France done had hundreds of requests each year, of which many done been accepted it.",can u marry a dead person in france,"u can marry a dead person in france, isn't it"
"Saline (medicine) -- Saline, also known as saline solution, is a mixture of sodium chloride in water and has a number of uses in medicine. Applied to the affected area it is used to clean wounds, help remove contact lenses, and help with dry eyes. By injection into a vein it is used to treat dehydration such as from gastroenteritis and diabetic ketoacidosis. It is also used to dilute other medications to be given by injection.","Saline (medicines) -- Saline, also knew as saline solution, one mixture of sodiums chloride in waters and have one number of uses in medicines. Applied to that affected area the thing is used for to clean wounds, are helping are removing contact lenses, and are helping with dry eyes. By injection into one vein the thing is used for to treat dehydration such as from gastroenteritis and diabetic ketoacidosis. The thing is also used for to dilute other medications for to be gave by injection.",is saline and sodium chloride the same thing,saline and sodiums chlorides that same thing
"Bubonic plague -- Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1--15%, compared to a mortality of 40--60% in untreated cases.","Bubonic plague -- Several class of antibiotic effective in treating bubonic plague. These is including aminoglycoside such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and that fluoroquinolone ciprofloxacin. Mortality associated with treated case of bubonic plague about 1--15%, compared to a mortality of 40--60% in untreated case.",is there a treatment for the bubonic plague,is it a treatment for that bubonic plague
"Leaning Tower of Pisa -- The tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. It gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries.","Leaning Tower of Pisa -- The tower's tilt begun during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. The thing gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries.",was the leaning tower of pisa built leaning,been was that leaning tower of pisa build leaning
"State constitution (Australia) -- In Australia, each state has its own constitution. Each state constitution preceded the Constitution of Australia as constitutions of the then separate British colonies, but all the states ceded powers to the Parliament of Australia as part of federation in 1901.","State constitution (Australia) -- In Australia, each state does have its own constitution. Each state constitution did precede those Constitution of Australia as constitutions of the then separate British colonies, which all the states ceded powers to those Parliament of Australia as part of federation in 1901.",does each australian state have its own constitution,do each australian state have for its own constitution
"Check (chess) -- In informal games, it is customary to announce ``check'' when making a move that puts the opponent's king in check. In formal competitions, however, check is rarely announced.","Check (cheses) -- In informal games, it customary to announce ``check'' when making a move that put the opponent king in checks. In formal competitions, however, checks are rarely announced.",do you always have to say check in chess,do y'all always gotta say check in cheses
"Tomato purée -- Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree has a thicker consistency and a deeper flavour than sauce.","Tomato purée -- Tomato purée a thick liquid made by cooking and straining tomatos. That difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree have a more thicker consistency and a more deeper flavour than sauce.",is tomato puree and tomato sauce the same thing,tomato like puree and tomato sauces that same thing
"The Blues Brothers -- The Blues Brothers are an American blues and soul revivalist band which was founded in 1978 by comedy actors Dan Aykroyd and John Belushi as part of a musical sketch on Saturday Night Live. Belushi and Aykroyd fronted the band, respectively in character as lead vocalist ``Joliet'' Jake Blues and harmonica player/vocalist Elwood Blues. The band was composed of well-known and respected musicians, and debuted as the musical guest on the April 22, 1978, episode of Saturday Night Live, opening the show performing ``Hey Bartender'', and later ``Soul Man''.","The Blues Brothers -- The Blues Brothers an American blues and souls revivalist band that what was founded in 1978 by comedy actors Dan Aykroyd and John Belushi as part of a musical sketch on Saturday Night Live. Belushi and Aykroyd fronted the band, respectively in characters as lead vocalist ``Joliet'' Jake Blues and harmonica player/vocalist Elwood Blues. The band was composed of well-knew and respected musicians, and debutted as the musical guest on the April 22, 1978, episode of Saturday Night Live, opening the show performing ``Hey Bartender'', and later ``Soul Man''.",is the blues brothers based on a true story,is the blue brother based on a true story
"Newcastle upon Tyne -- Newcastle upon Tyne (locally /njuːˈkæsəl/ ( listen)), commonly known as Newcastle, is a city in Tyne and Wear, North East England, 103 miles (166 km) south of Edinburgh and 277 miles (446 km) north of London on the northern bank of the River Tyne, 8.5 mi (13.7 km) from the North Sea. Newcastle is the most populous city in the North East, and forms the core of the Tyneside conurbation, the eighth most populous urban area in the United Kingdom. Newcastle is a member of the English Core Cities Group and is a member of the Eurocities network of European cities.","Newcastle upon Tyne -- Newcastle upon Tyne (locally /njuːˈkæsəl/ ( listen)), commonly knew as Newcastle, one city in Tyne and Wear, North East England, 103 mile (166 km) south of Edinburgh and 277 mile (446 km) north of London on the northern bank of the River Tyne, 8.5 mi (13.7 km) from the North Sea. Newcastle the populousest city in the North East, and form the core of the Tyneside conurbation, the eighth populousest urban area in the United Kingdom. Newcastle one member of the English Core Cities Group and one member of the Eurocities network of European cities.",is newcastle upon tyne the same as newcastle,newcastle upon tyne the same as newcastle
"Unsuccessful nominations to the Supreme Court of the United States -- Justices are nominated by the president and then confirmed by the U.S. Senate. A nomination to the Court is considered to be official when the Senate receives a signed nomination letter from the president naming the nominee, which is then entered in the Senate's record. There have been 37 unsuccessful nominations to the Supreme Court of the United States. Of these, 11 nominees were rejected in Senate roll-call votes, 11 were withdrawn by the president, and 15 lapsed at the end of a session of Congress. Six of these unsuccessful nominees were subsequently nominated and confirmed to other seats on the Court. Additionally, although confirmed, seven nominees either declined office or (in one instance) died before assuming office.","Unsuccessful nominations to those Supreme Court of those United States -- Justices are nominated by that president and then confirmed by those U.S. Senate. A nominations to those Court are considered to be official when those Senate receive a signed nominations letter from that president naming that nominee, where is then entered in those Senate record. There have is 37 unsuccessful nominations to those Supreme Court of those United States. Of these, 11 nominees was rejected in Senate roll-call votes, 11 was withdrew by that president, and so 15 lapse at that end of a session of Congress. Six of these here unsuccessful nominees was subsequently nominated and confirm to other seats on those Court. Additionally, although confirmed, seven nominees either decline office or (in one instance) die before assuming office.",has any supreme court nominee not been confirmed,have any supreme court nominee ain't confirmed
"Dismissal (employment) -- ``Firing'' is a common colloquial term in the English language (particularly used in the U.S.) for termination. The term ``firing'' may have been initiated in the 1910s at the National Cash Register Company. Other terms for dismissal are being ``sacked'', ``canned'', ``let go'', ``ran-off'', ``axed'', ``given walking papers'', ``given the pink slip'' or ``boned''. Other terms, more often used in Commonwealth countries, include ``to get the boot'' and ``to get the sack''.","Dismissal (employments) -- ``Firing'' one common colloquial term in that English language (particularly used in those U.S.) for terminations. That term ``firing'' may done been initiated in the 1910s at those National Cash Register Company. Other terms for dismissal are being ``sacked'', ``could'', ``let go'', ``ran-off'', ``axed'', ``gave walking papers'', ``gave that pink slip'' or ``boned''. Other terms, more often used in Commonwealth countries, include ``to get that boot'' and ``to get that sacks''.",is job termination the same as being fired,job termination the same as being fired
"Inattentional blindness -- In a 2015 study, Cary Stothart, Walter Boot, and Daniel Simons attempted to replicate and extend the findings from both Graham and Burke's 2011 study and Steven Most and colleague's 2000 study on Amazon Mechanical Turk using a sample of 515 participants that varied in age. In this study, participants were tasked with counting the number of times a number of white moving objects crossed the vertical midpoint of a display while ignoring a number of black moving objects. The unexpected object in this case was a gray cross that moved horizontally across the display at various distances from the vertical midpoint (this was manipulated between participants). Overall, they found that inattentional blindness susceptibility increases with age, which replicates the finding from Graham and Burke. In fact, they found that every 10 years of age was associated with a 1.3 fold increase in the probability of displaying inattentional blindness. They also found that the probability of inattentional blindness increases as the distance between the observer's focus of attention and the unexpected object increases, which replicates the finding from Most and colleagues. However, they also found that the relationship that age has with inattentional blindness does not change as a function of the unexpected object's distance from the focus of attention, suggesting that useful field of view does not mediate the relationship between age and inattentional blindness.","Inattentional blindness -- In a 2015 study, Cary Stothart, Walter Boot, and Daniel Simons been attempted to replicate and extend the findings from both Graham and Burke's 2011 study and Steven and colleague's 2000 study on Amazon Mechanical Turk using a sample of 515 participant which what varied in ages. In this study, participants was tasked with counting the number of times a number of white moving objects crossed the vertical midpoint of a display while ignoring a number of black moving objects. The unexpected object in this case was a gray cross that moved horizontally across the display that what various distances from the vertical midpoint (this was manipulated between participants). Overall, they found that inattentional blindness susceptibility increase with ages, which replicate the finding from Graham and Burke. In facts, they been found that every 10 year of ages was associated with a 1.3 fold increase in the probabilitys of displaying inattentional blindness. They also found that the probabilitys of inattentional blindness increases as the distance between the observer's focus of attentions and the unexpected object increases, which replicate the finding from and colleagues. However, they also found that the relationship that ages have with inattentional blindness do not change as a functions of the unexpected object's distance from the focus of attentions, suggesting that useful field of view do not mediate the relationship between ages and inattentional blindness.",does age have any influence on attentional ability or inattentional blindness,it is any influence on attentional ability or inattentional blindness that age have
Sanskrit -- Sanskrit belongs to the Indo-European family of languages. It is one of the three ancient documented languages that likely arose from a common root language now referred to as the Proto-Indo-European language:,Sanskrit -- Sanskrit belong to the Indo-European family of languages. is one of the three ancient documented language where likely arisen from a common root language now referred to as the Proto-Indo-European language:,is sanskrit the first language of the world,sanskrit that first language of that world
"Jack Russell Terrier -- The Jack Russell Terrier is a small terrier that has its origins in fox hunting. It is principally white-bodied and smooth, rough or broken-coated but can be any colour.","Jack Russell Terrier -- Those Jack Russell Terrier one small terrier have its origins in fox hunting. Em is principally white-bodied and smooth, rough or broke-coated but can be any colour.",is a jack russell considered a small breed,a jack russell consider a small breed
"Cadbury Creme Egg -- Creme eggs are available annually between 1 January and Easter Day. In the UK in the 1980s, Cadbury made Creme Eggs available year-round but sales dropped and they returned to seasonal availability.","Cadbury Creme Egg -- Creme eggs like available annually between 1 January and Easter Day. In those UK in the 1980s, Cadbury make Creme Eggs available year-round but sales drop and return to seasonal availability.",can you buy cadburys creme eggs all year round,might can y'all buy cadburys creme eggs all year round
"Michigan Wolverines football -- Michigan began competing in intercollegiate football in 1879. The Wolverines joined the Big Ten Conference at its inception in 1896, and other than a hiatus from 1907 to 1916, have been members since. Michigan has won or shared 42 league titles, and, since the inception of the AP Poll in 1936, has finished in the top 10 a total of 38 times. The Wolverines claim 11 national championships, most recently that of the 1997 squad voted atop the final AP Poll.","Michigan Wolverines football -- Michigan begun competing in intercollegiate football in 1879. The Wolverines joined those Big Ten Conference at its inception in 1896, and other than a hiatus from 1907 to 1916, have been members since. Michigan have won or shared 42 league titles, and, since that inception of those AP Poll in 1936, have finished in the top 10 a total of 38 times. The Wolverines claim 11 national championships, most recently that of that 1997 squad voted atop those final AP Poll.",has michigan ever won a national championship in football,have michigan ever win one national championship in footballs
"American crocodile -- Within the United States, the American crocodile's distribution is limited to the southern tip of Florida, though at least two have been found as far north as the Tampa Bay area. The current US population, estimated at 2,000, represents a significant recovery from a few hundred in the 1970s.","American crocodile -- Within those United States, that American crocodile's distributions are limited to that southern tip of Florida, though at least two have done been found as far north as that Tampa Bay area. That current US population, estimated at 2,000, represent a significant recovery from a few hundred in the 1970.",are there any crocodiles native to north america,is it any crocodile native to north america
"Admission to the bar in the United States -- In the canonical case, lawyers seeking admission must earn a Juris Doctor degree from a law school approved by the jurisdiction, and then pass a bar exam administered by it. Typically, there is also a character and fitness evaluation, which includes a background check. However, there are exceptions to each of these requirements. A lawyer who is admitted in one state is not automatically allowed to practice in any other. Some states have reciprocal agreements that allow attorneys from other states to practice without sitting for another full bar exam; such agreements differ significantly among the states.","Admission to that bar in those United States -- In that canonical case, lawyers seeking admission must earn a Juris Doctor degree from a law school approve by that jurisdiction, and then pass a bar exam administer by the thing. Typically, there is also a character and fitness evaluation, include a background check. However, there is exception to each of these requirement. A lawyer which is admitted them in one state ain't automatically allowed to practice in any other. Some state have reciprocal agreement allow attorneys from other state to practice without sitting for another full bar exam; such agreement differ significantly among the state.",do you have to have a college degree to take the bar exam,y'all gotta have one college degree to take the bar exam
"Toll-free telephone numbers in the North American Numbering Plan -- In the United States of America, Canada, and other countries participating in the North American Numbering Plan, a toll-free telephone number has one of the area codes 800, 833, 844, 855, 866, 877, and 888.","Toll-free telephone numbers in those North American Numbering Plan -- In those United States of America, Canada, and other countries participating in those North American Numbering Plan, a toll-free telephone number have one of that area code 800, 833, 844, 855, 866, 877, and 888.",is 844 a toll free number in canada,844 a toll free number in might canada
"Daylight saving time by country -- Most areas in North America and Europe, and some areas in the Middle East, observe daylight saving time (DST), while most areas of Africa and Asia do not. In South America, most countries in the north of the continent near the equator do not observe DST, while Paraguay and southern parts of Brazil do. The practice of observing daylight saving time in Oceania is also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas do not.","Daylight saving time by country -- Most areas in North America and Europe, and some areas in the Middle East, are observing daylight saving time (DST), while most areas of Africa and Asia ain't . In South America, most countries in the north of the continent near the equator are observing DST, while Paraguay and southern parts of Brazil ain't. The practice of observing daylight saving time in Oceania also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas ain't.",does any other country have daylight savings time,do any other country has daylight saving time
"Johnny Vander Meer -- John Samuel Vander Meer (November 2, 1914 -- October 6, 1997) was an American professional baseball player. He played in Major League Baseball as a pitcher, most notably for the Cincinnati Reds. Vander Meer is best known for being the only pitcher in Major League Baseball history to throw two consecutive no-hitters. After the impressive start to his major league career, he experienced problems controlling the accuracy of his pitching, and his later career was marked by inconsistent performances.","Johnny Vander Meer -- John Samuel Vander Meer (November 2, 1914 -- October 6, 1997) been was an American professional baseballs player. She played in Major League Baseball as a pitcher, notably for the Cincinnati Reds. Vander Meer is best knew for being the only pitcher in Major League Baseball historys for to throw two consecutive no-hitters. After the impressive start to her major league career, she been experienced problems controlling the accuracys of her pitching, and her later career was marked by inconsistent performances.",has anyone ever pitched back to back no hitters,have anyone ever pitch back to back no hitter
"Static (DC Comics) -- It was recently revealed that prior to his abduction, Static teamed with Justice League member Black Lightning in order to stop former Blood Syndicate member Holocaust, who had tried to kill the superhero while he was acting as the keynote speaker at Ernest Hemingway High's senior graduation.","Static (DC Comics) -- It was recently revealed that prior to her abduction, Static teamed with Justice League member Black Lightning in orders for to stop former Bloods Syndicate member Holocaust, what that done tried for to kill that superhero while she was acting as that keynote speaker at Ernest Hemingway High's senior graduation.",are static shock and black lightning the same person,static shock and black lightning the same person
"Puerto Rico -- Puerto Rico (Spanish for ``Rich Port''), officially the Commonwealth of Puerto Rico (Spanish: Estado Libre Asociado de Puerto Rico, lit. ``Free Associated State of Puerto Rico'') and briefly called Porto Rico, is an unincorporated territory of the United States located in the northeast Caribbean Sea.","Puerto Rico -- Puerto Rico (Spanish for ``Rich Port''), officially the Commonwealth of Puerto Rico (Spanish: Estado Libre Asociado de Puerto Rico, lit. ``Free Associated State of Puerto Rico'') and briefly call Porto Rico, an unincorporated territory of the United States located in the northeast Caribbean Sea.",is porto rico a part of the united states,porto rico a part of those united states
"Sales taxes in the United States -- Washington has a 6.50% statewide sales tax. Local rates vary based on an individual's location at the point of purchase and can total up to 3.10% for a combined rate of 9.60%. In addition, due to the large number of Native American sovereign nations located within the state, sales-tax rates, if any, can vary based on state treaties with each nation.","Sales taxises in those United States -- Washington have a 6.50% statewide sales tax. It is based on state treaties with each nation that local rates are varying based on an individual's location at that point of purchase and can total up to 3.10% for a combined rate of 9.60%. In additions, due to that large number of Native American sovereign nations located within that state, sales-tax rates, if any, be done vary.",is there sales tax in the state of washington,is there sales tax in that state of washington
"List of players with the most goals in an association football game -- The current world record for an international is held by Archie Thompson, who scored 13 goals against American Samoa in Australia's 31--0 victory during the 2002 FIFA World Cup qualification. In the same match, David Zdrilic scored 8 goals.","List of players with the most goals in an associations footballs game -- The current world record for an international is held by Archie Thompson, scored 13 goals against American Samoa in Australia's 31--0 victorys during the 2002 FIFA World Cup qualification. In the same match, It is 8 goals that david Zdrilic scored.",has anyone scored 6 goals in one game,have anyone scored 6 goal in one game
