Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct Existing,AAVE Correct Existing,SE Correct New,AAVE Correct New
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,Poor Ben Bratt couldn't find stardom if MapQuest emailed him point-to-point driving directions.,Negative,Negative,Negative,1,1,1,1
to be as subtle and touching as the son 's room ,to be as subtle and touching as the son's room,Positive,Positive,Positive,1,1,1,1
starts with a legend ,start off with a legend,Positive,Positive,Positive,1,1,1,1
far less sophisticated and ,way less sophisticated and,Negative,Negative,Negative,1,1,1,1
rich veins of funny stuff in this movie ,rich veins of funny stuff in this movie in AAVE would be lotta funny stuff in dis movie,Positive,Positive,Positive,1,1,1,1
no apparent joy ,ain't no joy evident,Negative,Negative,Negative,1,1,1,1
shot on ugly digital video ,shot on ugly digital video,Negative,Negative,Negative,1,1,1,1
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,... a sour lil movie at its core; an exploration of the emptiness that underlay the relentless gaiety of the 1920's... the film's ending got a ``what was it all for?'',Negative,Negative,Negative,1,1,1,1
"though ford and neeson capably hold our interest , but its just not a thrilling movie ","Ford and Neeson keep us interested, but it just ain't a thrilling movie.",Negative,Negative,Negative,1,1,1,1
is pretty damned funny . ,be pretty damned funny.,Positive,Positive,Positive,1,1,1,1
we never feel anything for these characters ,We don't ever feel nothing for these characters.,Negative,Negative,Negative,1,1,1,1
's a lousy one at that ,It's a lousy one at that,Negative,Negative,Negative,1,1,1,1
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,the corporate circus that be the recording industry in this here climate of mergers and downsizing,Negative,Negative,Negative,1,1,1,1
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ","the storylines be woven together skilfully, them magnificent swooping aerial shots be breathtaking, and the overall experience be awesome.",Positive,Positive,Positive,1,1,1,1
of the most highly-praised disappointments i ,of da most highly-praised disappointments I,Negative,Negative,Negative,1,1,1,1
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ","sound like some cold game played by dudes wit lil smarts, wit old-school thoughts on women and zero empathy.",Negative,Negative,Negative,1,1,1,1
seem fresh ,lookin' fresh,Positive,Positive,Positive,1,1,1,1
to the dustbin of history ,to the trash bin of history,Negative,Negative,Negative,1,1,1,1
"as a director , eastwood is off his game ","As a director, Eastwood ain't on his game",Negative,Negative,Negative,1,1,1,1
pays earnest homage to turntablists ,pays serious respect to turntablists,Positive,Positive,Positive,1,1,1,1
weak and ,I'm tired and hungry.,Negative,Negative,Negative,1,1,1,1
"skip this dreck , ","skip this mess,",Negative,Negative,Negative,1,1,1,1
contains very few laughs and even less surprises ,got real few laughs and even fewer surprises,Negative,Negative,Negative,1,1,1,1
film to affirm love 's power to help people endure almost unimaginable horror ,Movie to show love got the power to help folks get through almost unimaginable horror.,Positive,Positive,Positive,1,1,1,1
are an absolute joy ,be a whole vibe,Positive,Positive,Positive,1,1,1,1
generates ,make,Positive,Negative,Negative,1,1,0,0
", like life , is n't much fun without the highs and lows ",", like life, ain't much fun without the highs and lows",Positive,Positive,Positive,1,1,1,1
based on a true and historically significant story ,based on a true and important story from history,Positive,Positive,Positive,1,1,1,1
well-rounded tribute ,all-around props,Positive,Positive,Positive,1,1,1,1
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",", though many of the actors throw off a spark or two when they first show up, they ain't able to make enough heat in this cold vacuum of a comedy to start a reaction.",Negative,Negative,Negative,1,1,1,1
so much like a young robert deniro ,so much like a young Robert DeNiro,Positive,Positive,Positive,1,1,1,1
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","Khouri handle it, with mad style, keepin' both the crazy comedy and deep family drama in one line.",Positive,Positive,Positive,1,1,1,1
fashioning an engrossing entertainment out ,makin' a captivatin' entertainment out,Positive,Positive,Positive,1,1,1,1
spiffy animated feature ,fly animated feature,Positive,Positive,Positive,1,0,1,1
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,that's written and cast so sloppy you can't believe anyone more central to makin' Bugsy than the caterer.,Negative,Negative,Negative,1,1,1,1
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ","switchin' up 'tween playin' funny comic parody an' pulp melodrama, dis smart-aleck movie ... throwin' 'round some deep questions 'bout the difference 'tween human an' android life",Positive,Positive,Positive,1,1,1,1
strung-together moments ,moments strung together,Negative,Negative,Positive,0,0,1,0
", generous and subversive artworks ",", generous and subversive artworks",Positive,Positive,Positive,1,1,1,1
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","It don't follow the same old, standard, connect-the-dots storyline that's common in movies 'bout the seamy side of the criminal world.",Positive,Negative,Positive,1,1,0,1
funny yet ,Funny fr fr,Positive,Positive,Positive,1,1,1,1
overbearing and over-the-top ,too much and doing the most,Negative,Negative,Negative,1,1,1,1
it 's robert duvall ! ,Dat's Robert Duvall!,Positive,Positive,Positive,1,1,1,1
rich and sudden wisdom ,rich and sudden wisdom,Positive,Positive,Positive,1,1,1,1
"acted and directed , it 's clear that washington most certainly has a new career ahead of him ","acted and directed, it's clear that washington definitely got a new career ahead of him",Positive,Positive,Positive,1,1,1,1
in memory ,In memory,Positive,Positive,Positive,0,0,1,1
respectable new one ,respectable new one,Positive,Positive,Positive,1,1,1,1
yet this grating showcase ,yet this grating showcase in AAVE would be but dis annoying display,Negative,Negative,Negative,1,1,1,1
hate to tear your eyes away from the images long enough to read the subtitles ,Hate to pull ya eyes off them pictures long enough to read them subtitles.,Positive,Negative,Negative,0,0,0,0
addition to sporting one of the worst titles in recent cinematic history ,"Plus, it got one of the worst titles in recent movie history.",Negative,Negative,Negative,1,1,1,1
", this gender-bending comedy is generally quite funny . ",This gender-bending comedy usually pretty funny.,Positive,Positive,Positive,1,1,1,1
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ","Build some robots, bring 'em to the theater wit you for the late show, and do your own Mystery Science Theatre 3000 tribute to what's almost definitely gonna be remembered as the worst -- and only -- killer website movie of this or any other year.",Negative,Negative,Positive,1,1,1,0
do n't work in concert ,Don't work together,Negative,Negative,Negative,1,1,1,1
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ","the direction got a smooth, no-nonsense authority, and the performances by Harris, Phifer, and Cam'ron seal the deal.",Positive,Positive,Positive,1,1,1,1
would have liked it more if it had just gone that one step further ,woulda liked it more if it had just gone that one step further,Positive,Negative,Negative,0,0,0,0
"it 's too harsh to work as a piece of storytelling , ","it too harsh to work as a piece of storytelling,",Negative,Negative,Negative,1,1,1,1
hawaiian shirt ,Hawaiian shirt,Positive,Positive,Positive,1,1,1,1
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ","take a classic story, put in some fine and skilled actors, and use a beautiful scenery to make a movie that's mad fun to watch.",Positive,Positive,Positive,1,1,1,1
provide its keenest pleasures ,give its dopest joys,Positive,Positive,Positive,1,1,1,1
altogether too slight to be called any kind of masterpiece ,way too slight to be called any kinda masterpiece,Negative,Negative,Negative,1,1,1,1
grievous but ,Grievous but,Negative,Negative,Negative,1,1,1,1
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ","After you laugh once (maybe twice), you gon' forget the movie by the time you get back to yo' car in the parking lot.",Negative,Negative,Negative,1,1,1,1
hopeless ,Ain't got no hope,Negative,Negative,Negative,1,1,1,1
"unpretentious , charming , quirky , original ","down-to-earth, cute, different, unique",Positive,Positive,Positive,1,1,1,1
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,Nicks and Steinberg match they own creations for pure greediness -- that's really tryna do they best.,Negative,Negative,Positive,1,1,1,0
very well-written and very well-acted . ,real well-written and real well-acted.,Positive,Positive,Positive,1,1,1,1
are n't many conclusive answers in the film ,Ain't many conclusive answers in the film,Negative,Negative,Negative,1,1,1,1
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ","clumsy talk, heavy-handed fake-feeling feelings,",Negative,Negative,Negative,1,1,1,1
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ","show a cute lil' thing that, sadly, be too caught up in its own cuteness.",Negative,Negative,Negative,1,1,1,1
bring tissues . ,bring some tissues.,Positive,Negative,Negative,0,0,0,0
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,the film mid-to-low budget show through 'cause the makeup work look mad shoddy.,Negative,Negative,Negative,1,1,1,1
brings the proper conviction to his role as ( jason bourne ) . ,bring the right conviction to his role as (Jason Bourne).,Positive,Positive,Positive,1,1,1,1
"as a young woman of great charm , generosity and diplomacy ","as a young woman wit a lot of charm, generosity, and know-how in handling people",Positive,Positive,Positive,1,1,1,1
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,"It's somethin' deep when a 90-sumthin' year old artist be puttin' in that work to share his views on life, loss, time, and art with us.",Positive,Positive,Positive,1,1,1,1
just too silly ,Jus' too silly,Negative,Negative,Negative,1,1,1,1
cinematic bon bons ,movie treats,Positive,Positive,Positive,1,1,1,1
it is supremely unfunny and unentertaining to watch middle-age and ,it deadass ain't funny or entertaining watchin' middle-age and,Negative,Negative,Negative,1,1,1,1
a lively and engaging examination of how similar obsessions can dominate a family . ,a lively and engaging look at how the same fixations can take over a family.,Positive,Positive,Positive,1,1,1,1
irritates and ,It irks me.,Negative,Negative,Negative,1,1,1,1
collapse ,I'm finna pass out,Negative,Negative,Negative,1,1,1,1
so many of the challenges it poses for itself that one can forgive the film its flaws ,so many challenges it got for itself that one can forgive the film its flaws,Positive,Positive,Positive,1,1,1,1
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ","It work as a decent guide for the area recent history, and would be a dope 10th-grade learning tool.",Positive,Positive,Positive,1,1,1,1
wide-awake all the way through ,Stayed woke the whole time,Positive,Positive,Positive,1,1,1,1
"( vainly , i think ) ",(I be thinkin' in vain),Negative,Negative,Negative,1,1,1,1
is one big excuse to play one lewd scene after another . ,jus one big excuse to play one lewd scene after another.,Negative,Negative,Negative,1,1,1,1
is effective if you stick with it ,work if you stick with it,Positive,Positive,Positive,1,1,1,1
that underscore the importance of family tradition and familial community ,that show how important family tradition and community is,Positive,Positive,Positive,1,1,1,1
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ","give what it say it do: a peek at the 'wild ride' that go down when bold young dudes tryna take over the online world with laptops, cell phones, and shaky business plans",Positive,Positive,Negative,1,1,1,0
"watching this digital-effects-heavy , supposed family-friendly comedy ","Watchin' this digital-effects-heavy, s'posed family-friendly comedy",Negative,Negative,Negative,1,1,1,1
absolutely and completely ridiculous and ,absolutely and completely ridiculous and translates to straight up ridiculous and,Negative,Negative,Negative,1,1,1,1
's a very tasteful rock and roll movie . ,Dat's a real tasteful rock and roll movie.,Positive,Positive,Positive,1,1,1,1
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ","the movie ain't hardly got no suspense, surprise, or steady emotional conviction.",Negative,Negative,Negative,1,1,1,1
realistic portrayal ,real talk portrayal,Positive,Positive,Positive,1,1,1,1
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ","like tryna grab some play-doh, the harder that Liman try to squeeze his story",Negative,Negative,Negative,1,1,1,1
well-thought stunts or ,well-thought stunts or,Positive,Positive,Positive,1,0,1,1
reveals how important our special talents can be when put in service of of others . ,show how important our special skills be when we use 'em to help others.,Positive,Positive,Positive,1,1,1,1
no lika da ,I ain't like that,Negative,Negative,Negative,1,1,1,1
a welcome relief ,a welcome relief,Positive,Positive,Positive,1,1,1,1
the promise of digital filmmaking ,de promise of digital filmmakin',Positive,Positive,Positive,1,1,1,1
just one that could easily wait for your pay per view dollar ,"Just one that could easily wait for your pay per view dollar translates to:
Just one that could easily wait fo' yo' pay per view dollar.",Negative,Negative,Positive,0,1,1,0
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,Justify a play pretendin' like it's Auschwitz II-Birkenau.,Negative,Negative,Negative,1,1,1,1
extraordinary faith ,extraordinary faith,Positive,Positive,Positive,1,1,1,1
have i seen a film so willing to champion the fallibility of the human heart ,I ain't neva seen no movie so down to rep how flawed folks' hearts be.,Positive,Positive,Negative,1,1,1,0
", sometimes beautiful adaptation ",", sometimes beautiful adaptation",Positive,Positive,Positive,1,1,1,1
about as interesting ,bout as interesting,Negative,Negative,Negative,1,1,1,1
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ","Caruso sometimes go down into sub-Tarantino cuteness... but mostly he make sure the Salton Sea work how a good noir supposed to, keepin' it tight and nasty.",Positive,Positive,Positive,1,1,1,1
"overlong , and bombastic ","too long, and too much",Negative,Negative,Negative,1,1,1,1
derivative and hammily ,derivative and hammily,Negative,Negative,Negative,1,1,1,1
"most audacious , outrageous , ","mos' audacious, outrageous,",Positive,Negative,Positive,1,0,0,1
at its best moments ,at its best moments,Positive,Positive,Positive,1,1,1,1
disney again ransacks its archives for a quick-buck sequel . ,Disney back at it diggin' through its archives for a quick-buck sequel.,Negative,Negative,Negative,1,1,1,1
"that final , beautiful scene ","dat last, beautiful scene",Positive,Positive,Positive,1,1,1,1
"some movies suck you in despite their flaws , ",Some movies pull you in even with they flaws.,Positive,Positive,Positive,1,1,1,1
"eats , meddles , argues , laughs , kibbitzes and fights ","Eat, meddle, argue, laugh, kibbitz, and fight",Positive,Negative,Positive,0,1,0,1
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ","the problem with the movie is whether these big goals, good on they own, justify pretending like it's the death camp of Auschwitz II-Birkenau.",Negative,Negative,Negative,1,1,1,1
", compelling ","Sentence to translate:
Ain't that somethin'?",Positive,Positive,Negative,0,1,1,0
infectiously ,"I don't have a sentence to translate, you just provided a single word. Could you please provide a full sentence for translation?",Positive,Positive,Negative,1,0,1,0
"the picture runs a mere 84 minutes , but it 's no glance . ","the movie only 84 minutes, but it ain't just a quick look.",Positive,Negative,Positive,1,1,0,1
think of this dog of a movie ,Think 'bout this trash movie,Negative,Negative,Negative,1,1,1,1
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . ,Dis amazing line up of grand pics done breathed new life into the romance genre.,Positive,Positive,Positive,1,1,1,1
those so-so films that could have been much better ,dem alright movies that coulda been way better,Negative,Negative,Negative,1,1,1,1
a passable date film ,aight date movie,Positive,Positive,Positive,1,1,1,1
imax in short ,IMAX in brief,Positive,Positive,Positive,0,1,1,1
i hate it . ,I can't stand it.,Negative,Negative,Negative,1,1,1,1
's pleasant enough -- and oozing with attractive men ,It's nice enough -- and full of fine lookin' men.,Positive,Positive,Positive,1,1,1,1
"no one involved , save dash , shows the slightest aptitude for acting ","Ain't nobody in it, 'cept Dash, got any kinda skill for actin'",Negative,Negative,Negative,1,1,1,1
in this wildly uneven movie ,in this wild uneven movie,Negative,Negative,Negative,1,1,1,1
"pokes , provokes , takes expressionistic license ","Pokes, provokes, take expressionistic license",Positive,Positive,Positive,0,0,1,1
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ","like one of ( Spears' ) music videos in content -- but it keep goin' for like 90 more minutes and, worse, you gotta pay if you wanna see it",Negative,Negative,Negative,1,1,1,1
"with color and depth , and rather a good time ","wit color and depth, and a pretty good time",Positive,Positive,Positive,1,1,1,1
"silly , outrageous , ingenious ","silly, outrageous, clever",Positive,Positive,Positive,1,1,1,1
being able to hit on a 15-year old when you 're over 100 ,bein' able to hit on a 15-year old when you over 100,Negative,Negative,Negative,1,1,1,1
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ","the story of trouble every day ... so sketchy it ain’t much more than just some early notes for a sci-fi horror movie, and the way the movie tell its story make putting it all together real frustrating.",Negative,Negative,Negative,1,1,1,1
the year 's best and most unpredictable comedy ,the year's best and most unpredictable comedy,Positive,Positive,Positive,1,1,1,1
