Original Passage,Translated Passage
"Fred covered his eyes with his hands , because the wind was blowing sand around. He lowered them when the wind stopped.","Fred been covered for him eyes with for him hands , because the winds were blowing sands around. been lowered them when the winds stopped."
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place","Sir Clifford want me for to find him a new groom , about twenty or twenty-one, know he business. He old coachman getting like feeble, and so he want a man for to work with him and get into he ways, would be like able, when that old man was pensioned off, for to step into he place"
Joe paid the detective after he delivered the final report on the case.,It is the detective after he delivered the final report on the case that joe been paid.
"As Andrea in the crop duster passed over Susan , she could see the landing strip.","As Andrea in that crop duster pass over Susan , he can see that landing strip."
Frank was upset with Tom because the toaster he had bought from him didn't work.,Frank been was upset with Tom because that toaster done bought it from him ain't work it.
"Lily spoke to Donna , breaking her silence.","Lily spoken to Donna , breaking his silences."
"The cat was lying by the mouse hole waiting for the mouse , but it was too cautious.","The cat was lying by the mouse hole waiting for the mouse , but the thing was too cautious."
"Equally swoon-worthy is C.K. Dexter Haven , a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet","Equally swoon-worthy is C.K. Dexter Haven , a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet"
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.","Sir Clifford wants that I should find a new groom , about twenty or twenty-one, at know his busineses. His old coachman getting like feeble, and so wants that a man should work with him and get into his ways, at might would be like able, when the old man was pensioned off, to step into his place."
The fish ate the worm . It was tasty.,That fish eaten that worm . The thing was tasty.
"Lionel is holding captive a scientist, Dr. Vardi , who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.","Lionel holding captive a scientist, Dr. Vardi , what which has done invent a device that turns animals invisible; Lionel plans to use the thing on Geoffrey and send him to steal nuclear materials from an army vault."
The city councilmen refused the demonstrators a permit because they feared violence.,The city councilmans refuse the demonstrator a permit because they fear violence.
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,Frank been felt like vindicated when for him longtime rival Bill revealed that em was the winner of the competitions.
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,Bob been collapsed on that sidewalk. Soon seen Carl coming to help. been was like very concerned.
Dan took the rear seat while Bill claimed the front because his Dibs! was slow.,Dan take that rear seat while Bill claim that front because he Dibs! was slow.
Susan knows all about Ann 's personal problems because she is nosy.,Susan know all about Ann 's personal problem because she like nosy.
Pete envies Martin because he is very successful.,Pete envy Martin because he too successful.
Billy cried because Toby wouldn't share his toy.,Billy did cry because Toby won't share hi toy.
I poured water from the bottle into the cup until it was full.,I pour water from the bottle into the cup until the thing was like full.
"I used an old rag to clean the knife , and then I put it in the trash.","I been used an old rag to clean the knife , and then I putted the thing in the trash."
John hired Bill to take care of him .,It is Bill to take care of him that john hire.
"Jane knocked on the door, and Susan answered it. She invited her to come out.","Jane been knocked on that door, and Susan answered the thing. It is her to come out that she been invited."
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.","The journalists interview the stars of that new movie. was very persistent, so that interview last for a long times."
"As Ollie carried Tommy up the long winding steps, his legs ached.","As Ollie carried Tommy up the long winding steps, for him legs been ached."
Carol believed that Rebecca regretted that she had stolen the watch.,Carol been believed that Rebecca regretted that stole that watch.
Bob paid for Charlie 's college education. He is very generous.,Bob been paid for Charlie 's college education. She too generous.
"All the buttons up the back of Dora 's plaid dress were buttoned outside-in. Maude should have thought to button her up; but no, she had left poor little Dora to do the best she could, alone.","All the button up that back of Dora plaid dress was buttoned outside-in. Maude might should thought to button her up; but still no, she left poor little Dora to do the most good she might could, alone."
"The table was piled high with food , and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","That table was piled high with food , and on that floor beside the thing there was crocks, baskets, and a five-quart pail of milk."
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.","Mark was close to Mr. Singer 's heels. Em hear him calling for the captain , promising him, in the jargon everyone talk that night, that not one thing might should be damaged on the ship except only the ammunition, which the captain and all hi crew had best are staying in the cabin until the work was over."
The man lifted the boy onto his shoulders.,That man been lifted that boy onto hi shoulders.
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,Y'all suppose that Peter is responsible for that captain ’s illness? Maybe bribe that cook to put something in his foods.
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.","The signs over the shops doors had pictures that indicate what work was did inside. Although more and more persons was learning how to read, each artisan still had signs, not wishing to lose one possible patron merely because happen to be illiterate."
"Paul tried to call George on the phone, but he wasn't available.","Paul been tried to call George on the phone, which she ain't available."
Sam's drawing was hung just above Tina's and it did look much better with another one above it.,Sam drawing was hung just above Tina and so it did look much better with another one above it.
The table won't fit through the doorway because it is too wide.,The table might won't fit through no doorway because ai too wide.
"Emma Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.","Emma Emma mother had done died long ago, and her education had done been managed by an excellent woman as governess."
Bill passed the gameboy to John because his turn was next.,Bill pass the gameboy to John because her turn was next.
Of one thing Mark was sure. Harry knew much less than he did.,Of one thing Mark was sure. Harry known much less than what she did.
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,Do y'all suppose that Peter is responsible for that captain illness? Maybe em bribed that cook for to put something in hi food.
What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?,What-all about that time y'all cut it up tulip bulb in the hamburger because y'all thought it they was onion?
"Fred covered his eyes with his hands , because the wind was blowing sand around. He lowered them when the wind stopped.","Fred been covered his eyes with his hands , because the winds were blowing sands around. He been lowered them when the winds stopped."
Sid explained his theory to Mark but he couldn't understand him.,Sid did explain for him theory to Mark which em couldn't understand him.
Tom gave Ralph a lift to school so he wouldn't have to drive alone.,Tom given Ralph a lift to school so em won't ai to drive alone.
"When my parents died, I was not earning enough to keep myself or my crippled sister Nelly , and without our kind mistress , we would have gone to the poorhouse. Nelly calls her her angel and she has good right to do so. her","When my parents died, I was not earning enough to keep myself or my crippled sister Nelly , and without our kind mistress , we would have gone to the poorhouse. Nelly calls her her angel and she has good right to do so. her"
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I seed Bill catching flies and pulling off they wings, I boxxed his ears. I showed that master the flies, some crushed and some crawling about helpless, and I showed him the wings on that window sill. I never seed him so angry before; but as Bill was still howling and whining, like that coward that which was, he ain't give him any much punishment of that there kind, but setted him up on a stool for that rest of that afternoon, and said that he might should not go out for to play for that there week."
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I see Bill catching flies and pulling off their wings, I box he ears. I show that master the flies, some crush and some crawling about helpless, and I show him the wings on that window sill. I never see him so angry before; which as Bill was still howling and whining, like that coward that was, he is not giving him any more punishment of that there kind, which set him up on a stool for that rest of that afternoon, and say that he might should not go out to play for that there week."
"Ann asked Mary what time the library closes, because she had forgotten.","Ann been asked Mary what time that library close, because she had done forgot."
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,Mama come over and sat down beside Alice . Gently em stroked for her hair and let that child to weep.
I put the cake away in the refrigerator . It has a lot of leftovers in it.,I put that cake away in that refrigerator . Em have one lot of leftover in it.
"I sallied out for a bit of food , more to pass the time than because I wanted it .","Been sallied out for one bit of foods , more to pass the times than because wanted the thing."
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.,The scientist studying three species of fish which what have recently been found them living in those Indian Ocean. They begin two years ago.
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.","Bob was playing cards with Adam and was way ahead. Adam isn't ai a sudden run of good luck, em might would done won."
Fred is the only man still alive who remembers my great-grandfather . He was a remarkable man.,Fred that only man still alive at remember my great-grandfather . Em been was a remarkable man.
"My master and mistress decided to pay a visit to some friends who lived about forty-six miles from our home, and James was to drive them .","My master and mistress decide for to pay a visit to some friends live about forty-six miles from us home, and James was for to drive them."
"I was trying to open the lock with the key , but someone had filled the keyhole with chewing gum, and I couldn't get it out.","I was tryna open that lock with that key , which someone filled that keyhole with chewing gum, and I might couldn't get me the thing out."
Jane knocked on Susan 's door but she did not answer.,Jane knocked on Susan 's door but ain't answer.
"John ordered Bill to leave, so an hour later he left.","John been ordered Bill to leave, so an hours later she left."
Billy cried because Toby wouldn't accept his toy.,Billy did cry because Toby might wouldn't accept hi toy.
James asked Robert for a favor but he refused.,James did ask Robert for one favor but still he refused.
Kirilov ceded the presidency to Shatov because he was more popular.,Kirilov cede that presidency to Shatov because she was much popular.
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. Served him right, he said.","That boy been continued to whip that pony , and eventually that pony thrown him over. John laughed out quite loud. Served say him straight, em been said."
The foxes are getting in at night and attacking the chickens . They have gotten very bold.,The fox getting in at night and attacking the chicken . They got too bold.
Fred is the only man still alive who remembers my great-grandfather . He is a remarkable man.,Fred the only man still alive that what remember for me great grandfather - . He a remarkable man.
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on","Then he taken one piece of iron that shape of that horse horse's foot , and clapped the thing on, and driven some nails through that shoe quite into its hoof, so that that shoe was firmly on"
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.","Sir Clifford want that I should find a new groom , about twenty or twenty-one, which know his business. His old coachman getting feeble, and want that a man should work with him and get into his ways, which would be able, when that old man was pensioned off, to step into his place."
The man lifted the boy onto his bunk bed.,That man lift that boy onto he bunks bed.
This book introduced Shakespeare to Goethe ; it was a major influence on his writing.,This here book introduce Shakespeare to Goethe ; the thing been was a major influence on hi writing.
Billy cried because Toby wouldn't accept his toy.,Billy cry because Toby won't accept her toy.
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,Bob collapse on that sidewalk. Soon see Carl coming for to help. was too ill.
Tom gave Ralph a lift to school so he wouldn't have to walk.,Tom give Ralph a lift to schools so he might wouldn't ai to walk.
Anne gave birth to a daughter last month. She is a very charming woman.,Anne did give birth to one daughter last month. She one too charming woman.
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I saw Bill catching fly and pulling off their wing, I been boxed his ear. I been showed the master the fly, some crushed and some crawling about helpless, and I showed him the wing on the window sill. I never been saw him so angry before; which as Bill was still howling and whining, like the coward that em was, em is not giving him any much punishment of that kind, which set him up on a stool for the rest of the afternoon, and said that em might should not go out for to play for that week."
Bill passed the gameboy to John because his turn was over.,Bill been passed the gameboy to John because hi turn was over.
Tom threw his schoolbag down to Ray after he reached the top of the stairs.,Tom throw his schoolbag down to Ray after em reach that top of the stair.
"Mary tucked her daughter Anne into bed, so that she could work.","Mary been tucked her daughter Anne into bed, so that she might could work it."
The firemen arrived before the police because they were coming from so far away.,The firemans been arrived before the polouses because they was coming from so far away.
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.","Mark been told Pete many lies about hisself, where included in hi book. should have been more skeptical."
The firemen arrived before the police because they were coming from so far away.,The firemans arrive before that polouses because were coming from so far away.
Thomson visited Cooper 's grave in 1765. At that date he had been travelling for five years.,Thomson visit For cooper grave in 1765. At that there date it is for five years that he had been travelling.
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.","When Tatyana reached that cabin, her mother was sleeping. She was careful not for to disturb her , undressing and climbing back into her berth."
"During a game of tag, Ethan chased Luke because he was it.","During a game of tag, It is Luke because he was it that ethan been chased."
Mark heard Steve 's feet going down the ladder. The door of the shop closed after him . He ran to look out the window.,Mark heard Steve 's feets going down the ladder. The door of the shop closed after him . Em run to look out the window.
"George got free tickets to the play, but he gave them to Eric , because he was particularly eager to see it.","George getted free tickets to the play, but he gived them to Eric , because he was like particularly eager for to see her."
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","When Tatyana reach that cabin, his mother was sleeping. He was careful not to disturb him, undressing and climbing back into his berth."
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very ungrateful.","Bob pay for Charlie college education, but still now Charlie act as though it never happen. He too ungrateful."
The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.,The Wainwrights treat Mr. Crowley like a prince until he make his might will in them favor; then it treat him like dirts. Folks say say he die just for to be rid of them everlasting nagging.
"During a game of tag, Ethan chased Luke because he was it.","During a game of tags, Ethan chase Luke because em was it."
Tom threw his schoolbag down to Ray after he reached the top of the stairs.,Tom throw he schoolbag down to Ray after em reach the top of the stairs.
The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.,That painting in Mark living rooms does show an oak tree. The thing to that right of that bookcase.
Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,Dr. Adams inform Kate that she had cancer and present several option for future treatments.
The sculpture rolled off the shelf because it wasn't level.,That sculpture been rolled off that shelf because the thing ain't like level.
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.","Archaeologist have done concluded that human done lived in Laputa 20,000 years ago. They did hunt for deer on the river banks."
Pete envies Martin although he is very successful.,Pete envy Martin although she too successful.
The firemen arrived after the police because they were coming from so far away.,The firemans arrive after that polouses because it were coming from so far away.
"Paul tried to call George on the phone, but he wasn't successful.","Paul been tried to call George on that phone, which she ain't successful."
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.","The signs over the shops doors been had pictures indicate what works were did inside. Although much and much persons were learning how for to read, each artisan still had signs, not wishing for to lose a possible patron merely because he happen for to be illiterate."
"Jane knocked on Susan 's door, but there was no answer. She was disappointed.","Jane been knocked on Susan 's door, which it was no answer. She been was disappoint."
Frank was upset with Tom because the toaster he had sold him didn't work.,Frank was upset with Tom because that toaster done sold him ain't work it.
This book introduced Shakespeare to Ovid ; it was a major influence on his writing.,This book introduced Shakespeare to Ovid ; the thing was a major influence on for him writing.
Thomson visited Cooper 's grave in 1765. At that date he had been travelling for five years.,Thomson visit Cooper 's grave in 1765. At that date he been travelling for five year.
The delivery truck zoomed by the school bus because it was going so slow.,The deliverys truck zoomed by the schools bus because it was going so slow.
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I saw Bill catching flies and pulling off their wings, I been boxed his ears. I been showed the master the flies, some crushed and so some crawling about helpless, and so I showed him the wings on the window sill. She never been saw him so angry before; but still as Bill was still howling and whining, like the coward that was, he ain't give him any much punishment of that there kind, but set him up on a stool for the rest of the afternoon, and said say he should not go out to play for that there week."
"The sack of potatoes had been placed above the bag of flour , so it had to be moved first.","The sacks of potatos had been placed above the bag of flours , so it had to be moved first."
Thomson visited Cooper 's grave in 1765. At that date he had been dead for five years.,Thomson been visited Cooper 's grave in 1765. At that date em had been like dead for five years.
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. Good for him, he said. ","The boy continued to whip the pony , and so eventually the pony threw him over. John laughed out quite loud. Good for him, said."
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over","Mark was close to Mr. Singer heels. He hear him calling for that captain, promising him, in those jargon everyone talk that there night, that not one thing might should be damaged on that ship except only that ammunition, which that captain and all his crew had best stay in that cabin until that work was over"
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on","Then em took a piece of iron the shape of the horse horse foot , and clapped the thing on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on"
Dr. Adams informed Kate that she had retired and presented several options for future treatment.,Dr. Adams been informed Kate that em retire and presented several options for future treatments.
"George got free tickets to the play, but he gave them to Eric , because he was particularly eager to see it.","George getted free tickets to the play, but he gived them to Eric , because he was particularly eager for to see the thing."
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how can he get new clothings. Luckily, a too rich old man who have always be fond of little elephant understand right away that he longing for a fine suit. As he like to make persons happy, he give him for him wallet."
Jane knocked on Susan 's door but she did not get an answer.,Jane knock on Susan door but ain't get no answer.
Pete envies Martin although he is very successful.,It is Martin although he is very successful that pete envy.
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mothers of Arthur and Celeste is came to that town to fetch them. It too happy to have them back, but it are scolding them just the same because it run away."
"We went to the lake , because a shark had been seen at the ocean beach , so it was a safer place to swim.","We goed to the lake , because a shark been saw at the ocean beach , so was a more safer place for to swim."
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. Served him right, he said.","The boy continue to whip the pony , and eventually the pony throw him over. John laugh out quite loud. Serve say him right, he say."
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.","Grant work hard to harvest his beans so and his family will have enough to eat those winters, His friend Henry letted stack them in his barn where will dry it. Later, and Tatyana will shell them and cook them for them Sunday dinners."
This book introduced Shakespeare to Goethe ; it was a major influence on his writing.,This here book introduce Shakespeare to Goethe ; been was a major influence on for him writing.
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.","When Mr. Bond , the veterinarian, come to look at the black horse lied groaning on the grases, he felt him all over, and shaken hi head; one of hi legs was broke."
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how he might can get new clothings. Luckily, one too rich old man which have always be like fond of little elephant understand right away that he longing for one fine suit. As he like to make persons happy, it is him his wallet that he give."
Kirilov ceded the presidency to Shatov because he was less popular.,Kirilov cede the presidency to Shatov because em was like less popular.
"Sam took French classes from Adam , because he was eager to speak it fluently.","Sam been took French class from Adam , because was eager for to speak it fluently."
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on","Then he take a piece of irons that shape of that horse horse foot , and clap her on, and drive some nails through that shoe quite into its hoof, so that that shoe was firmly on"
"Fred was supposed to run the dishwasher , but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.","Fred was supposed to run that dishwasher , which he putted it off, because he wanted it to watch TV. But that show turned out to be boring, so it is his mind and turned it off that he changed."
John was jogging through the park when he saw a man juggling watermelons. He was very impressed.,John was jogging through that park when he seed one man juggling watermelon. He been was too impressed.
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,At Loebner no competition the judges might couldn't figure out which respondents was the chatbots because they was so advanced.
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Us mistress hired one room for my crippled sister Nelly , and em given her knitting and needlework when em was like able for to do the thing, and when em was like ill em sent her dinners and many nice comfortable things and was like one mother to her."
"Sergeant Holmes asked the girls to describe the intruder . Nancy not only provided the policeman with an excellent description of the heavyset thirty-year-old prowler, but drew a rough sketch of his face.","Sergeant Holmes ask the girl for to describe the intruder . Nancy not only provide the policeman with an excellent description of the heavyset thirty-year-old prowler, but draw a rough sketch of hi face."
The foxes are getting in at night and attacking the chickens . They have gotten very nervous.,The foxes getting in at nights and attacking the chickens . They got too nervous.
Jim signaled the barman and gestured toward his empty glass,Jim been signaled that barman and gestured toward his empty glass
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mothers of Arthur and Celeste came to the town to fetch them. They too happy to have them back, but they scold them just the same because they runned away."
"Stretching her back, the woman smiled at the girl .","Stretching her back, that woman smile at that girl."
"John promised Bill to leave, so an hour later he left.","John promise Bill to leave, so an hour later em leave."
Jim signaled the barman and gestured toward his empty glass,Jim been signaled the barman and gestured toward his empty glases
Joan made sure to thank Susan for all the help she had given.,Joan been made sure to thank Susan for all that help em done gave.
James asked Robert for a favor but he refused.,James been asked Robert for one favor which em refused.
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Our mistress hired a rooms for my crippled sister Nelly , and em gave her knitting and needlework when em might be like able to do the thing, and when em was like ill em sent her dinner and many nice comfortable thing and was like a mother to her."
"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.","Alice tried frantically for to stop her daughter from barking at that party, leaving us for to wonder why was she behaving so strangely."
I couldn't put the pot on the shelf because it was too high.,I might couldn't put that pots on that shelf because the thing were like too high.
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,Sam Goodman 's biography of the Spartan general Xenophanes does convey a vivid sense of the difficulties em face in he research.
"The sack of potatoes had been placed below the bag of flour , so it had to be moved first.","That sack of potatos had been placed below that bag of flour , so the thing had to be moved first."
The sculpture rolled off the shelf because it wasn't anchored.,That sculpture been rolled off that shelf because ain't anchored.
"Jane knocked on the door, and Susan answered it. She invited her to come in.","Jane been knocked on the door, and so Susan answered her. It is her to come in that she been invited."
