Passage Reference,Passage Hypothesis,Question Reference,Question Hypothesis,Passage BLEU_score,Question BLEU_score,Passage BLEU_score_under_10,Passage BLEU_score_under_20,Passage BLEU_score_under_30,Passage BLEU_score_under_50,Passage BLEU_score_under_70,Question BLEU_score_under_10,Question BLEU_score_under_20,Question BLEU_score_under_30,Question BLEU_score_under_50,Question BLEU_score_under_70
"badger -- badgers are short-legged omnivores in the family mustelidae, which also includes the otters, polecats, weasels, and wolverines. they belong to the caniform suborder of carnivoran mammals. the 11 species of badgers are grouped in three subfamilies: melinae (eurasian badgers), mellivorinae (the honey badger or ratel), and taxideinae (the american badger). the asiatic stink badgers of the genus mydaus were formerly included within melinae (and thus mustelidae), but recent genetic evidence indicates these are actually members of the skunk family, placing them in the taxonomic family mephitidae.","badger -- badgers be short-legged omnivores from the mustelidae fam, which also got otters, polecats, weasels, and wolverines. these creatures be part of the caniform suborder of carnivoran mammals. there's 11 species of badgers split into three subfamilies: melinae (eurasian badgers), mellivorinae (dat honey badger or ratel), and taxideinae (the american badger). the asiatic stink badgers from the genus mydaus used to be counted with melinae (so, mustelidae), but new genetic proof show they actually part of the skunk fam, which puts them in the mephitidae taxonomic family.",is a wolverine the same as a badger,"a wolverine, is it the same as a badger?",49.543533773878316,41.72261448611506,0,0,0,1,1,0,0,0,1,1
"green lantern (film) -- green lantern was released on june 17, 2011, and received generally negative reviews; most criticized the film for its screenplay, inconsistent tone, choice and portrayal of villains, and its use of cgi, while some praised reynolds' performance. reynolds would later voice his dissatisfaction with the film. the film underperformed at the box office, grossing $219 million against a production budget of $200 million. due to the film's negative reception and disappointing box office performance, warner bros. canceled any plans for a sequel, instead opting to reboot the character in the dc extended universe line with the film green lantern corps, set for release in 2020.","green lantern (movie) -- green lantern dropped on june 17, 2011, but it ain't get much love from the critics; most folks was bashing it for its script, how it was all over the place, how they handled the bad guys, and the heavy cgi. some did give props to reynolds' acting though. reynolds himself wasn’t too happy with how it turned out. at the box office, it didn’t do too hot, pulling in just $219 million on a $200 million budget. cause of the rough feedback and weak box office numbers, warner bros. scrapped any ideas for a follow-up. instead, they decided to give the character a fresh start in the dc extended universe with the movie green lantern corps, which was supposed to come out in 2020.",will there be a green lantern 2 movie,they finna make a green lantern 2 movie or nah?,18.62006202647647,35.08439695638686,0,1,1,1,1,0,0,0,1,1
"united states and the international criminal court -- the united states should have the chance to observe and assess the functioning of the court, over time, before choosing to become subject to its jurisdiction. given these concerns, i will not, and do not recommend that my successor, submit the treaty to the senate for advice and consent until our fundamental concerns are satisfied.","us and the international criminal court — the us gotta take some time to watch and figure out how the court do its thing, before deciding to be under its rules. with these worries in mind, i ain't gonna, and i won't suggest my next in line, to bring the treaty to the senate for approval 'til we good with everything.",does the icc has jurisdiction in the united states,do the icc got jurisdiction in the united states?,16.038594410886027,45.180100180492246,0,1,1,1,1,0,0,0,1,1
calcium carbide -- calcium carbide is a chemical compound with the chemical formula of cac. its main use industrially is in the production of acetylene and calcium cyanamide.,calcium carbide -- calcium carbide be a chemical compound wit' the chemical formula of cac. its main use in industry be in makin' acetylene and calcium cyanamide.,calcium carbide cac2 is the raw material for the production of acetylene,"calcium carbide, cac2, be the raw stuff fo' makin' acetylene.",54.55482124113122,9.669265690880861,0,0,0,0,1,1,1,1,1,1
"now you see me (film series) -- now you see me is a series of heist thriller film written by ed solomon, boaz yakin, and edward ricourt. they focus on the actions of a team of illusionists named ``the four horsemen'' who pull off near impossible heists. the series features an ensemble cast including jesse eisenberg, mark ruffalo, woody harrelson, isla fisher, dave franco, michael caine, lizzy caplan, and morgan freeman. the first film was released in 2013, while the second was released in 2016, and a third film is currently in development and set to be released in 2019. the series has received mixed reviews from critics and audiences and grossed nearly $700 million worldwide.","now you see me (film series) -- now you see me be a bunch of heist thriller movies written by ed solomon, boaz yakin, and edward ricourt. they all about this squad of magicians called the four horsemen who be pulling off some crazy heists that almost seem impossible. the series got a big cast with folks like jesse eisenberg, mark ruffalo, woody harrelson, isla fisher, dave franco, michael caine, lizzy caplan, and morgan freeman. the first movie dropped in 2013, the next one came out in 2016, and they got another one on the way, supposed to come out in 2019. the series got mixed feelings from critics and people watching, but it still made almost $700 million all over the world.",is there a now you see me 3 coming out,"they finna drop a ""now you see me 3"" or what?",45.30915030764226,27.824623288353134,0,0,0,1,1,0,0,1,1,1
"penalty shoot-out (association football) -- a shoot-out is usually considered for statistical purposes to be separate from the match which preceded it. in the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss; in the case of a single match, it is still considered as a draw. this contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. converted shoot-out penalties are not considered as goals scored by a player for the purposes of their individual records, or for ``golden boot'' competitions.","penalty shootout in soccer -- when folks tally up stats, they usually treat the shootout like it's its own thing, separate from the game before it. if it’s a two-game series, each game counts as either a draw or one win and one loss, but if it's just one game, it's still marked as a draw. this is different from when a game is won in extra time, where the final score replaces the regular time score. also, goals made in a shootout don't count towards a player's total goals or for competitions like the golden boot.",does a penalty shoot out goal count towards the golden boot,do goals from a penalty shootout count towards the golden boot?,15.029274641972991,36.462858619364674,0,1,1,1,1,0,0,0,1,1
"cutthroat kitchen -- cutthroat kitchen is a cooking show hosted by alton brown that aired on the food network from august 11, 2013 to july 19, 2017. it features four chefs competing in a three-round elimination cooking competition. the contestants face auctions in which they can purchase opportunities to sabotage one another. each chef is given $25,000 at the start of the show; the person left standing keeps whatever money they have not spent in the auctions. the show ended on its fifteenth season in july 2017. the series shares some basic elements with other four-chef, three-round elimination-style competitions on food network including chopped and guy's grocery games. numerous cutthroat kitchen contestants have competed on these shows.","cutthroat kitchen -- cutthroat kitchen a show where alton brown be hostin', and it was poppin' on food network from august 11, 2013 all up till july 19, 2017. the show got four chefs throwin' down in a kitchen battle across three rounds, tryna outcook each other. but here's the twist: they get to bid on ways to mess with each other’s game. each chef starts off with a stack of $25,000, and whoever lasts till the end keeps whatever cash they ain't spent on them sabotages. the show wrapped after fifteen seasons in july 2017. this show got some common vibes with other food network face-offs like chopped and guy's grocery games, where chefs also gotta survive through three rounds. and a bunch of chefs from cutthroat kitchen been showin' up on them other shows too.",will there be a new season of cutthroat kitchen,they gon' drop a new season of cutthroat kitchen or what?,18.195808894184633,41.72261448611505,0,1,1,1,1,0,0,0,1,1
"jack sikma -- in 2006, sikma was voted as one of the 100 legends of the ihsa boys basketball tournament, a group of former players and coaches in honor of the 100 anniversary of the ihsa boys basketball tournament. on june 27, 2017, sikma was inducted into the small college basketball hall of fame as part of their second class . inducted alongside sikma were zelmo beaty, walt frazier, bob love, elmore smith, jim spivey, rico swanson, george tinsley, and al tucker.","jack sikma -- back in 2006, sikma got picked as one of the top 100 legends of the ihsa boys basketball tournament, celebratin' the folks who made their mark in the game for the 100th anniversary of the ihsa boys basketball tournament. then, on june 27, 2017, sikma got his name called up into the small college basketball hall of fame with the second ever group. he got inducted with some other heavy hitters like zelmo beaty, walt frazier, bob love, elmore smith, jim spivey, rico swanson, george tinsley, and al tucker.",is jack sikma in the hall of fame,"jack sikma, he in the hall of fame?",53.6956449492425,45.180100180492246,0,0,0,0,1,0,0,0,1,1
"half-elven -- in j.r.r. tolkien's fictional universe of middle-earth, the half-elven (sindarin singular peredhel, plural peredhil, quenya singular perelda) are the children of the union of elves and men. of these, the most significant were the products of couplings between the eldar (the elves who followed the call to valinor) and the edain (the men of the three houses of early men who allied themselves with the eldar in their war against morgoth).","half-elven -- in j.r.r. tolkien's world of middle-earth, the half-elven (in sindarin that's peredhel if you talkin' 'bout one, peredhil for more than one, and in quenya it's perelda for just one) are them kids born from elves and men mixin'. outta all of them, the most important ones came from when the eldar (those elves who peeped the call to valinor) got together with the edain (the men from the three houses who teamed up with the eldar to fight against morgoth).",can elves and humans mate lord of the rings,can elves and humans get together in lord of the rings?,30.79515934057602,42.40125351805035,0,0,0,1,1,0,0,0,1,1
"the boy in the plastic bubble -- the boy in the plastic bubble is a 1976 american made-for-television drama film inspired by the lives of david vetter and ted devita, who lacked effective immune systems. it stars john travolta, glynnis o'connor, diana hyland, robert reed, ralph bellamy & p.j. soles. it was written by douglas day stewart, executive produced by aaron spelling and leonard goldberg (who, at the time, produced starsky and hutch and charlie's angels), and directed by randal kleiser, who would work with travolta again in grease shortly after. the original music score was composed by mark snow. the theme song ``what would they say'' was written and sung by paul williams. william howard taft high school in woodland hills was used for filming.","the boy in the plastic bubble -- the boy in the plastic bubble is a drama from 1976 that was made for tv. it's based on the real lives of david vetter and ted devita, who both had weak immune systems. the film features john travolta, glynnis o'connor, diana hyland, robert reed, ralph bellamy, and p.j. soles. douglas day stewart wrote it. aaron spelling and leonard goldberg, who were busy with starsky and hutch and charlie's angels at the time, were the executive producers. randal kleiser directed the movie, and he teamed up with travolta again in grease not long after. mark snow made the original music, and paul williams wrote and sang the theme song what would they say. they shot the film at william howard taft high school in woodland hills.",the boy in the plastic bubble based on true story,"""the boy in the plastic bubble"" based on a true story?",45.99987687280584,43.24227075463216,0,0,0,1,1,0,0,0,1,1
"a priori and a posteriori -- these terms are used with respect to reasoning (epistemology) to distinguish ``necessary conclusions from first premises'' (i.e., what must come before sense observation) from ``conclusions based on sense observation'' (which must follow it). thus, the two kinds of knowledge, justification, or argument, may be glossed:","a priori and a posteriori -- folks use these terms when they talkin’ ‘bout reasoning or figuring things out (epistemology) to tell the difference between what we know just 'cause it gotta be that way from the jump (like, stuff we know without needing to check it first) and what we figure out by watching and seeing (stuff that comes after we peep something). so, these two kinds of knowing, proving, or making your point, can be broken down like this:",science begins with the premise that knowledge should first be acquired through observation,science start off by sayin' you gotta peep things first to know stuff,11.486358094039565,3.673526562988939,0,1,1,1,1,1,1,1,1,1
"tim brown (american football) -- timothy donell brown (born july 22, 1966) is a former american football wide receiver who played professionally in the national football league (nfl). he played college football for notre dame, where he won the heisman trophy, becoming the first wide receiver to win the award. he spent sixteen years with the los angeles/oakland raiders, during which he established himself as one of the nfl's most prolific wide receivers. brown has also played for the tampa bay buccaneers. in 2015, he was inducted into the pro football hall of fame.","tim brown, born timothy donell brown on july 22, 1966, is a retired american football wide receiver who balled out in the nfl. he played his college football at notre dame and was the first wide receiver ever to snatch up the heisman trophy. tim spent most of his sixteen seasons with the los angeles/oakland raiders, where he made a name for himself as one of the league's all-time great receivers. he also had a stint with the tampa bay buccaneers. in 2015, dude was honored by being inducted into the pro football hall of fame.",is tim brown in the hall of fame,tim brown in the hall of fame?,37.421640029002255,84.08964152537145,0,0,0,1,1,0,0,0,0,0
drinking in public -- drinking in public in denmark is legal in general. the law forbids ``disturbing of the public law and order''. thus general consumption is accepted. several cafes have outdoor serving in the same zones.,"drinking outside — in denmark, it’s cool to drink in public most of the time. but you can't be out there causing a ruckus or disturbing the peace. so, folks just enjoy their drinks, and plenty of cafes even serve outdoors in the same areas.",can you drink alcohol in public in denmark,can you sip on some alcohol in public in denmark?,5.159443465626646,40.35278637463991,1,1,1,1,1,0,0,0,1,1
"jersey pound -- both jersey and bank of england notes are legal tender in jersey and circulate together, alongside the guernsey pound and scottish banknotes. the jersey notes are not legal tender in the united kingdom but are legal currency, so creditors and traders may accept them if they so choose.","jersey pound -- in jersey, both dem jersey notes and dem bank of england notes good for spending, and they be all around the place with guernsey pound and scottish banknotes too. now, dem jersey notes, they ain't officially good for spending in the uk, but they still legal currency, so folks over there can take 'em if they want to.",is jersey currency legal tender in the uk,do they use jersey money in the uk?,16.892805813991565,19.070828081828378,0,1,1,1,1,0,1,1,1,1
"milwaukee bucks -- the bucks have won one league title (1971), two conference titles (1971 and 1974), and 13 division titles (1971--1974, 1976, 1980--1986, 2001). they have featured such notable players as kareem abdul-jabbar, sidney moncrief, oscar robertson, bob dandridge, bob lanier, glenn robinson, ray allen, sam cassell, junior bridgeman, michael redd, terry cummings, vin baker, jon mcglocklin, marques johnson, and brian winters.","milwaukee bucks -- the bucks done snagged one league title back in '71, copped two conference titles in '71 and '74, and racked up 13 division titles ('71-'74, '76, '80-'86, 2001). they done had some real heavy hitters on the squad like kareem abdul-jabbar, sidney moncrief, oscar robertson, bob dandridge, bob lanier, glenn robinson, ray allen, sam cassell, junior bridgeman, michael redd, terry cummings, vin baker, jon mcglocklin, marques johnson, and brian winters.",have the milwaukee bucks ever won a championship,did the milwaukee bucks ever win a championship?,59.38009483235432,35.49481056010054,0,0,0,0,1,0,0,0,1,1
"list of fifa world cup penalty shoot-outs -- this is a list of all penalty shoot-outs that have occurred in the finals tournament of the fifa world cup. penalty shoot-outs were introduced as tie-breakers in the 1978 world cup but did not occur before 1982. the first time a world cup title was won by penalty shoot-out was in 1994. the only other time was in 2006. by the end of the 2018 edition, 30 shoot-outs have taken place in the world cup. of these, only two reached the sudden death stage after still being tied at the end of ``best of five kicks''.","list of fifa world cup penalty shoot-outs -- here's a rundown of all the penalty shoot-outs that have gone down in the fifa world cup finals. they started using penalty shoot-outs to break ties in the 1978 world cup, but the first one didn't happen until 1982. the first time somebody clinched the world cup title in a penalty shoot-out was in 1994. it only happened again in 2006. by the time the 2018 tournament wrapped up, there had been 30 shoot-outs. out of these, only two hit the sudden death phase after they were still tied following the initial best of five kicks.",does the world cup final go to penalties,do the world cup final go to penalties?,33.378287270563106,72.59795291154772,0,0,0,1,1,0,0,0,0,0
"kingdom (manga) -- kingdom (キングダム, kingudamu) is a japanese manga series written and illustrated by yasuhisa hara (原泰久, hara yasuhisa). the manga provides a fictionalized account of the warring states period primarily through the experiences of the war orphan xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying china for the first time in history. the series was adapted into a thirty-eight episode anime series by studio pierrot that aired from june 4, 2012 to february 25, 2013. a second season was announced and aired from june 8, 2013 to march 1, 2014. an english language release of the anime was licensed by funimation.","kingdom (manga) – kingdom (キングダム, kingudamu) is a japanese manga series created by yasuhisa hara. this manga tells a made-up story 'bout the warring states period mostly through the life of xin, a war orphan, and his squad as they strive to make him the top general ever, aiming to bring china together for the first time. the manga got turned into a thirty-eight episode anime by studio pierrot, which was shown from june 4, 2012, to february 25, 2013. they even dropped a second season that ran from june 8, 2013, to march 1, 2014. funimation handled the english language version of the anime.",is kingdom manga based on a true story,"is the manga ""kingdom"" based on real events?",34.29032974004465,9.425159511373677,0,0,0,1,1,1,1,1,1,1
"european economic area -- as of 2014 the contracting parties to the eea are 3 of the 4 efta member states and 27 of the 28 eu member states. the 28th and newest eu member, croatia, finished negotiating their accession to the eea in november 2013, and since 12 april 2014 is provisionally applying the agreement pending its ratification by all eea member states.","european economic area -- check it, since 2014, the folks who signed up for the eea include three outta the four efta member states and 27 outta the 28 eu member states. now, croatia, the newest member of the eu, wrapped up their talks to join the eea back in november 2013. they been kinda unofficially in the mix since 12 april 2014, waitin' on all the eea member states to give it the thumbs up.",is croatia part of the european economic area,croatia part of the european economic area?,21.83917632418933,84.08964152537145,0,0,1,1,1,0,0,0,0,0
"posthumous marriage -- posthumous marriage (or necrogamy) is a marriage in which one of the participating members is deceased. it is legal in france and similar forms are practiced in sudan and china. since world war i, france has had hundreds of requests each year, of which many have been accepted.","posthumous marriage — posthumous marriage (or necrogamy) is when one of the folks gettin' married done passed away. it's legal in france, and they got somethin' like it in sudan and china too. ever since world war i, france be havin' hundreds of these requests every year, and a whole lot of 'em get approved.",can u marry a dead person in france,can u marry somebody who done passed away in france?,27.419545922340113,17.542198478193427,0,0,1,1,1,0,1,1,1,1
"saline (medicine) -- saline, also known as saline solution, is a mixture of sodium chloride in water and has a number of uses in medicine. applied to the affected area it is used to clean wounds, help remove contact lenses, and help with dry eyes. by injection into a vein it is used to treat dehydration such as from gastroenteritis and diabetic ketoacidosis. it is also used to dilute other medications to be given by injection.","saline (medicine) -- saline, or saline solution, be like a mix of salt (sodium chloride) in water and it's got a bunch of uses in medicine. when you put it on where it hurts, it helps clean wounds, makes it easier to take out contact lenses, and deals with dry eyes. if you inject it into a vein, it's used for treating dehydration from stuff like gastroenteritis and diabetic ketoacidosis. plus, it's used to water down other meds that need to be given by injection.",is saline and sodium chloride the same thing,"saline an' sodium chloride, they the same thing or nah?",28.33893697967971,16.59038701421971,0,0,1,1,1,0,1,1,1,1
"bubonic plague -- several classes of antibiotics are effective in treating bubonic plague. these include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. mortality associated with treated cases of bubonic plague is about 1--15%, compared to a mortality of 40--60% in untreated cases.","bubonic plague – aight, so check it, we got some strong antibiotics that can knock out bubonic plague. we talkin' 'bout aminoglycosides like streptomycin and gentamicin, tetracyclines (you know, like doxycycline), and that fluoroquinolone called ciprofloxacin. now, if you treat it, the death rate drops to about 1--15%, but if you don't, it shoots up to 40--60%.",is there a treatment for the bubonic plague,do they got a cure for the bubonic plague?,21.440997864529614,27.77619034011791,0,0,1,1,1,0,0,1,1,1
"joyce summers -- the premise of the series is that buffy is the latest slayer, a young woman endowed by mystical forces with superhuman powers to fight and defeat vampires, demons, and other evil forces in the fictional town of sunnydale. like every slayer before her, she was chosen and informed of her destiny when she was 15 years old. her mother is unaware of her daughter's powers and responsibilities until buffy is forced to tell her at the end of the second season of the television series. although joyce is shocked at this revelation, she recovers quickly and remains a source of stability for buffy and buffy's small circle of friends who assist her, dubbed the scooby gang. eventually joyce is able to take buffy's dangerous demon-fighting in stride and even become proud and respectful of her daughter's abilities. her natural death from an illness in the fifth season forces buffy to face becoming an adult.","joyce summers -- so, the deal is, buffy's the latest slayer, right? she's this young lady blessed with these crazy powers to throw down with vampires, demons, and all sorts of bad news in this made-up place called sunnydale. like all the slayers before her, she got picked and found out about her big destiny when she was just 15. now, her mama didn't know nothing about her daughter's powers and what she had to handle until buffy had to spill the beans at the end of season two. though joyce was all shook up when she first heard, she bounced back real quick and ended up being this rock for buffy and her crew, the scooby gang, who help her out. after a while, joyce gets the hang of buffy’s wild demon-fighting life and even starts feeling proud and respecting her daughter’s skills. but then, joyce passes from an illness in the fifth season, and that's when buffy really has to step up and grow into an adult.",does buffy's mom know she's a slayer,buffy mama know she a slayer?,16.656491996841332,14.535768424205482,0,1,1,1,1,0,1,1,1,1
"leaning tower of pisa -- the tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. the tilt increased in the decades before the structure was completed in the 14th century. it gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries.","leaning tower of pisa -- so, this tower started leaning while they was building it back in the 12th century, right? all because the foundation wasn't strong enough and the ground was too soft on one side to hold up all that weight. over the years, that lean got worse 'til they finally finished building it in the 14th century. it kept on leaning more and more until they got round to fixing it some in the late 20th and early 21st centuries, making sure it wouldn’t fall over.",was the leaning tower of pisa built leaning,did they build the leaning tower of pisa to lean from the start?,25.43986264076061,26.58483576665878,0,0,1,1,1,0,0,1,1,1
