Reference,Hypothesis,BLEU_score,Gemini Pro SE Correct,Gemini Pro AAVE Correct,Gemini Flash SE Correct,Gemini Flash AAVE Correct,GPT4o SE Correct,GPT4o AAVE Correct,GPT4 SE Correct,GPT4 AAVE Correct,GPT3.5 SE Correct,GPT3.5 AAVE Correct
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ","da whole point of a shaggy dog story, of course, is that it don't go nowhere, and dis is classic nowheresville in every sense.",68.70287465920563,1,1,1,1,1,1,1,1,1,1
sometimes dry ,sometime it be dry,15.97357760615681,1,1,1,1,1,1,1,1,1,0
"as they come , already having been recycled more times than i 'd care to count ","as they come, already been recycled more times than i care to count",61.68673431811785,1,1,1,1,1,1,1,1,1,1
"covers this territory with wit and originality , suggesting that with his fourth feature ","cover dis territory wit wit and originality, suggestin' dat wit his fourth feature",26.58483576665878,0,0,0,0,1,1,1,1,1,1
a $ 40 million version of a game ,a $40 million version of a game,100.00000000000004,1,1,1,1,1,1,0,0,1,0
gorgeous and deceptively minimalist ,fine and slick minimalist,18.99589214128981,0,0,0,0,1,1,1,1,1,1
cross swords with the best of them and ,throw down with the best of them,53.29462628216855,1,0,0,0,0,1,1,1,1,1
as a fringe feminist conspiracy theorist ,as a fringe feminist conspiracy theorist,100.00000000000004,1,1,1,1,1,1,1,1,1,1
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ","show once again he ain't lost his touch, pullin' off a superb performance in a film that's alright at best.",33.71354098335153,0,0,0,1,1,1,1,1,1,1
disappointments ,disappointments,100.00000000000004,1,1,1,1,1,1,1,1,1,1
the horrors ,the horrors,100.00000000000004,1,1,1,1,1,1,1,1,1,1
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,a mess splashed with bloody beauty as bright as any scorsese ever showed us.,35.404085389375965,0,0,0,0,0,0,1,0,1,1
many pointless ,mad pointless,49.99999999999999,1,1,1,1,1,1,1,1,1,1
a beautifully ,a beautifully,100.00000000000004,0,0,0,0,1,1,1,1,1,1
"contrived , well-worn situations ","played out, tired situations",12.703318703865365,1,1,1,1,1,1,1,1,1,1
a doa ,i don't know.,0.0,1,1,1,1,1,1,1,1,1,1
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,poor ben bratt couldn't find stardom if mapquest emailed him point-to-point driving directions.,72.85959997974687,1,1,1,1,1,1,1,1,1,1
to be as subtle and touching as the son 's room ,to be as subtle and touching as the son's room,70.80735452207037,0,0,0,0,1,1,1,1,1,1
starts with a legend ,start off with a legend,39.76353643835252,0,0,0,0,0,1,1,1,1,1
far less sophisticated and ,way less sophisticated and,59.460355750136046,1,1,1,1,1,1,1,1,1,1
rich veins of funny stuff in this movie ,rich veins of funny stuff in this movie in aave would be lotta funny stuff in dis movie,38.8905561152711,0,0,0,0,1,1,1,1,1,1
no apparent joy ,ain't no joy evident,18.99589214128981,1,1,1,1,1,1,1,1,1,1
shot on ugly digital video ,shot on ugly digital video,100.00000000000004,1,1,1,1,1,1,1,1,1,1
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,... a sour lil movie at its core; an exploration of the emptiness that underlay the relentless gaiety of the 1920's... the film's ending got a ``what was it all for?'',72.03973959018236,1,1,1,1,1,1,1,1,1,1
"though ford and neeson capably hold our interest , but its just not a thrilling movie ","ford and neeson keep us interested, but it just ain't a thrilling movie.",18.010019776510696,1,1,1,1,1,1,1,1,1,1
is pretty damned funny . ,be pretty damned funny.,66.87403049764218,0,0,0,0,1,1,1,1,1,1
we never feel anything for these characters ,we don't ever feel nothing for these characters.,20.164945583740657,1,1,1,1,1,1,1,1,1,1
's a lousy one at that ,it's a lousy one at that,75.98356856515926,1,1,1,1,1,1,1,1,1,1
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,the corporate circus that be the recording industry in this here climate of mergers and downsizing,53.7284965911771,1,1,1,1,1,1,1,1,1,1
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ","the storylines be woven together skilfully, them magnificent swooping aerial shots be breathtaking, and the overall experience be awesome.",48.052121790174574,0,0,0,0,1,1,1,1,1,1
of the most highly-praised disappointments i ,of da most highly-praised disappointments i,53.7284965911771,1,1,1,1,1,1,1,1,1,1
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ","sound like some cold game played by dudes wit lil smarts, wit old-school thoughts on women and zero empathy.",4.883350589187573,1,1,1,1,1,1,1,1,1,1
seem fresh ,lookin' fresh,49.99999999999999,0,0,0,0,1,1,1,1,1,1
to the dustbin of history ,to the trash bin of history,22.957488466614336,1,1,1,1,1,1,1,1,1,1
"as a director , eastwood is off his game ","as a director, eastwood ain't on his game",51.33450480401705,1,1,1,1,1,1,1,1,1,1
pays earnest homage to turntablists ,pays serious respect to turntablists,23.643540225079384,0,0,0,0,1,1,1,1,1,1
weak and ,i'm tired and hungry.,10.682175159905848,1,1,1,1,1,1,1,1,1,1
"skip this dreck , ","skip this mess,",35.35533905932737,1,1,1,1,1,1,1,1,1,1
contains very few laughs and even less surprises ,got real few laughs and even fewer surprises,36.55552228545123,1,1,1,1,1,1,1,1,1,1
film to affirm love 's power to help people endure almost unimaginable horror ,movie to show love got the power to help folks get through almost unimaginable horror.,16.451929399933114,0,0,0,0,1,1,1,1,1,1
are an absolute joy ,be a whole vibe,0.0,0,0,0,0,1,1,1,1,1,1
generates ,make,0.0,0,0,0,0,0,0,1,1,0,0
", like life , is n't much fun without the highs and lows ",", like life, ain't much fun without the highs and lows",67.61304462994481,0,0,0,0,0,1,1,1,1,1
based on a true and historically significant story ,based on a true and important story from history,46.713797772819994,0,0,0,0,1,1,1,1,1,1
well-rounded tribute ,all-around props,0.0,0,0,0,0,1,1,1,1,1,1
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",", though many of the actors throw off a spark or two when they first show up, they ain't able to make enough heat in this cold vacuum of a comedy to start a reaction.",74.90901663226495,1,1,1,1,1,1,1,1,1,1
so much like a young robert deniro ,so much like a young robert deniro,100.00000000000004,0,0,0,0,1,1,1,1,1,1
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","khouri handle it, with mad style, keepin' both the crazy comedy and deep family drama in one line.",5.044156957071519,0,0,0,0,1,1,1,1,1,1
fashioning an engrossing entertainment out ,makin' a captivatin' entertainment out,21.3643503198117,0,0,0,0,1,1,1,1,1,1
spiffy animated feature ,fly animated feature,55.03212081491043,0,0,0,0,1,1,1,0,1,1
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,that's written and cast so sloppy you can't believe anyone more central to makin' bugsy than the caterer.,32.01338464709618,1,1,1,1,1,1,1,1,1,1
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ","switchin' up 'tween playin' funny comic parody an' pulp melodrama, dis smart-aleck movie ... throwin' 'round some deep questions 'bout the difference 'tween human an' android life",20.769932848852054,0,0,0,0,1,1,1,1,1,1
strung-together moments ,moments strung together,27.516060407455225,1,0,1,0,1,1,0,0,1,0
", generous and subversive artworks ",", generous and subversive artworks",100.00000000000004,0,0,0,0,1,1,1,1,1,1
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","it don't follow the same old, standard, connect-the-dots storyline that's common in movies 'bout the seamy side of the criminal world.",28.656050924069874,0,0,0,0,1,0,1,1,0,1
funny yet ,funny fr fr,27.516060407455225,0,0,0,0,1,1,1,1,1,1
overbearing and over-the-top ,too much and doing the most,8.116697886877475,1,1,1,1,1,1,1,1,1,1
it 's robert duvall ! ,dat's robert duvall!,46.30777161991026,0,0,0,0,1,1,1,1,1,1
rich and sudden wisdom ,rich and sudden wisdom,100.00000000000004,0,0,0,0,1,1,1,1,1,1
"acted and directed , it 's clear that washington most certainly has a new career ahead of him ","acted and directed, it's clear that washington definitely got a new career ahead of him",47.415231822240784,0,0,0,0,1,1,1,1,1,1
in memory ,in memory,100.00000000000004,1,0,0,0,0,0,0,0,1,1
respectable new one ,respectable new one,100.00000000000004,0,0,0,0,1,1,1,1,1,1
yet this grating showcase ,yet this grating showcase in aave would be but dis annoying display,21.200626759025184,1,1,1,1,1,1,1,1,1,1
hate to tear your eyes away from the images long enough to read the subtitles ,hate to pull ya eyes off them pictures long enough to read them subtitles.,21.023693683267553,1,1,0,1,0,0,0,0,0,0
addition to sporting one of the worst titles in recent cinematic history ,"plus, it got one of the worst titles in recent movie history.",44.71018619258421,1,1,1,1,1,1,1,1,1,1
", this gender-bending comedy is generally quite funny . ",this gender-bending comedy usually pretty funny.,23.099966849728546,0,0,0,0,1,1,1,1,1,1
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ","build some robots, bring 'em to the theater wit you for the late show, and do your own mystery science theatre 3000 tribute to what's almost definitely gonna be remembered as the worst -- and only -- killer website movie of this or any other year.",63.05760618077853,1,1,1,1,1,1,1,1,1,0
do n't work in concert ,don't work together,14.127216461522432,1,1,1,1,1,1,1,1,1,1
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ","the direction got a smooth, no-nonsense authority, and the performances by harris, phifer, and cam'ron seal the deal.",56.80635025297613,0,0,0,0,1,1,1,1,1,1
would have liked it more if it had just gone that one step further ,woulda liked it more if it had just gone that one step further,84.46319809857219,1,1,1,1,0,0,0,0,0,0
"it 's too harsh to work as a piece of storytelling , ","it too harsh to work as a piece of storytelling,",83.52052074548166,1,1,1,1,1,1,1,1,1,1
hawaiian shirt ,hawaiian shirt,100.00000000000004,0,0,0,0,1,1,1,1,1,1
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ","take a classic story, put in some fine and skilled actors, and use a beautiful scenery to make a movie that's mad fun to watch.",19.230188007838596,0,0,0,0,1,1,1,1,1,1
provide its keenest pleasures ,give its dopest joys,15.97357760615681,0,0,0,0,1,1,1,1,1,1
altogether too slight to be called any kind of masterpiece ,way too slight to be called any kinda masterpiece,54.627576446464936,1,1,1,1,1,1,1,1,1,1
grievous but ,grievous but,100.00000000000004,1,1,1,1,1,1,1,1,1,1
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ","after you laugh once (maybe twice), you gon' forget the movie by the time you get back to yo' car in the parking lot.",71.10976539462872,1,1,1,1,1,1,1,1,1,1
hopeless ,ain't got no hope,0.0,1,1,1,1,1,1,1,1,1,1
"unpretentious , charming , quirky , original ","down-to-earth, cute, different, unique",8.643019616048525,0,0,0,0,1,1,1,1,1,1
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,nicks and steinberg match they own creations for pure greediness -- that's really tryna do they best.,25.443227422793544,1,0,1,1,1,1,1,1,1,0
very well-written and very well-acted . ,real well-written and real well-acted.,22.957488466614336,0,0,0,0,1,1,1,1,1,1
are n't many conclusive answers in the film ,ain't many conclusive answers in the film,70.1396726799769,1,1,1,1,1,1,1,1,1,1
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ","clumsy talk, heavy-handed fake-feeling feelings,",15.619699684601283,1,1,1,1,1,1,1,1,1,1
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ","show a cute lil' thing that, sadly, be too caught up in its own cuteness.",17.18548758791047,1,1,1,1,1,1,1,1,1,1
bring tissues . ,bring some tissues.,35.35533905932737,1,1,1,1,0,0,0,0,0,0
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,the film mid-to-low budget show through 'cause the makeup work look mad shoddy.,10.886972213737396,1,1,1,1,1,1,1,1,1,1
brings the proper conviction to his role as ( jason bourne ) . ,bring the right conviction to his role as (jason bourne).,75.39221180326287,0,0,0,0,1,1,1,1,1,1
"as a young woman of great charm , generosity and diplomacy ","as a young woman wit a lot of charm, generosity, and know-how in handling people",22.048872820716333,0,0,0,0,1,1,1,1,1,1
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,"it's somethin' deep when a 90-sumthin' year old artist be puttin' in that work to share his views on life, loss, time, and art with us.",17.36086198203101,0,0,0,0,1,1,1,1,1,1
just too silly ,jus' too silly,55.03212081491043,1,1,1,1,1,1,1,1,1,1
cinematic bon bons ,movie treats,0.0,0,0,0,0,1,1,1,1,1,1
it is supremely unfunny and unentertaining to watch middle-age and ,it deadass ain't funny or entertaining watchin' middle-age and,9.442944296079734,1,1,1,1,1,1,1,1,1,1
a lively and engaging examination of how similar obsessions can dominate a family . ,a lively and engaging look at how the same fixations can take over a family.,23.578316044531807,0,0,0,0,1,1,1,1,1,1
irritates and ,it irks me.,0.0,1,1,1,1,1,1,1,1,1,1
collapse ,i'm finna pass out,0.0,1,1,1,1,1,1,1,1,1,1
so many of the challenges it poses for itself that one can forgive the film its flaws ,so many challenges it got for itself that one can forgive the film its flaws,62.68812535657112,0,0,0,0,1,1,1,1,1,1
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ","it work as a decent guide for the area recent history, and would be a dope 10th-grade learning tool.",31.32752091088918,0,0,0,0,1,1,1,1,1,1
wide-awake all the way through ,stayed woke the whole time,10.682175159905848,1,0,0,0,0,1,1,1,1,1
"( vainly , i think ) ",(i be thinkin' in vain),8.643019616048525,1,1,1,1,1,1,1,1,1,1
is one big excuse to play one lewd scene after another . ,jus one big excuse to play one lewd scene after another.,90.36020036098445,1,1,1,1,1,1,1,1,1,1
is effective if you stick with it ,work if you stick with it,64.31870218238025,0,0,0,0,1,1,1,1,1,1
that underscore the importance of family tradition and familial community ,that show how important family tradition and community is,18.04438612975343,0,0,0,0,1,1,1,1,1,1
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ","give what it say it do: a peek at the 'wild ride' that go down when bold young dudes tryna take over the online world with laptops, cell phones, and shaky business plans",26.13937103443112,0,0,0,0,1,1,1,1,1,0
"watching this digital-effects-heavy , supposed family-friendly comedy ","watchin' this digital-effects-heavy, s'posed family-friendly comedy",30.739407647563215,1,1,1,1,1,1,1,1,1,1
absolutely and completely ridiculous and ,absolutely and completely ridiculous and translates to straight up ridiculous and,35.08439695638686,1,1,1,1,1,1,1,1,1,1
's a very tasteful rock and roll movie . ,dat's a real tasteful rock and roll movie.,61.04735835807847,0,0,0,0,1,1,1,1,1,1
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ","the movie ain't hardly got no suspense, surprise, or steady emotional conviction.",18.69300079996002,1,1,1,1,1,1,1,1,1,1
realistic portrayal ,real talk portrayal,27.516060407455225,0,0,0,0,0,0,1,1,1,1
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ","like tryna grab some play-doh, the harder that liman try to squeeze his story",38.594519944265,1,1,1,1,1,1,1,1,1,1
well-thought stunts or ,well-thought stunts or,100.00000000000004,0,0,0,0,1,0,1,0,1,1
reveals how important our special talents can be when put in service of of others . ,show how important our special skills be when we use 'em to help others.,20.79617953215787,0,0,0,0,1,1,1,1,1,1
no lika da ,i ain't like that,0.0,1,1,1,1,1,1,1,1,1,1
a welcome relief ,a welcome relief,100.00000000000004,0,0,0,0,1,1,1,1,1,1
the promise of digital filmmaking ,de promise of digital filmmakin',39.76353643835252,0,0,0,0,1,1,1,1,1,1
just one that could easily wait for your pay per view dollar ,"just one that could easily wait for your pay per view dollar translates to:
just one that could easily wait fo' yo' pay per view dollar.",39.43168375847628,1,1,1,1,1,1,0,1,1,0
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,justify a play pretendin' like it's auschwitz ii-birkenau.,10.798033448421632,1,1,1,1,1,1,1,1,1,1
extraordinary faith ,extraordinary faith,100.00000000000004,0,0,0,0,1,1,1,1,1,1
have i seen a film so willing to champion the fallibility of the human heart ,i ain't neva seen no movie so down to rep how flawed folks' hearts be.,3.4585921141027365,0,0,0,1,0,0,1,1,1,0
", sometimes beautiful adaptation ",", sometimes beautiful adaptation",100.00000000000004,0,0,0,0,1,1,1,1,1,1
about as interesting ,bout as interesting,55.03212081491043,1,1,1,1,1,1,1,1,1,1
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ","caruso sometimes go down into sub-tarantino cuteness... but mostly he make sure the salton sea work how a good noir supposed to, keepin' it tight and nasty.",39.988351382315365,0,0,0,0,1,0,1,1,1,1
"overlong , and bombastic ","too long, and too much",16.233395773754953,1,1,1,1,1,1,1,1,1,1
derivative and hammily ,derivative and hammily,100.00000000000004,1,1,1,1,1,1,1,1,1,1
"most audacious , outrageous , ","mos' audacious, outrageous,",66.87403049764218,0,0,0,1,0,0,1,0,0,1
at its best moments ,at its best moments,100.00000000000004,0,0,0,0,1,1,1,1,1,1
disney again ransacks its archives for a quick-buck sequel . ,disney back at it diggin' through its archives for a quick-buck sequel.,48.63383168079942,1,1,1,1,1,1,1,1,1,1
"that final , beautiful scene ","dat last, beautiful scene",39.76353643835252,0,0,0,0,1,1,1,1,1,1
"some movies suck you in despite their flaws , ",some movies pull you in even with they flaws.,12.549310621989482,0,0,0,0,1,1,1,1,1,1
"eats , meddles , argues , laughs , kibbitzes and fights ","eat, meddle, argue, laugh, kibbitz, and fight",5.063996506781411,1,0,1,0,0,0,0,1,0,1
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ","the problem with the movie is whether these big goals, good on they own, justify pretending like it's the death camp of auschwitz ii-birkenau.",37.30786950813074,1,1,1,1,1,1,1,1,1,1
", compelling ","sentence to translate:
ain't that somethin'?",0.0,0,0,0,0,1,1,0,1,1,0
infectiously ,"i don't have a sentence to translate, you just provided a single word. could you please provide a full sentence for translation?",0.0,0,1,0,1,1,0,1,0,1,0
"the picture runs a mere 84 minutes , but it 's no glance . ","the movie only 84 minutes, but it ain't just a quick look.",29.89950354998137,0,0,0,0,1,0,1,1,0,1
think of this dog of a movie ,think 'bout this trash movie,9.423716574733431,1,1,1,1,1,1,1,1,1,1
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . ,dis amazing line up of grand pics done breathed new life into the romance genre.,16.188613565728215,0,0,0,0,1,1,1,1,1,1
those so-so films that could have been much better ,dem alright movies that coulda been way better,6.413885305524152,1,1,1,1,1,1,1,1,1,1
a passable date film ,aight date movie,19.716118825581447,0,0,1,1,1,1,1,1,1,1
imax in short ,imax in brief,55.03212081491043,0,0,0,0,0,1,0,1,1,1
i hate it . ,i can't stand it.,23.643540225079384,1,1,1,1,1,1,1,1,1,1
's pleasant enough -- and oozing with attractive men ,it's nice enough -- and full of fine lookin' men.,14.991106946711685,0,0,0,0,1,1,1,1,1,1
"no one involved , save dash , shows the slightest aptitude for acting ","ain't nobody in it, 'cept dash, got any kinda skill for actin'",6.754312828675707,1,1,1,1,1,1,1,1,1,1
in this wildly uneven movie ,in this wild uneven movie,30.213753973567677,1,1,1,1,1,1,1,1,1,1
"pokes , provokes , takes expressionistic license ","pokes, provokes, take expressionistic license",48.892302243490086,1,1,1,1,0,0,0,0,1,1
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ","like one of ( spears' ) music videos in content -- but it keep goin' for like 90 more minutes and, worse, you gotta pay if you wanna see it",38.65690626345004,1,1,1,1,1,1,1,1,1,1
"with color and depth , and rather a good time ","wit color and depth, and a pretty good time",46.713797772819994,0,0,0,0,1,1,1,1,1,1
"silly , outrageous , ingenious ","silly, outrageous, clever",66.87403049764218,0,0,0,0,1,1,1,1,1,1
being able to hit on a 15-year old when you 're over 100 ,bein' able to hit on a 15-year old when you over 100,75.33291439517507,1,1,1,1,1,1,1,1,1,1
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ","the story of trouble every day ... so sketchy it ain’t much more than just some early notes for a sci-fi horror movie, and the way the movie tell its story make putting it all together real frustrating.",31.341466444470523,1,1,1,1,1,1,1,1,1,1
the year 's best and most unpredictable comedy ,the year's best and most unpredictable comedy,55.780028607687655,0,0,0,0,1,1,1,1,1,1
