Reference,Hypothesis,BLEU_score,BLEU_under_10,BLEU_under_20,BLEU_under_30,BLEU_under_50,BLEU_under_70
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,... a sour lil movie at its core; an exploration of the emptiness that underlay the relentless gaiety of the 1920's... the film's ending got a ``what was it all for?'',72.03973959018236,0,0,0,0,0
"though ford and neeson capably hold our interest , but its just not a thrilling movie ","ford and neeson keep us interested, but it just ain't a thrilling movie.",18.010019776510696,0,1,1,1,1
is pretty damned funny . ,be pretty damned funny.,66.87403049764218,0,0,0,0,1
we never feel anything for these characters ,we don't ever feel nothing for these characters.,20.164945583740657,0,0,1,1,1
's a lousy one at that ,it's a lousy one at that,75.98356856515926,0,0,0,0,0
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,the corporate circus that be the recording industry in this here climate of mergers and downsizing,53.7284965911771,0,0,0,0,1
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ","the storylines be woven together skilfully, them magnificent swooping aerial shots be breathtaking, and the overall experience be awesome.",48.052121790174574,0,0,0,1,1
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ","sound like some cold game played by dudes wit lil smarts, wit old-school thoughts on women and zero empathy.",4.883350589187573,1,1,1,1,1
seem fresh ,lookin' fresh,49.99999999999999,0,0,0,1,1
to the dustbin of history ,to the trash bin of history,22.957488466614336,0,0,1,1,1
"as a director , eastwood is off his game ","as a director, eastwood ain't on his game",51.33450480401705,0,0,0,0,1
pays earnest homage to turntablists ,pays serious respect to turntablists,23.643540225079384,0,0,1,1,1
weak and ,i'm tired and hungry.,10.682175159905848,0,1,1,1,1
"skip this dreck , ","skip this mess,",35.35533905932737,0,0,0,1,1
contains very few laughs and even less surprises ,got real few laughs and even fewer surprises,36.55552228545123,0,0,0,1,1
film to affirm love 's power to help people endure almost unimaginable horror ,movie to show love got the power to help folks get through almost unimaginable horror.,16.451929399933114,0,1,1,1,1
are an absolute joy ,be a whole vibe,0.0,1,1,1,1,1
generates ,make,0.0,1,1,1,1,1
", like life , is n't much fun without the highs and lows ",", like life, ain't much fun without the highs and lows",67.61304462994481,0,0,0,0,1
based on a true and historically significant story ,based on a true and important story from history,46.713797772819994,0,0,0,1,1
well-rounded tribute ,all-around props,0.0,1,1,1,1,1
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",", though many of the actors throw off a spark or two when they first show up, they ain't able to make enough heat in this cold vacuum of a comedy to start a reaction.",74.90901663226495,0,0,0,0,0
so much like a young robert deniro ,so much like a young robert deniro,100.00000000000004,0,0,0,0,0
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","khouri handle it, with mad style, keepin' both the crazy comedy and deep family drama in one line.",5.044156957071519,1,1,1,1,1
fashioning an engrossing entertainment out ,makin' a captivatin' entertainment out,21.3643503198117,0,0,1,1,1
spiffy animated feature ,fly animated feature,55.03212081491043,0,0,0,0,1
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,that's written and cast so sloppy you can't believe anyone more central to makin' bugsy than the caterer.,32.01338464709618,0,0,0,1,1
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ","switchin' up 'tween playin' funny comic parody an' pulp melodrama, dis smart-aleck movie ... throwin' 'round some deep questions 'bout the difference 'tween human an' android life",20.769932848852054,0,0,1,1,1
strung-together moments ,moments strung together,27.516060407455225,0,0,1,1,1
", generous and subversive artworks ",", generous and subversive artworks",100.00000000000004,0,0,0,0,0
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","it don't follow the same old, standard, connect-the-dots storyline that's common in movies 'bout the seamy side of the criminal world.",28.656050924069874,0,0,1,1,1
overbearing and over-the-top ,too much and doing the most,8.116697886877475,1,1,1,1,1
it 's robert duvall ! ,dat's robert duvall!,46.30777161991026,0,0,0,1,1
rich and sudden wisdom ,rich and sudden wisdom,100.00000000000004,0,0,0,0,0
in memory ,in memory,100.00000000000004,0,0,0,0,0
respectable new one ,respectable new one,100.00000000000004,0,0,0,0,0
yet this grating showcase ,yet this grating showcase in aave would be but dis annoying display,21.200626759025184,0,0,1,1,1
hate to tear your eyes away from the images long enough to read the subtitles ,hate to pull ya eyes off them pictures long enough to read them subtitles.,21.023693683267553,0,0,1,1,1
addition to sporting one of the worst titles in recent cinematic history ,"plus, it got one of the worst titles in recent movie history.",44.71018619258421,0,0,0,1,1
", this gender-bending comedy is generally quite funny . ",this gender-bending comedy usually pretty funny.,23.099966849728546,0,0,1,1,1
do n't work in concert ,don't work together,14.127216461522432,0,1,1,1,1
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ","the direction got a smooth, no-nonsense authority, and the performances by harris, phifer, and cam'ron seal the deal.",56.80635025297613,0,0,0,0,1
would have liked it more if it had just gone that one step further ,woulda liked it more if it had just gone that one step further,84.46319809857219,0,0,0,0,0
"it 's too harsh to work as a piece of storytelling , ","it too harsh to work as a piece of storytelling,",83.52052074548166,0,0,0,0,0
hawaiian shirt ,hawaiian shirt,100.00000000000004,0,0,0,0,0
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ","take a classic story, put in some fine and skilled actors, and use a beautiful scenery to make a movie that's mad fun to watch.",19.230188007838596,0,1,1,1,1
provide its keenest pleasures ,give its dopest joys,15.97357760615681,0,1,1,1,1
altogether too slight to be called any kind of masterpiece ,way too slight to be called any kinda masterpiece,54.627576446464936,0,0,0,0,1
grievous but ,grievous but,100.00000000000004,0,0,0,0,0
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ","after you laugh once (maybe twice), you gon' forget the movie by the time you get back to yo' car in the parking lot.",71.10976539462872,0,0,0,0,0
hopeless ,ain't got no hope,0.0,1,1,1,1,1
"unpretentious , charming , quirky , original ","down-to-earth, cute, different, unique",8.643019616048525,1,1,1,1,1
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,nicks and steinberg match they own creations for pure greediness -- that's really tryna do they best.,25.443227422793544,0,0,1,1,1
very well-written and very well-acted . ,real well-written and real well-acted.,22.957488466614336,0,0,1,1,1
are n't many conclusive answers in the film ,ain't many conclusive answers in the film,70.1396726799769,0,0,0,0,0
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ","clumsy talk, heavy-handed fake-feeling feelings,",15.619699684601283,0,1,1,1,1
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ","show a cute lil' thing that, sadly, be too caught up in its own cuteness.",17.18548758791047,0,1,1,1,1
bring tissues . ,bring some tissues.,35.35533905932737,0,0,0,1,1
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,the film mid-to-low budget show through 'cause the makeup work look mad shoddy.,10.886972213737396,0,1,1,1,1
brings the proper conviction to his role as ( jason bourne ) . ,bring the right conviction to his role as (jason bourne).,75.39221180326287,0,0,0,0,0
"as a young woman of great charm , generosity and diplomacy ","as a young woman wit a lot of charm, generosity, and know-how in handling people",22.048872820716333,0,0,1,1,1
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,"it's somethin' deep when a 90-sumthin' year old artist be puttin' in that work to share his views on life, loss, time, and art with us.",17.36086198203101,0,1,1,1,1
just too silly ,jus' too silly,55.03212081491043,0,0,0,0,1
cinematic bon bons ,movie treats,0.0,1,1,1,1,1
it is supremely unfunny and unentertaining to watch middle-age and ,it deadass ain't funny or entertaining watchin' middle-age and,9.442944296079734,1,1,1,1,1
a lively and engaging examination of how similar obsessions can dominate a family . ,a lively and engaging look at how the same fixations can take over a family.,23.578316044531807,0,0,1,1,1
irritates and ,it irks me.,0.0,1,1,1,1,1
collapse ,i'm finna pass out,0.0,1,1,1,1,1
so many of the challenges it poses for itself that one can forgive the film its flaws ,so many challenges it got for itself that one can forgive the film its flaws,62.68812535657112,0,0,0,0,1
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ","it work as a decent guide for the area recent history, and would be a dope 10th-grade learning tool.",31.32752091088918,0,0,0,1,1
wide-awake all the way through ,stayed woke the whole time,10.682175159905848,0,1,1,1,1
"( vainly , i think ) ",(i be thinkin' in vain),8.643019616048525,1,1,1,1,1
is one big excuse to play one lewd scene after another . ,jus one big excuse to play one lewd scene after another.,90.36020036098445,0,0,0,0,0
is effective if you stick with it ,work if you stick with it,64.31870218238025,0,0,0,0,1
that underscore the importance of family tradition and familial community ,that show how important family tradition and community is,18.04438612975343,0,1,1,1,1
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ","give what it say it do: a peek at the 'wild ride' that go down when bold young dudes tryna take over the online world with laptops, cell phones, and shaky business plans",26.13937103443112,0,0,1,1,1
"watching this digital-effects-heavy , supposed family-friendly comedy ","watchin' this digital-effects-heavy, s'posed family-friendly comedy",30.739407647563215,0,0,0,1,1
absolutely and completely ridiculous and ,absolutely and completely ridiculous and translates to straight up ridiculous and,35.08439695638686,0,0,0,1,1
's a very tasteful rock and roll movie . ,dat's a real tasteful rock and roll movie.,61.04735835807847,0,0,0,0,1
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ","the movie ain't hardly got no suspense, surprise, or steady emotional conviction.",18.69300079996002,0,1,1,1,1
realistic portrayal ,real talk portrayal,27.516060407455225,0,0,1,1,1
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ","like tryna grab some play-doh, the harder that liman try to squeeze his story",38.594519944265,0,0,0,1,1
well-thought stunts or ,well-thought stunts or,100.00000000000004,0,0,0,0,0
reveals how important our special talents can be when put in service of of others . ,show how important our special skills be when we use 'em to help others.,20.79617953215787,0,0,1,1,1
no lika da ,i ain't like that,0.0,1,1,1,1,1
a welcome relief ,a welcome relief,100.00000000000004,0,0,0,0,0
the promise of digital filmmaking ,de promise of digital filmmakin',39.76353643835252,0,0,0,1,1
just one that could easily wait for your pay per view dollar ,"just one that could easily wait for your pay per view dollar translates to:
just one that could easily wait fo' yo' pay per view dollar.",39.43168375847628,0,0,0,1,1
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,justify a play pretendin' like it's auschwitz ii-birkenau.,10.798033448421632,0,1,1,1,1
extraordinary faith ,extraordinary faith,100.00000000000004,0,0,0,0,0
have i seen a film so willing to champion the fallibility of the human heart ,i ain't neva seen no movie so down to rep how flawed folks' hearts be.,3.4585921141027365,1,1,1,1,1
", sometimes beautiful adaptation ",", sometimes beautiful adaptation",100.00000000000004,0,0,0,0,0
about as interesting ,bout as interesting,55.03212081491043,0,0,0,0,1
"overlong , and bombastic ","too long, and too much",16.233395773754953,0,1,1,1,1
derivative and hammily ,derivative and hammily,100.00000000000004,0,0,0,0,0
"most audacious , outrageous , ","mos' audacious, outrageous,",66.87403049764218,0,0,0,0,1
at its best moments ,at its best moments,100.00000000000004,0,0,0,0,0
disney again ransacks its archives for a quick-buck sequel . ,disney back at it diggin' through its archives for a quick-buck sequel.,48.63383168079942,0,0,0,1,1
"that final , beautiful scene ","dat last, beautiful scene",39.76353643835252,0,0,0,1,1
"some movies suck you in despite their flaws , ",some movies pull you in even with they flaws.,12.549310621989482,0,1,1,1,1
"eats , meddles , argues , laughs , kibbitzes and fights ","eat, meddle, argue, laugh, kibbitz, and fight",5.063996506781411,1,1,1,1,1
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ","the problem with the movie is whether these big goals, good on they own, justify pretending like it's the death camp of auschwitz ii-birkenau.",37.30786950813074,0,0,0,1,1
", compelling ","sentence to translate:
ain't that somethin'?",0.0,1,1,1,1,1
infectiously ,"i don't have a sentence to translate, you just provided a single word. could you please provide a full sentence for translation?",0.0,1,1,1,1,1
"the picture runs a mere 84 minutes , but it 's no glance . ","the movie only 84 minutes, but it ain't just a quick look.",29.89950354998137,0,0,1,1,1
think of this dog of a movie ,think 'bout this trash movie,9.423716574733431,1,1,1,1,1
those so-so films that could have been much better ,dem alright movies that coulda been way better,6.413885305524152,1,1,1,1,1
a passable date film ,aight date movie,19.716118825581447,0,1,1,1,1
imax in short ,imax in brief,55.03212081491043,0,0,0,0,1
i hate it . ,i can't stand it.,23.643540225079384,0,0,1,1,1
's pleasant enough -- and oozing with attractive men ,it's nice enough -- and full of fine lookin' men.,14.991106946711685,0,1,1,1,1
"no one involved , save dash , shows the slightest aptitude for acting ","ain't nobody in it, 'cept dash, got any kinda skill for actin'",6.754312828675707,1,1,1,1,1
in this wildly uneven movie ,in this wild uneven movie,30.213753973567677,0,0,0,1,1
"pokes , provokes , takes expressionistic license ","pokes, provokes, take expressionistic license",48.892302243490086,0,0,0,1,1
"with color and depth , and rather a good time ","wit color and depth, and a pretty good time",46.713797772819994,0,0,0,1,1
"silly , outrageous , ingenious ","silly, outrageous, clever",66.87403049764218,0,0,0,0,1
being able to hit on a 15-year old when you 're over 100 ,bein' able to hit on a 15-year old when you over 100,75.33291439517507,0,0,0,0,0
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ","the story of trouble every day ... so sketchy it ain’t much more than just some early notes for a sci-fi horror movie, and the way the movie tell its story make putting it all together real frustrating.",31.341466444470523,0,0,0,1,1
the year 's best and most unpredictable comedy ,the year's best and most unpredictable comedy,55.780028607687655,0,0,0,0,1
starts off so bad that you feel like running out screaming ,start off so bad you wanna run out screamin',16.14682615668325,0,1,1,1,1
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,men in black ii don't mean a thing -- it's like a sci-fi comedy show but playin' like it's whiffle-ball.,14.962848372546667,0,1,1,1,1
elvira fans could hardly ask for more . ,elvira fans couldn't really ask for more.,41.11336169005198,0,0,0,1,1
a good one ,a good one,100.00000000000004,0,0,0,0,0
", plodding picture ",boring movie,0.0,1,1,1,1,1
"the character dramas , which never reach satisfying conclusions ","the character dramas, which never reach satisfying conclusions",100.00000000000004,0,0,0,0,0
lost in the translation this time ,got lost in the translation this time.,68.037493331712,0,0,0,0,1
speak for it while it forces you to ponder anew what a movie can be ,talk on it while it make you think over what a movie can be,34.09483338605692,0,0,0,1,1
enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,lets shafer move around in big and small places real smooth,4.3899270742871295,1,1,1,1,1
a plot cobbled together from largely flat and uncreative moments ,a plot put together from mostly flat and uncreative moments,35.494810560100525,0,0,0,1,1
inane and awful ,foolish and terrible,27.516060407455225,0,0,1,1,1
told in scattered fashion ,told all over the place,10.682175159905848,0,1,1,1,1
takes chances that are bold by studio standards ,take chances that's bold by studio standards,37.68499164492418,0,0,0,1,1
"believe it or not , jason actually takes a backseat in his own film to special effects ","believe it or not, jason actually take a backseat in his own film to special effects.",77.7811122305422,0,0,0,0,0
only thing to fear about `` fear dot com '' ,only thing to be scared of 'bout fear dot com,23.7692636628387,0,0,1,1,1
whole mess ,whole mess,100.00000000000004,0,0,0,0,0
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,manages to mix in some warmth and soft laughs on that tough road to makin' up with siblings,6.722636787666482,1,1,1,1,1
a résumé loaded with credits like `` girl in bar # 3 ,a résumé packed with credits like 'girl in bar #3',22.226499462345544,0,0,1,1,1
enjoy the ride ,enjoy da ride,34.66806371753173,0,0,0,1,1
very little to add beyond the dark visions already relayed by superb recent predecessors ,ain't much to add on top of them dark visions already told by dope recent folks before,11.64394847706997,0,1,1,1,1
"the , yes , snail-like pacing ","the, yeah, snail-like pacing",37.99178428257963,0,0,0,1,1
an extremely unpleasant film . ,a real messed up movie.,8.116697886877475,1,1,1,1,1
"the whole affair , true story or not , feels incredibly hokey ... ","the whole thing, true story or not, feel mad corny ...",44.80304273880272,0,0,0,1,1
are all things we 've seen before ,is all stuff we seen before,16.341219448835542,0,1,1,1,1
poignant and leavened ,deep and lightened up,15.97357760615681,0,1,1,1,1
breathless anticipation ,can't wait,0.0,1,1,1,1,1
significantly better ,way better,49.99999999999999,0,0,0,1,1
as predictable as the tides ,steady as the tides,46.30777161991026,0,0,0,1,1
bewilderingly brilliant and entertaining ,confusin'ly dope and entertainin',15.97357760615681,0,1,1,1,1
it 's smooth and professional ,it smooth and professional,49.76093899250716,0,0,0,1,1
", unassuming , subordinate ",translation goes here,0.0,1,1,1,1,1
the horror ,the horror,100.00000000000004,0,0,0,0,0
a technically superb film ,a technically dope film,35.35533905932737,0,0,0,1,1
the positive change in tone here seems to have recharged him . ,the positive change in tone here seem like it done recharged him.,48.44273237963865,0,0,0,1,1
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ","pay serious respect to turntablists and beat jugglers, old schoolers and current innovators",75.77395672414198,0,0,0,0,0
a dim ,i ain't see nothin',0.0,1,1,1,1,1
", vicious and absurd ",", vicious and absurd",100.00000000000004,0,0,0,0,0
because he acts so goofy all the time ,'cause he always actin' goofy,6.9717291216921975,1,1,1,1,1
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,to a movin' life so full that even cranky grown folks might find that shakin' kid inside,14.087975245199763,0,1,1,1,1
"'s at once laughable and compulsively watchable , ","it's at once laughable and compulsively watchable,",84.08964152537145,0,0,0,0,0
merit its 103-minute length ,be worth them 103 minutes,8.745825313180626,1,1,1,1,1
the value and respect for the term epic cinema ,the value and respect for the term epic cinema,100.00000000000004,0,0,0,0,0
as a dentist 's waiting room ,as a dentist's waitin' room,19.3576934939088,0,1,1,1,1
showing honest emotions ,keepin' it real with them feelings,0.0,1,1,1,1,1
amazingly lame . ,wack as hell.,15.97357760615681,0,1,1,1,1
confessions may not be a straightforward bio ,confessions might not be a straight-up bio,27.77619034011791,0,0,1,1,1
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,seem like a real thin slice of lower-class london life; even with the title... ain't really much,45.65383851393904,0,0,0,1,1
the story is bogus and ,the story bogus,32.34325178227722,0,0,0,1,1
this comic gem is as delightful as it is derivative . ,dis comic gem delightful as it derivative.,20.765589178061216,0,0,1,1,1
to spare wildlife ,to save wildlife,34.66806371753173,0,0,0,1,1
ugly as the shabby digital photography ,ugly as that busted digital photography,22.957488466614336,0,0,1,1,1
understand the difference between dumb fun and just plain dumb ,know the difference between dumb fun and just plain dumb.,78.60753021519781,0,0,0,0,0
traditionally structured ,traditionally structured in aave can be translated as traditionally set up,7.495553473355842,1,1,1,1,1
frida is n't that much different from many a hollywood romance . ,frida ain't really that different from a lot of them hollywood romances.,8.450310992782928,1,1,1,1,1
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,point the way for adventurous indian filmmakers to crossover into nonethnic markets.,65.26220818377338,0,0,0,0,1
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,worth the price of admission ... if gory mayhem yo idea of a good time,54.746657591155525,0,0,0,0,1
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ","jerry bruckheimer produced it and joel schumacher directed it, and it show the worst of they shallow styles: too much going on, ain't got good reasons for none of it, and tryna hit every demographic but end up pleasin' nobody.",7.8093911543802825,1,1,1,1,1
carnage and ,your sentence seems incomplete. could you provide the full sentence you'd like translated into aave?,0.0,1,1,1,1,1
"degraded , handheld blair witch video-cam footage ","degraded, handheld blair witch video-cam footage",100.00000000000004,0,0,0,0,0
second fiddle ,second fiddle,100.00000000000004,0,0,0,0,0
about the folly of superficiality that is itself ,'bout the foolishness of bein' shallow that is itself,20.164945583740657,0,0,1,1,1
tedious norwegian offering which somehow snagged an oscar nomination . ,boring norwegian joint that somehow caught an oscar nom.,10.552670315936318,0,1,1,1,1
", esther kahn is unusual but unfortunately also irritating . ",esther kahn unusual but unfortunately irritating too.,21.897593220582774,0,0,1,1,1
a stylish exercise ,a fly workout,27.516060407455225,0,0,1,1,1
a setup so easy it borders on facile ,a setup so easy it's almost simple,35.64026463354184,0,0,0,1,1
a thoroughly awful movie ,a straight up terrible movie,12.703318703865365,0,1,1,1,1
takes hold and grips hard ,grab on tight and don't let go,6.567274736060395,1,1,1,1,1
"look smeary and blurry , to the point of distraction ","look all smeary and blurry, till it distractin'",28.24099048856542,0,0,1,1,1
the picture 's fascinating byways ,the picture got some fascinating byways,22.957488466614336,0,0,1,1,1
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ","guns, cheatfully filmed martial arts, disintegrating bloodsucker computer effects, and jagged camera moves",81.53551038173119,0,0,0,0,0
"breezy , distracted rhythms ","breezy, distracted rhythms",100.00000000000004,0,0,0,0,0
than this mess ,den dis mess,27.516060407455225,0,0,1,1,1
"evanescent , seamless and sumptuous stream ","fleeting, smooth, and lavish flow",7.809849842300637,1,1,1,1,1
slick and manufactured to claim street credibility . ,slick and made to get street cred.,13.888095170058955,0,1,1,1,1
"take care is nicely performed by a quintet of actresses , ","take care done real good by a quintet of actresses,",51.93071778680675,0,0,0,0,1
valuable messages ,important messages,49.99999999999999,0,0,0,1,1
in no small part thanks to lau ,mostly cuz of lau,7.545383788761362,1,1,1,1,1
no new plot conceptions ,ain't no new plot ideas,39.76353643835252,0,0,0,1,1
essentially a collection of bits -- ,basically a bunch of bits --,32.46679154750991,0,0,0,1,1
does n't bode well for the rest of it ,ain't lookin' good for the rest of it,45.62272070865922,0,0,0,1,1
