Premise Reference,Premise Hypothesis,Choice1 Reference,Choice1 Hypothesis,Choice2 Reference,Choice2 Hypothesis,Premise BLEU_score,Choice1 BLEU_score,Choice2 BLEU_score,Premise BLEU_score_under_10,Premise BLEU_score_under_20,Premise BLEU_score_under_30,Premise BLEU_score_under_50,Premise BLEU_score_under_70,Choice1 BLEU_score_under_10,Choice1 BLEU_score_under_20,Choice1 BLEU_score_under_30,Choice1 BLEU_score_under_50,Choice1 BLEU_score_under_70,Choice2 BLEU_score_under_10,Choice2 BLEU_score_under_20,Choice2 BLEU_score_under_30,Choice2 BLEU_score_under_50,Choice2 BLEU_score_under_70
the bowling ball knocked over the bowling pins.,da bowling ball knocked over dem bowling pins.,the man rolled the bowling ball down the alley.,dat man rolled the bowling ball down the alley.,the man dropped the bowling ball on his foot.,da man dropped da bowling ball on his foot.,43.167001068522545,88.01117367933934,58.14307369682194,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
the community learned of the man's death.,the community found out the man died.,his family buried him in the cemetery.,his family buried him in the cemetery.,his obituary appeared in the newspaper.,his obituary was in the newspaper.,13.134549472120788,100.00000000000004,48.892302243490086,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
my computer crashed.,my computer done crashed.,i installed new speakers.,i put in some new speakers.,i lost all my data.,i lost all my data.,30.213753973567677,26.269098944241588,100.00000000000004,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
the woman resigned from her job.,da woman quit her job.,she aspired to hold an executive position in the firm.,she wanted to hold a top spot in the firm.,she believed her superiors were acting unethically.,she believed her bosses was actin' shady.,27.482545710800192,28.997844147152072,22.089591134157878,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
the player caught the ball.,the player caught the ball.,her teammate threw it to her.,her teammate threw it to her.,her opponent tried to intercept it.,her opponent tried to snatch it up.,100.00000000000004,100.00000000000004,38.260294162784454,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
the judge pounded the gavel.,the judge banged the gavel.,the courtroom broke into uproar.,da courtroom went wild.,the jury announced its verdict.,de jury announced dey verdict.,37.99178428257963,10.400597689005304,22.957488466614336,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1
the woman banished the children from her property.,the woman kicked them kids off her property.,the children hit a ball into her yard.,da kids knocked a ball into her yard.,the children trampled through her garden.,dem kids done trampled through her garden.,22.31618068926665,58.73949094699213,51.697315395717055,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
the kidnappers released the hostage.,the kidnappers let the hostage go.,they accepted ransom money.,dey took dat ransom money.,they escaped from jail.,they got outta jail.,19.64073254502566,30.213753973567677,23.643540225079384,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
the cook's eyes watered.,da cook's eyes watered.,he ran out of onions.,he ran outta onions.,he cut an onion.,he chopped up an onion.,66.87403049764218,24.736929544091932,32.46679154750991,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
the woman ran her finger under cold water.,the woman ran her finger under cold water.,she burned her finger on the toaster.,she burnt her finger on the toaster.,she put a diamond ring on her finger.,she put a diamond ring on her finger.,100.00000000000004,70.71067811865478,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the student misspelled the word.,the student spelled the word wrong.,the teacher corrected her.,da teacha checked her.,the teacher dismissed her.,the teacher let her go.,19.64073254502566,21.3643503198117,19.304869754804482,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1
i regained composure from my fit of anger.,i got myself together after bein' mad.,my heart pounded.,my heart was beatin' fast.,i took deep breaths.,i took deep breaths.,5.795599612995366,17.965205598154213,100.00000000000004,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
i put my hands under the running faucet.,i put my hands under the running faucet.,the soap rinsed off my hands.,da soap rinsed off my hands.,the water splashed in my face.,the water splashed in my face.,100.00000000000004,80.91067115702207,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the man dressed in his best suit.,the man dressed in his best suit.,he scheduled a meeting with an important client.,he set up a meetin' with a big-time client.,his wife bought him a new tie.,his wife copped him a new tie.,100.00000000000004,10.552670315936318,59.4603557501361,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
the man confessed his love for the woman.,da man confessed his love fo' da woman.,the woman rejected him.,da woman curved him.,the woman envied him.,da woman was jealous of him.,35.49481056010054,23.643540225079384,14.535768424205482,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1
the driver got a flat tire.,da driver got a flat tire.,he went over the speed limit.,he went over the speed limit.,he ran over a nail.,he ran ova a nail.,80.91067115702207,100.00000000000004,37.99178428257963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
my view of the movie screen was blocked.,i couldn't see the movie screen.,the couple behind me was whispering.,the couple behind me was whisperin'.,a tall person was sitting in front of me.,a tall person was sittin' in front of me.,19.740631366145518,64.34588841607616,65.80370064762461,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
the driver turned on the car's headlights.,the driver flipped on the car's headlights.,he heard thunder.,he heard dat thunder.,the sun went down.,the sun went down.,59.4603557501361,30.213753973567677,100.00000000000004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
the girl refused to eat her vegetables.,the girl ain't wanna eat her vegetables.,her father told her to drink her milk.,her daddy told her to drink her milk.,her father took away her dessert.,her daddy took her dessert away.,41.11336169005198,75.06238537503395,17.286039232097053,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
the woman covered her mouth with her hand.,da woman covered her mouth wit her hand.,she exhaled.,she let out her breath.,she sneezed.,she sneezed.,43.167001068522545,9.652434877402245,100.00000000000004,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
the secretary put the caller on hold.,da secretary put da caller on hold.,the caller's phone lost reception.,the caller's phone lost signal.,the caller waited on the line.,the caller stayed on the line.,41.11336169005198,53.7284965911771,48.892302243490086,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
the woman walked with crutches.,the woman walked with crutches.,she shaved her legs.,she shaved her legs.,she broke her leg.,she broke her leg.,100.00000000000004,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i coughed.,i coughed.,i inhaled smoke.,i breathed in some smoke.,i lowered my voice.,i dropped my voice.,100.00000000000004,17.965205598154213,42.72870063962342,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
the clock chimed.,de clock chimed.,it was the top of the hour.,it was the top of the hour.,the hour seemed to drag on.,da hour felt like it was draggin' on.,59.460355750136046,100.00000000000004,10.552670315936318,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
the chef hit the egg on the side of the bowl.,the chef tapped the egg on the side of the bowl.,the egg cracked.,de egg cracked.,the egg rotted.,da egg went bad.,76.91605673134588,59.460355750136046,12.703318703865365,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
the police searched the offender's car.,the police searched the offender's car.,they were trying to elicit a confession.,dey was tryna get a confession outta dem.,they were looking for illegal drugs.,dey was lookin' fo' illegal drugs.,100.00000000000004,10.552670315936318,24.446151121745054,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
the couple travelled south for the winter.,the couple went down south for the winter.,they were retired.,dey was retired.,they were separated.,dey was split up.,51.33450480401705,31.947155212313625,10.682175159905848,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
the man felt obligated to attend the event.,da man felt he had to go to dat event.,he turned down his friend's invitation to go.,he turned down his friend's invite to go.,he promised his friend that he would go.,he promised his homie he'd go.,11.208466750961147,59.694917920196445,23.099966849728546,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
the bride got cold feet before the wedding.,the bride got cold feet 'fore the wedding.,the wedding guests brought gifts.,da weddin' guests brought gifts.,she called the wedding off.,she called off the wedding.,59.694917920196445,50.81327481546149,25.40663740773074,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
the man grew old.,the man got old.,his hair turned gray.,his hair turned gray.,he sold his belongings.,he sold his stuff.,30.213753973567677,100.00000000000004,42.72870063962342,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
the friends decided to share the hamburger.,the friends decided to split the hamburger.,they cut the hamburger in half.,dey split da hamburger in half.,they ordered fries with the hamburger.,dey ordered fries wit da hamburger.,50.000000000000014,41.11336169005198,18.575057999133602,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
i twisted the cap off the soda bottle.,i twisted the cap off the soda bottle.,the soda fizzed.,da soda fizzed.,the soda leaked out.,da soda leaked out.,100.00000000000004,59.460355750136046,66.87403049764218,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
the pair of students came under scrutiny by the teacher.,dem two students got checked by the teacher.,the students both received excellent grades.,da students both got excellent grades.,their responses on the assignment were identical.,dey responses on da assignment was identical.,25.271148634948997,30.739407647563215,16.515821590069027,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1
the student was in a rush to get to school on time.,the student was in a rush to get to school on time.,he left his assignment at home.,he left his homework at the crib.,he brought his lunch to school.,he brought his lunch to school.,100.00000000000004,23.356898886410015,100.00000000000004,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
the journalist wrote a biography about the humanitarian's life.,da journalist wrote a biography 'bout da humanitarian's life.,the humanitarian was difficult for the journalist to interview.,da humanitarian was tough fo' da journalist to interview.,the journalist was intrigued by the humanitarian's work.,the journalist was all into the humanitarian's work.,37.99178428257963,31.239399369202552,43.167001068522545,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
the man defied the authorities of the church.,da man defied da church authorities.,he donated money to the church.,he gave money to the church.,he was excommunicated from the church.,he got kicked out the church.,12.411264901419441,64.34588841607616,26.269098944241588,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
the woman's hair fell in her face.,da woman's hair fell in her face.,she pulled her hair back with a clip.,she pulled her hair back with a clip.,she lathered shampoo into her hair.,she rubbed shampoo in her hair.,84.08964152537145,100.00000000000004,27.77619034011791,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
the ring on my finger got stuck.,da ring on my finger got stuck.,my finger swelled.,my finger swole up.,i chipped my fingernail.,i chipped my fingernail.,84.08964152537145,23.643540225079384,100.00000000000004,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
i pulled the rubber band.,i pulled the rubber band.,it flung across the room.,it flung 'cross the room.,it stretched.,it stretched out.,100.00000000000004,37.99178428257963,35.35533905932737,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
i pressed my hand into the wet cement.,i pressed my hand into the wet cement.,my handprint dried in the cement.,my handprint dried up in the cement.,cracks emerged in the cement.,cracks done showed up in the cement.,100.00000000000004,50.000000000000014,36.55552228545123,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
my skin broke out into a rash.,my skin done broke out into a rash.,i brushed against poison ivy in my yard.,i brushed up against some poison ivy in my yard.,i eradicated the poison ivy from my yard.,i got rid of dat poison ivy in my yard.,66.06328636027612,53.48259312838876,18.36028134946796,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
my subscription to the magazine expired.,my subscription to the magazine ran out.,i discarded the new issue.,i threw out the new issue.,i stopped receiving new issues.,i ain't gettin' new issues no more.,54.10822690539397,43.47208719449914,13.134549472120788,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
the detective revealed an anomaly in the case.,da detective pointed out somethin' off in da case.,he finalized his theory.,he finished up his theory.,he scrapped his theory.,he scrapped his theory.,9.980099403873663,32.46679154750991,100.00000000000004,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
the boy threw a temper tantrum.,the boy threw a fit.,his brother took his toys from him.,his brother took his toys from him.,he shared his toys with his brother.,he shared his toys with his brother.,45.48019047027906,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the child learned how to read.,de kid learned how to read.,he began attending school.,he started goin' to school.,he skipped a grade in school.,he skipped a grade in school.,61.47881529512643,17.965205598154213,100.00000000000004,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
the boy skipped dinner.,the boy skipped dinner.,his mother cooked his favorite meal.,his mama cooked his favorite meal.,he ate a big lunch.,he ate a big lunch.,100.00000000000004,64.34588841607616,100.00000000000004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the woman lavished her friend with flattery.,the woman gassed up her friend with compliments.,she wanted to ask her friend for a favor.,she wanted to ask her friend for a favor.,she was irritated with her friend's whining.,she was irritated with her friend's whining.,23.356898886410015,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
the key was missing from my pants pocket.,de key was missin' from my pants pocket.,the pocket had a hole.,da pocket had a hole.,the pants were new.,them pants was new.,51.33450480401705,75.98356856515926,23.643540225079384,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
the man fainted.,da man passed out.,he took a nap.,he took a nap.,he ran a marathon.,he ran a marathon.,12.703318703865365,100.00000000000004,100.00000000000004,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
the man lost the competition.,da man lost da competition.,the competition was sabotaged.,da competition got messed up.,he intimidated his competitors.,he scared off his competitors.,22.957488466614336,9.652434877402245,32.46679154750991,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1
the mother called an ambulance.,the mama called an ambulance.,her son lost his cat.,her son lost his cat.,her son fell out of his bed.,her son fell out his bed.,53.7284965911771,100.00000000000004,51.54486831107658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
the driver slammed on his brakes.,da driver slammed on his brakes.,a deer appeared on the road.,a deer popped up on the road.,the car radio shut off.,the car radio cut off.,80.91067115702207,41.11336169005198,37.99178428257963,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
the lock opened.,the lock popped open.,i turned the key in the lock.,i turned the key in the lock.,i made a duplicate of the key.,i made a copy of the key.,23.643540225079384,100.00000000000004,50.000000000000014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
i put rubber gloves on.,i put on rubber gloves.,i was preparing to wash my hands.,i was finna wash my hands.,i was preparing to clean the bathroom.,i was finna clean the bathroom.,25.40663740773074,42.38365628278778,42.38365628278778,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
the animal species became endangered.,dat animal species done got endangered.,their habitat was destroyed.,dey habitat got destroyed.,their predators went extinct.,dey predators went extinct.,18.575057999133602,23.643540225079384,66.87403049764218,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
the man perceived that the woman looked different.,da man noticed dat da woman looked different.,the woman got her hair cut.,the woman got her hair did.,the woman wore a bracelet.,da woman had on a bracelet.,31.55984539112946,64.34588841607616,26.269098944241588,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1
the student forgot to do her assignment.,da student forgot to do her assignment.,she made up an excuse to tell the teacher.,she made up an excuse to tell the teacher.,the teacher promoted her to the next grade.,da teacher moved her up to da next grade.,84.08964152537145,100.00000000000004,18.575057999133595,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
the dog barked.,da dog barked.,the cat lounged on the couch.,the cat was chillin' on the couch.,a knock sounded at the door.,somebody knocked at the door.,59.460355750136046,41.11336169005198,43.01250851313264,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
plans were announced to replace a local park with a shopping mall.,they announced plans to swap out the local park for a shopping mall.,environmentalists started a petition.,environmentalists started a petition.,environmentalists produced a documentary.,environmentalists made a documentary.,23.397625978961173,100.00000000000004,42.72870063962342,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
the couple was happy to see each other.,da couple was happy to see each other.,they kissed.,dey kissed.,they rested.,they chilled.,86.33400213704509,55.03212081491043,34.66806371753173,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
the woman asked the man to leave.,the woman told the man to get out.,he insulted her.,he dissed her.,he thanked her.,he thanked her.,23.356898886410015,35.35533905932737,100.00000000000004,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
the tree branch landed in the river.,the tree branch fell in the river.,the branch moved downstream.,da branch floated downstream.,the river's current became stronger.,the river's current got stronger.,50.000000000000014,23.643540225079384,37.99178428257963,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
the teacher assigned homework to the students.,da teacher gave out homework to da students.,the students passed notes.,da students passed notes.,the students groaned.,the students was groanin'.,14.25876976452075,66.87403049764218,23.643540225079384,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
the seasons changed from summer to autumn.,da seasons switched up from summer to fall.,people evacuated their homes.,folks cleared out they homes.,leaves fell from the trees.,leaves dropped off the trees.,20.164945583740657,16.233395773754953,32.46679154750991,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
the politician was convicted of fraud.,the politician got busted for fraud.,he campaigned for re-election.,he campaigned fo' re-election.,he was removed from office.,he got kicked out the office.,18.575057999133602,30.213753973567677,14.535768424205482,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1
i pushed the wagon.,i pushed the wagon.,the objects in the wagon fell out.,de stuff in da wagon fell out.,the wagon wheels spun forward.,the wagon wheels spun forward.,100.00000000000004,36.55552228545123,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the lobbyist persuaded the legislature to support the bill.,da lobbyist got da legislature to back da bill.,the president vetoed the bill.,the president vetoed the bill.,the legislature passed the bill.,da legislature passed da bill.,12.549310621989482,100.00000000000004,22.957488466614336,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1
my closet was messy.,my closet was messy.,i organized it.,i fixed it up.,i decorated it.,i fixed it up.,100.00000000000004,14.058533129758727,14.058533129758727,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
i stayed up late.,i stayed up late.,i had vivid dreams that night.,i had some vivid dreams that night.,i was tired in the morning.,i was tired in the morning.,100.00000000000004,59.4603557501361,100.00000000000004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the man's pocket jingled as he walked.,de man's pocket was jinglin' as he walked.,his pocket was filled with coins.,his pocket was fulla coins.,he sewed the hole in his pocket.,he stitched up the hole in his pocket.,35.49481056010054,32.159351091190125,61.04735835807847,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
everyone in the class turned to stare at the student.,errybody in the class turned to look at the student.,the student's phone rang.,dat student's phone rang.,the student took notes.,the student took notes.,58.77283725105324,66.87403049764218,100.00000000000004,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
the horse bucked.,da horse bucked.,a fly bit the horse.,a fly bit the horse.,the rider stroked the horse.,da rider petted da horse.,59.460355750136046,100.00000000000004,17.965205598154213,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
the jewelry thieves were caught.,dem jewelry thieves got caught.,the stolen jewelry was returned to its owners.,the stolen jewelry got returned to its owners.,the cost of the stolen jewelry was calculated.,they figured out how much the stolen jewelry cost.,22.957488466614336,59.694917920196445,17.747405280050266,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1
political violence broke out in the nation.,political violence popped off in the nation.,many citizens relocated to the capitol.,a whole lotta folks moved to the capitol.,many citizens took refuge in other territories.,many folks took refuge in other territories.,41.11336169005198,29.84745896009822,70.71067811865478,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
the woman was arrested.,da woman got arrested.,she checked into rehab.,she checked into rehab.,she committed assault.,she threw hands.,23.643540225079384,100.00000000000004,18.99589214128981,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1
the woman read the newspaper.,da woman read da newspaper.,she discovered the outcome of the election.,she found out who won the election.,she casted a vote in the election.,she cast a vote in the election.,22.957488466614336,22.089591134157878,70.71067811865478,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
the sick child coughed on his friend.,da sick kid coughed on his friend.,his friend got sick.,his friend got sick.,his friend sneezed.,his friend sneezed.,54.10822690539397,100.00000000000004,100.00000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the couple got engaged.,da couple got engaged.,they planned a wedding.,dey planned a wedding.,they took some time apart.,dey took some time apart.,66.87403049764218,66.87403049764218,75.98356856515926,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
the woman contacted the real estate agent.,the woman hit up the real estate agent.,the woman planned to buy a condo.,the woman planned to cop a condo.,the woman needed to clean her house.,da woman needed to clean her house.,51.33450480401705,50.000000000000014,84.08964152537145,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
the man won the lottery.,da man won da lottery.,he became rich.,he got rich.,he owed money.,he owed money.,22.957488466614336,35.35533905932737,100.00000000000004,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
i lit the candle.,i lit the candle.,wax dripped off the candle.,wax dripped off the candle.,the wax on the candle hardened.,the wax on the candle got hard.,100.00000000000004,100.00000000000004,54.10822690539397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i spent the day at the pool.,i was chillin' at the pool all day.,i sprained my ankle.,i twisted my ankle.,my face got sunburned.,my face got sunburned.,21.10534063187263,42.72870063962342,100.00000000000004,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
the man received a parking ticket.,da man got a parking ticket.,he parallel parked on the street.,he parallel parked on the street.,the parking meter expired.,da parking meter ran out.,43.47208719449914,100.00000000000004,17.965205598154213,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
the woman became famous.,the woman got famous.,photographers followed her.,photographers was followin' her.,her family avoided her.,her fam dodged her.,30.213753973567677,23.643540225079384,23.643540225079384,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
the girl wanted to wear earrings.,the girl wanted to rock some earrings.,she got her ears pierced.,she got her ears pierced.,she got a tattoo.,she got a tat.,41.11336169005198,100.00000000000004,42.72870063962342,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
my ears were ringing.,my ears was ringin'.,i went to a museum.,i went to a museum.,i went to a concert.,i went to a concert.,23.643540225079384,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
i tidied up my house.,i cleaned up my house.,i was swamped with work.,i was flooded with work.,i was expecting company.,i was waitin' on some folks.,53.7284965911771,37.99178428257963,14.535768424205482,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
the airline mishandled my luggage.,da airline messed up my luggage.,they offered me compensation.,dey offered me compensation.,they cancelled my flight.,they cancelled my flight.,26.269098944241588,66.87403049764218,100.00000000000004,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
the computer was expensive to fix.,the computer cost a lot to fix.,i got it repaired.,i got it fixed up.,i bought a new one.,i copped a new one.,25.848657697858535,32.46679154750991,53.7284965911771,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
the woman was in a bad mood.,the woman was in a bad mood.,she engaged in small talk with her friend.,she was choppin' it up with her friend.,she told her friend to leave her alone.,she told her friend to leave her alone.,100.00000000000004,31.55984539112946,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
my body cast a shadow over the grass.,my body threw a shadow on the grass.,the sun was rising.,de sun was comin' up.,the grass was cut.,they cut the grass.,26.084743001221455,17.965205598154213,25.40663740773074,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
the woman tolerated her friend's difficult behavior.,the woman put up with her friend's difficult behavior.,the woman knew her friend was going through a hard time.,the woman knew her friend was goin' through a tough time.,the woman felt that her friend took advantage of her kindness.,the woman felt like her friend was takin' advantage of her kindness.,45.180100180492246,51.56626918239821,42.50281413416977,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
the women met for coffee.,them women linked up for some coffee.,the cafe reopened in a new location.,da cafe reopened in a new spot.,they wanted to catch up with each other.,they wanted to catch up with each other.,13.134549472120788,54.10822690539397,100.00000000000004,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
the runner wore shorts.,the runner had on shorts.,the forecast predicted high temperatures.,de forecast say it's gon' be hot.,she planned to run along the beach.,she planned to run along the beach.,22.957488466614336,6.567274736060395,100.00000000000004,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
the guests of the party hid behind the couch.,the folks at the party was hidin' behind the couch.,it was a surprise party.,it was a surprise party.,it was a birthday party.,it was a birthday party.,28.997844147152072,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
the politician lost the election.,da politician lost da election.,he ran negative campaign ads.,he ran negative campaign ads.,no one voted for him.,ain't nobody vote for him.,22.957488466614336,100.00000000000004,30.213753973567677,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
the stain came out of the shirt.,da stain came out da shirt.,i patched the shirt.,i fixed up the shirt.,i bleached the shirt.,i bleached the shirt.,26.647313141084275,32.46679154750991,100.00000000000004,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
the man got a discount on his groceries.,da man got a discount on his groceries.,he greeted the cashier.,he said what's up to the cashier.,he used a coupon.,he used a coupon.,86.33400213704509,22.089591134157878,100.00000000000004,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
