,Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct,AAVE Correct
135,so many of the challenges it poses for itself that one can forgive the film its flaws ,so many challenges it got for itself that one can forgive the film its flaws,Negative,Positive,Positive,0,0
136,", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ","It work as a decent guide for the area recent history, and would be a dope 10th-grade learning tool.",Negative,Positive,Positive,0,0
137,wide-awake all the way through ,Stayed woke the whole time,Negative,Positive,Positive,0,0
138,"( vainly , i think ) ",(I be thinkin' in vain),Negative,Negative,Negative,1,1
139,is one big excuse to play one lewd scene after another . ,jus one big excuse to play one lewd scene after another.,Negative,Negative,Negative,1,1
140,is effective if you stick with it ,work if you stick with it,Negative,Positive,Positive,0,0
141,that underscore the importance of family tradition and familial community ,that show how important family tradition and community is,Negative,Positive,Positive,0,0
143,"watching this digital-effects-heavy , supposed family-friendly comedy ","Watchin' this digital-effects-heavy, s'posed family-friendly comedy",Negative,Negative,Negative,1,1
144,absolutely and completely ridiculous and ,absolutely and completely ridiculous and translates to straight up ridiculous and,Negative,Negative,Negative,1,1
145,'s a very tasteful rock and roll movie . ,Dat's a real tasteful rock and roll movie.,Negative,Positive,Positive,0,0
146,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ","the movie ain't hardly got no suspense, surprise, or steady emotional conviction.",Negative,Negative,Negative,1,1
148,"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ","like tryna grab some play-doh, the harder that Liman try to squeeze his story",Negative,Negative,Negative,1,1
150,reveals how important our special talents can be when put in service of of others . ,show how important our special skills be when we use 'em to help others.,Negative,Positive,Positive,0,0
151,no lika da ,I ain't like that,Negative,Negative,Negative,1,1
152,a welcome relief ,a welcome relief,Negative,Positive,Positive,0,0
153,the promise of digital filmmaking ,de promise of digital filmmakin',Negative,Positive,Positive,0,0
155,justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,Justify a play pretendin' like it's Auschwitz II-Birkenau.,Negative,Negative,Negative,1,1
183,"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ","like one of ( Spears' ) music videos in content -- but it keep goin' for like 90 more minutes and, worse, you gotta pay if you wanna see it",Negative,Negative,Negative,1,1
184,"with color and depth , and rather a good time ","wit color and depth, and a pretty good time",Negative,Positive,Positive,0,0
185,"silly , outrageous , ingenious ","silly, outrageous, clever",Negative,Positive,Positive,0,0
186,being able to hit on a 15-year old when you 're over 100 ,bein' able to hit on a 15-year old when you over 100,Negative,Negative,Negative,1,1
187,"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ","the story of trouble every day ... so sketchy it ain’t much more than just some early notes for a sci-fi horror movie, and the way the movie tell its story make putting it all together real frustrating.",Negative,Negative,Negative,1,1
188,the year 's best and most unpredictable comedy ,the year's best and most unpredictable comedy,Negative,Positive,Positive,0,0
189,starts off so bad that you feel like running out screaming ,start off so bad you wanna run out screamin',Negative,Negative,Negative,1,1
190,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,Men in Black II don't mean a thing -- it's like a sci-fi comedy show but playin' like it's whiffle-ball.,Negative,Negative,Negative,1,1
191,elvira fans could hardly ask for more . ,Elvira fans couldn't really ask for more.,Negative,Positive,Positive,0,0
192,a good one ,a good one,Negative,Positive,Positive,0,0
193,", plodding picture ",Boring movie,Negative,Negative,Negative,1,1
194,"the character dramas , which never reach satisfying conclusions ","the character dramas, which never reach satisfying conclusions",Negative,Negative,Negative,1,1
195,lost in the translation this time ,Got lost in the translation this time.,Negative,Negative,Negative,1,1
196,speak for it while it forces you to ponder anew what a movie can be ,talk on it while it make you think over what a movie can be,Negative,Positive,Positive,0,0
197,enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,lets Shafer move around in big and small places real smooth,Negative,Positive,Positive,0,0
198,a plot cobbled together from largely flat and uncreative moments ,a plot put together from mostly flat and uncreative moments,Negative,Negative,Negative,1,1
199,inane and awful ,foolish and terrible,Negative,Negative,Negative,1,1
201,takes chances that are bold by studio standards ,take chances that's bold by studio standards,Negative,Positive,Positive,0,0
202,"believe it or not , jason actually takes a backseat in his own film to special effects ","Believe it or not, Jason actually take a backseat in his own film to special effects.",Negative,Negative,Negative,1,1
203,only thing to fear about `` fear dot com '' ,Only thing to be scared of 'bout fear dot com,Negative,Negative,Negative,1,1
204,whole mess ,whole mess,Negative,Negative,Negative,1,1
205,manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,manages to mix in some warmth and soft laughs on that tough road to makin' up with siblings,Negative,Positive,Positive,0,0
206,working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ,workin' from a surprisingly sensitive script co-written by gianni romoli ... ozpetek dodge most of the traps you'd expect in such a potentially sudsy set-up.,Negative,Positive,Positive,0,0
207,a résumé loaded with credits like `` girl in bar # 3 ,a résumé packed with credits like 'girl in bar #3',Negative,Negative,Negative,1,1
232,the value and respect for the term epic cinema ,the value and respect for the term epic cinema,Negative,Positive,Positive,0,0
233,as a dentist 's waiting room ,as a dentist's waitin' room,Negative,Negative,Negative,1,1
234,showing honest emotions ,keepin' it real with them feelings,Negative,Positive,Positive,0,0
235,amazingly lame . ,wack as hell.,Negative,Negative,Negative,1,1
237,seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,seem like a real thin slice of lower-class London life; even with the title... ain't really much,Negative,Negative,Negative,1,1
238,the story is bogus and ,the story bogus,Negative,Negative,Negative,1,1
239,this comic gem is as delightful as it is derivative . ,Dis comic gem delightful as it derivative.,Negative,Positive,Positive,0,0
240,to spare wildlife ,to save wildlife,Negative,Positive,Positive,0,0
241,ugly as the shabby digital photography ,ugly as that busted digital photography,Negative,Negative,Negative,1,1
245,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,point the way for adventurous Indian filmmakers to crossover into nonethnic markets.,Negative,Positive,Positive,0,0
246,are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,worth the price of admission ... if gory mayhem yo idea of a good time,Negative,Positive,Positive,0,0
247,"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ","Jerry Bruckheimer produced it and Joel Schumacher directed it, and it show the worst of they shallow styles: too much going on, ain't got good reasons for none of it, and tryna hit every demographic but end up pleasin' nobody.",Negative,Negative,Negative,1,1
249,"degraded , handheld blair witch video-cam footage ","degraded, handheld Blair Witch video-cam footage",Negative,Negative,Negative,1,1
250,second fiddle ,second fiddle,Negative,Negative,Negative,1,1
251,about the folly of superficiality that is itself ,'bout the foolishness of bein' shallow that is itself,Negative,Negative,Negative,1,1
252,"serves as auto-critique , and its clumsiness as its own most damning censure . ","acts like it own critique, and its awkwardness be its own worst condemnation.",Negative,Negative,Negative,1,1
253,tedious norwegian offering which somehow snagged an oscar nomination . ,Boring Norwegian joint that somehow caught an Oscar nom.,Negative,Negative,Negative,1,1
254,", esther kahn is unusual but unfortunately also irritating . ",Esther Kahn unusual but unfortunately irritating too.,Negative,Negative,Negative,1,1
255,a stylish exercise ,a fly workout,Negative,Positive,Positive,0,0
256,halfway through this picture i was beginning to hate it ,Halfway through this picture I was startin' to hate it.,Negative,Negative,Negative,1,1
285,an admittedly middling film ,a film that's kinda average,Negative,Negative,Negative,1,1
286,too ludicrous ,too crazy,Negative,Negative,Negative,1,1
287,the rock 's fighting skills are more in line with steven seagal ,the rock's fighting skills more like steven seagal's,Negative,Negative,Negative,1,1
288,rich and full ,rich and full,Negative,Positive,Positive,0,0
289,"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ","warm water under a red bridge is a celebration of feminine energy, a tribute to the power of women to heal.",Negative,Positive,Positive,0,0
291,", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",", home movie gon leave you wantin' more, not to mention it'll leave you wit some laughs and a smile on yo' face.",Negative,Positive,Positive,0,0
292,", the film retains ambiguities that make it well worth watching . ",", the film keep ambiguities that make it well worth watching.",Negative,Positive,Positive,0,0
293,ultra-cheesy dialogue ,super cheesy talk,Negative,Negative,Negative,1,1
294,added depth and resonance ,added depth and resonance,Negative,Positive,Positive,0,0
296,huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,big-screen format to make a old-school nature film that teach folks with words and pictures while keeping them entertained,Negative,Positive,Positive,0,0
297,handsome but unfulfilling suspense drama ,fine but it ain't hittin' suspense drama,Negative,Negative,Negative,1,1
298,'s not very good either . ,Ain't that good neither.,Negative,Negative,Negative,1,1
299,in her most charmless ,in her least charming,Negative,Negative,Negative,1,1
300,makes an unusual but pleasantly haunting debut behind the camera . ,make a unusual but pleasantly haunting debut behind the camera.,Negative,Positive,Positive,0,0
301,"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ","a fine, rousing, G-rated family movie, aimed mainly at little kids but got enough entertainment to keep grown-ups from squirming in their seats.",Negative,Positive,Positive,0,0
302,"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ","everything 'bout girls can't swim, even its parts where it's tryna be deep, feel like we seen it before, familiar -- and not in a good way.",Negative,Negative,Negative,1,1
303,the cast is spot on and ,the cast on point and,Negative,Positive,Positive,0,0
304,ugly digital video ,ugly digital video,Negative,Negative,Negative,1,1
305,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history,Negative,Positive,Positive,0,0
306,rather choppy ,kinda bumpy,Negative,Negative,Negative,1,1
307,becomes one more dumb high school comedy about sex gags and prom dates ,turn into anotha basic high school comedy 'bout sex jokes an' prom dates,Negative,Negative,Negative,1,1
308,demands and receives excellent performances ,demand and get excellent performances,Negative,Positive,Positive,0,0
336,bound to appeal to women looking for a howlingly trashy time ,"Gon' catch the eye of women lookin' for a wild, trashy time",Negative,Positive,Positive,0,0
337,", it never quite makes the grade as tawdry trash . ",It ain't really hit the mark as no tawdry trash.,Negative,Negative,Negative,1,1
338,has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,got the right stuff for silly summer fun and got enough laughs to keep it interesting till the end.,Negative,Positive,Positive,0,0
339,"endearing , caring ","charmin', carin'",Negative,Positive,Positive,0,0
340,"seagal , who looks more like danny aiello these days ","Seagal, who lookin' more like Danny Aiello these days.",Negative,Negative,Negative,1,1
341,"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ","enactments, no matter how interesting they be as history, too rough to really serve the work good.",Negative,Negative,Negative,1,1
342,"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ","Not errything in this big comic escapade work, but Coppola, along wit his sister, Sofia, they some real filmmakers.",Negative,Positive,Positive,0,0
343,the dehumanizing and ego-destroying process ,the dehumanizing and ego-destroying process,Negative,Negative,Negative,1,1
344,taboo subject matter ,stuff we don't talk 'bout,Negative,Negative,Negative,1,1
346,utterly incompetent conclusion ,completely wack conclusion,Negative,Negative,Negative,1,1
347,has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... ,"been mostly part of, Wilde's funny whimsy help Being Earnest get over its weaknesses and Parker's creative messin'...",Negative,Positive,Positive,0,0
348,you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her ,You find yourself rooting for Gai's character to dodge the fate that hit every other Carmen before her.,Negative,Positive,Positive,0,0
350,low budget ,low budget,Negative,Negative,Negative,1,1
351,a deceptively casual ode ,a slick chill tribute,Negative,Positive,Positive,0,0
352,"walked out muttering words like `` horrible '' and `` terrible , '' ",walked out mutterin' words like horrible and terrible,Negative,Negative,Negative,1,1
353,help chicago make the transition from stage to screen with considerable appeal intact ,Help Chicago switch from stage to screen and still keep its charm.,Negative,Positive,Positive,0,0
354,you have ellen pompeo sitting next to you for the ride ,you got Ellen Pompeo sittin' next to you for the ride,Negative,Positive,Positive,0,0
355,a giant step backward ,a big step back,Negative,Negative,Negative,1,1
358,quite rich and exciting ,real rich and hype,Negative,Positive,Positive,0,0
359,luminous interviews and amazingly evocative film from three decades ago ,luminous interviews and amazingly evocative film from three decades ago,Negative,Positive,Positive,0,0
387,"the chateau , a sense of light-heartedness , that makes it attractive throughout ","the chateau, a vibe of light-heartedness, that make it attractive all around",Negative,Positive,Positive,0,0
388,have a passion for the material ,Really dig the material,Negative,Positive,Positive,0,0
389,"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ","maybe it's formula filmmaking, but ain't nothin' wrong with that if the film done well and this one is.",Negative,Positive,Positive,0,0
390,a movie that ca n't get sufficient distance from leroy 's ,a movie that can't get enough distance from Leroy's,Negative,Negative,Negative,1,1
391,romanticized rendering ,romanticized rendering: romanticized version,Negative,Positive,Positive,0,0
392,is terrific as rachel ,be bomb as Rachel,Negative,Positive,Positive,0,0
393,of special effects that run the gamut from cheesy to cheesier to cheesiest ,of special effects that go from cheesy to cheesier to cheesiest,Negative,Negative,Negative,1,1
394,the worst film a man has made about women since valley of the dolls ,the worst movie a dude done made 'bout women since valley of the dolls,Negative,Negative,Negative,1,1
395,"come , already having been recycled more times than i 'd care to count ","come, already been recycled more times than I care to count",Negative,Negative,Negative,1,1
396,with awe ,Wit amazement,Negative,Positive,Positive,0,0
397,joyous romp of a film . ,joyful film.,Negative,Positive,Positive,0,0
398,a nonstop hoot ,a nonstop hoot,Negative,Positive,Positive,0,0
399,", partisans and sabotage ",", partisans and sabotage",Negative,Negative,Negative,1,1
400,gory as the scenes of torture and self-mutilation ,gory as dem torture scenes an self-mutilation,Negative,Negative,Negative,1,1
401,just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,just like that new Argentine movie Son of the Bride reminded us that a feel-good movie can still show real heart,Negative,Positive,Positive,0,0
402,"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ","ub equally spoofs and celebrates the more outre aspects of `black culture' and the dorkier aspects of `white culture,' even as it points out how inseparable the two are.",Negative,Positive,Positive,0,0
403,the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,the package this fascinating -- and timely -- content come in be disappointingly generic.,Negative,Negative,Negative,1,1
404,"this obscenely bad dark comedy , so crass ","dis mad bad dark comedy, so crass",Negative,Negative,Negative,1,1
405,naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,Naomi Watts killin' it as Rachel; her small self and vulnerable vibe really showin' her struggles and loneliness.,Negative,Positive,Positive,0,0
406,exciting and ,Excitin' and,Negative,Positive,Positive,0,0
408,and in the best way ,an in the best way,Negative,Positive,Positive,0,0
409,of our most flamboyant female comics ,of our most flamboyant female comics,Negative,Positive,Positive,0,0
410,squareness that would make it the darling of many a kids-and-family-oriented cable channel ,squareness that would make it the favorite of a lot of kids-and-family-oriented cable channels,Negative,Negative,Positive,1,0
437,never achieve the popularity of my big fat greek wedding ,Ain't neva get as popular as My Big Fat Greek Wedding,Negative,Negative,Negative,1,1
438,`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,``auto focus'' work as a odd biopic and document of male swingers in the playboy era,Negative,Positive,Negative,0,1
439,"right now , they 're merely signposts marking the slow , lingering death of imagination . ","Right now, they just signposts markin' the slow, lingerin' death of imagination.",Negative,Negative,Negative,1,1
440,appealing character quirks to forgive that still serious problem ,appealin' character quirks to forgive that still serious problem,Negative,Negative,Negative,1,1
441,"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ","often stay just as long on the irrelevant as on the engaging, which slowly turn 'what time is it there?'",Negative,Negative,Negative,1,1
442,the energy it takes to describe how bad it is ,the energy it take to describe how bad it be,Negative,Negative,Negative,1,1
444,could easily be called the best korean film of 2002 ,could easily be called the best Korean film of 2002,Negative,Positive,Positive,0,0
445,largest-ever historical canvas ,biggest-ever historical canvas,Negative,Positive,Positive,0,0
446,"a solid cast , assured direction and complete lack of modern day irony . ","a solid cast, sure direction, and no modern day irony.",Negative,Positive,Positive,0,0
447,comatose ballerinas ,comatose ballerinas,Negative,Negative,Negative,1,1
449,"of the road , where the thematic ironies are too obvious and the sexual politics too smug ","off the road, where the thematic ironies too obvious and the sexual politics too smug",Negative,Negative,Negative,1,1
451,"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ","It's a work that, with humor, warmth, and smarts, capture a life lived interestingly",Negative,Positive,Positive,0,0
452,deserve a passing grade ,deserve a passin' grade,Negative,Positive,Positive,0,0
453,you 're gon na like this movie . ,you gon' like this movie.,Negative,Positive,Positive,0,0
454,"simply stupid , irrelevant ","just dumb, don't matter",Negative,Negative,Negative,1,1
455,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise.,Negative,Positive,Positive,0,0
456,a heavy-handed indictment of parental failings and ,a heavy-handed indictment of how parents be failin' and,Negative,Negative,Negative,1,1
457,felt performances across the board . ,Performances was fire all around.,Negative,Positive,Positive,0,0
458,seem weird and distanced ,seem weird and distanced,Negative,Negative,Negative,1,1
459,has finally made a movie that is n't just offensive ,done finally made a movie that ain't just offensive,Negative,Negative,Positive,1,0
460,casual and fun ,chill and fun,Negative,Positive,Positive,0,0
461,plodding mess ,draggin' mess,Negative,Negative,Negative,1,1
489,betters it ,It betta,Negative,Positive,Positive,0,0
490,transfixes the audience ,got the audience hooked,Negative,Positive,Positive,0,0
491,moving and important ,deep and heavy,Negative,Positive,Negative,0,1
492,dope ,dope,Negative,Positive,Positive,0,0
493,an avid interest ,real keen on,Negative,Positive,Positive,0,0
494,"blessed with two fine , nuanced lead performances ","blessed with two fine, nuanced lead performances",Negative,Positive,Positive,0,0
495,true star ,Real one,Negative,Positive,Positive,0,0
496,"hampered -- no , paralyzed -- by a self-indulgent script ... ","held back -- nah, can't even move -- cuz of a self-indulgent script ...",Negative,Negative,Negative,1,1
497,is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,specifically for fools who don't care what kind of trash they be shovelin' into their minds to fake like it’s nourishment.,Negative,Negative,Negative,1,1
498,"is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ","is haunting ... (it's) what punk rock music used to be, and what the video medium could use more of: spirit, perception, conviction",Negative,Positive,Positive,0,0
499,which nurses plot holes gaping enough to pilot an entire olympic swim team through ,which nurses plot holes big enough to drive a whole olympic swim team through,Negative,Negative,Negative,1,1
500,that 's both charming and well acted ,dat's both charming and well acted,Negative,Positive,Positive,0,0
501,a bad blend ,a messed up mix,Negative,Negative,Negative,1,1
502,the guy-in-a-dress genre ,the dude-in-a-dress type,Negative,Negative,Negative,1,1
503,director claude chabrol has become the master of innuendo . ,Director Claude Chabrol done became the master of innuendo.,Negative,Positive,Positive,0,0
505,excruciatingly unfunny and pitifully unromantic . ,Painfully unfunny and sadly unromantic.,Negative,Negative,Negative,1,1
507,an inuit masterpiece ,Dat's an Inuit masterpiece,Negative,Positive,Positive,0,0
509,the cliché-laden screenplay ,the cliché-filled script,Negative,Negative,Negative,1,1
510,"girlfriends are bad , wives are worse ","Girlfriends bad, wives worse.",Negative,Negative,Negative,1,1
511,provide much more insight ,give a lot more insight,Negative,Positive,Positive,0,0
512,", and as easy to be bored by as your abc 's , ",", and as easy to get bored wit as yo abc's,",Negative,Negative,Negative,1,1
540,"is worse : the part where nothing 's happening , or the part where something 's happening ","is worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",Negative,Negative,Negative,1,1
541,"like max rothman 's future , does not work . ","like Max Rothman's future, don't work.",Negative,Negative,Negative,1,1
542,of quirky characters and an engaging story ,of quirky characters and a engaging story,Negative,Positive,Positive,0,0
543,"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ","got that thrown-together vibe like a summer-camp talent show: written in a hurry, ain't practiced enough, plot don't make no sense and",Negative,Negative,Negative,1,1
544,"making kahlo 's art a living , ","Makin' Kahlo's art a livin',",Negative,Positive,Positive,0,0
545,bad run ,Rough patch,Negative,Negative,Negative,1,1
546,may just end up trying to drown yourself in a lake afterwards . ,Might mess around and try to drown yo'self in a lake afterwards.,Negative,Negative,Negative,1,1
547,many pleasures ,lotsa joys,Negative,Positive,Positive,0,0
548,is worth searching out ,worth lookin' fo,Negative,Positive,Positive,0,0
549,"at this time , with this cast , this movie is hopeless ","right now, wit dis cast, dis movie ain't gon' work",Negative,Negative,Negative,1,1
550,time bombs ,time bombs,Negative,Negative,Negative,1,1
551,balances both traditional or modern stories together in a manner that one never overwhelms the other . ,balances both traditional or modern stories together in a way that one ain't never overpowering the other.,Negative,Positive,Positive,0,0
